activation,p,runs,close_runs,close_pass_rate_pct,spearman_distance_abs_mse_gap,log_pearson_distance_abs_mse_gap,median_shape_distance,median_abs_mse_gap,median_abs_rmse_gap
all,all,720,443,61.52777777777778,0.9566735596840786,0.9913746609571423,0.0027281991655413998,0.0016078353153616502,0.02368059613004285
identity,5,48,48,100.0,0.2646547980894486,0.26054827815520043,2.2219975714153903e-15,1.4933499922764604e-10,4.326620589578667e-10
identity,10,48,48,100.0,0.24696048632218845,0.2877517493364464,7.29817498464764e-16,9.816164894815849e-11,3.951435983973184e-10
identity,20,48,48,100.0,0.03810247503256621,-0.05168574099484989,4.923386488293628e-16,1.3465230059434008e-10,4.829236038839113e-10
relu,5,48,19,39.58333333333333,0.9819800260529743,0.9951716518453997,0.015024393355741652,0.00494578995487655,0.045365395635387995
relu,10,48,26,54.166666666666664,0.9750325662179764,0.9932076849865181,0.00365551891763245,0.0024371323328789005,0.03617906526811554
relu,20,48,29,60.416666666666664,0.966565349544073,0.9645907938879863,0.00272327352166005,0.0037002577611357002,0.027574681395467177
sigmoid,5,48,22,45.83333333333333,0.9840425531914894,0.9954264277288275,0.0114059134900619,0.00506596872241475,0.046160306569812265
sigmoid,10,48,26,54.166666666666664,0.9840425531914894,0.9936680618718647,0.0039340812668197,0.0022517301629799,0.03401298949194319
sigmoid,20,48,25,52.083333333333336,0.9339991315675206,0.9114951830287683,0.0048244016994215995,0.00643548986683925,0.0392806407663288
softplus,5,48,21,43.75,0.9853452019105514,0.9836527344218214,0.012627222285827201,0.00330878497194435,0.03216295497033623
softplus,10,48,26,54.166666666666664,0.9864307425097698,0.9975267704057011,0.0033615961567859997,0.002308354105601723,0.039565914245487194
softplus,20,48,29,60.416666666666664,0.966565349544073,0.9687355404288047,0.00275053363706905,0.0036994209575399997,0.03606101047656997
tanh,5,48,22,45.83333333333333,0.9756838905775076,0.9944053635308868,0.01203162419387685,0.0050908105991545,0.045779857137034134
tanh,10,48,26,54.166666666666664,0.9854537559704732,0.9967277084419947,0.00335200558405475,0.0022973268338355,0.03587681502802301
tanh,20,48,28,58.333333333333336,0.9621146330872775,0.9125796154739462,0.00323200003422645,0.004412229102400101,0.03637936831845505
