group,relation,x,y,spearman_rho,p_value,n
smooth_nonlinear_rand,相邻层非线性 → NN-PR接近度(内),act_pair_mean,shape_NN_FPR_in,0.08120192963572455,0.014822085912002117,900
smooth_nonlinear_rand,NN-PR(Full)接近度 → 性能差距,shape_NN_FPR_in,abs_rmse_gap,0.504416639197497,2.928762512595307e-59,900
smooth_nonlinear_rand,NN-LayerTaylorPR接近度 → 性能差距,shape_NN_LTPR,abs_rmse_gap,-0.2957174559185809,1.273222976436078e-19,900
smooth_nonlinear_rand,激活改变总值(缩放) → NN-LayerTaylorPR接近度,act_io_scaled_sum,shape_NN_LTPR,0.2820011292236834,6.47108848615143e-18,900
smooth_nonlinear_rand,NN-LayerTaylorPR ↔ NN-FullPR 接近度,shape_NN_LTPR,shape_NN_FPR_in,-0.32190071368588224,3.822470442952092e-23,900
smooth_nonlinear_rand,LayerTaylorPR-FullPR接近度 → 性能差距,shape_LTPR_FPR,abs_rmse_gap,-0.22211934435654646,1.5984027815015617e-11,900
smooth_nonlinear_rand,LayerTaylorPR-FullPR ↔ NN-FullPR 接近度,shape_LTPR_FPR,shape_NN_FPR_in,-0.24926863008327096,3.254997640961319e-14,900
smooth_nonlinear,激活改变总值(缩放) → NN-PR接近度(内),act_io_scaled_sum,shape_NN_FPR_in,-0.4404975694381108,1.1364921903312495e-15,300
smooth_nonlinear,激活改变总值(未缩) → NN-PR接近度(内),act_io_unscaled_sum,shape_NN_FPR_in,-0.5301258369024335,3.855304665566729e-23,300
smooth_nonlinear,激活改变总值(缩放) → NN-PR接近度(外推),act_io_scaled_sum,shape_NN_FPR_ext,0.22041590047229398,0.00011849307001816996,300
smooth_nonlinear,激活改变总值(缩放) → 性能差距,act_io_scaled_sum,abs_rmse_gap,-0.3616287119588932,1.0659495691023122e-10,300
smooth_nonlinear,相邻层非线性 → NN-PR接近度(内),act_pair_mean,shape_NN_FPR_in,-0.22744365124412483,7.03153142072245e-05,300
smooth_nonlinear,NN-PR(Full)接近度 → 性能差距,shape_NN_FPR_in,abs_rmse_gap,0.8563930710341224,1.5213338157102042e-87,300
smooth_nonlinear,NN-LayerTaylorPR接近度 → 性能差距,shape_NN_LTPR,abs_rmse_gap,-0.24411789219757837,1.9074838218539833e-05,300
smooth_nonlinear,激活改变总值(缩放) → NN-LayerTaylorPR接近度,act_io_scaled_sum,shape_NN_LTPR,0.5379563536157164,6.647530043762579e-24,300
smooth_nonlinear,NN-LayerTaylorPR ↔ NN-FullPR 接近度,shape_NN_LTPR,shape_NN_FPR_in,-0.3841751160288044,5.476915229963713e-12,300
smooth_nonlinear,LayerTaylorPR-FullPR接近度 → 性能差距,shape_LTPR_FPR,abs_rmse_gap,-0.08396759963999599,0.14682070831637842,300
smooth_nonlinear,LayerTaylorPR-FullPR ↔ NN-FullPR 接近度,shape_LTPR_FPR,shape_NN_FPR_in,-0.219168657429527,0.00012976979974534708,300
