case,p,iteration,selected_n,oracle_mse_vs_y_cpu,dopt_mse_vs_nn_cpu,random_mse_median_cpu,mse_gain_vs_random_median_pct_cpu,dopt_shape_vs_nn_cpu,random_shape_median_cpu,shape_gain_vs_random_median_pct_cpu,elapsed_sec_case_p_cpu,oracle_mse_vs_y_gpu,dopt_mse_vs_nn_gpu,random_mse_median_gpu,mse_gain_vs_random_median_pct_gpu,dopt_shape_vs_nn_gpu,random_shape_median_gpu,shape_gain_vs_random_median_pct_gpu,elapsed_sec_case_p_gpu,oracle_mse_vs_y_gpu_minus_cpu,dopt_mse_vs_nn_gpu_minus_cpu,random_mse_median_gpu_minus_cpu,mse_gain_vs_random_median_pct_gpu_minus_cpu,dopt_shape_vs_nn_gpu_minus_cpu,random_shape_median_gpu_minus_cpu,shape_gain_vs_random_median_pct_gpu_minus_cpu,elapsed_sec_case_p_gpu_minus_cpu
highdim_smooth,50,4,2750,0.0080623521738936,0.0069019588366895,0.0072820339169004,5.219353336556607,0.0017791169385922,0.0019613496090449,9.291187538024088,45.303427899998496,0.0083477815924735,0.0074035926322593,0.007562580953188,2.102302400632929,0.0018999684952227,0.002008639918751,5.410199335070075,39.68841640000028,0.00028542941857990015,0.0005016337955697997,0.00028054703628760044,-3.1170509359236784,0.0001208515566305001,4.7290309706100354e-05,-3.880988202954013,-5.615011499998218
highdim_poly2,50,4,2750,0.0436883259505363,0.0391361910186188,0.0409583184204728,4.448735866419612,0.0105839846200739,0.0109112807800618,2.999612663125608,44.65610880000168,0.0445046512585222,0.0420035276137668,0.0420241424226114,0.0490546806103393,0.0109136012480039,0.011079875841505,1.500690042737488,38.26765319999686,0.0008163253079859004,0.0028673365951479984,0.0010658240021385948,-4.399681185809272,0.000329616627930001,0.00016859506144320004,-1.49892262038812,-6.388455600004825
highdim_smooth,20,4,2750,0.001810224957423,0.0007077822021589,0.000729519888903,2.9797250321454007,0.0004592253054508,0.000498301480159,7.841874099135857,11.189582200000586,0.0018204559564288,0.0007574457961183,0.0007846737710708,3.46997388677453,0.0004806100359833,0.0005521320113952,12.953781692744736,5.9346272999973735,1.023099900579992e-05,4.966359395940003e-05,5.5153882167800023e-05,0.49024885462912904,2.1384730532499996e-05,5.383053123620004e-05,5.111907593608879,-5.254954900003213
highdim_poly2,20,4,2750,0.0071919996255127,0.0025477255533562,0.002623583552579,2.891388732338375,0.0017962459056665,0.0018056750148786,0.522193037754791,11.835581999999704,0.0071529014187412,0.0027915622015789,0.0028170424216984,0.9045025351131863,0.0019312133116043,0.0018721588478677,-3.154351128052543,6.487962100000004,-3.909820677149966e-05,0.0002438366482226998,0.0001934588691193998,-1.9868861972251886,0.00013496740593780003,6.64838329891e-05,-3.676544165807334,-5.3476198999996996
