case,p,device,cuda_name,n_original,n_train_pool,n_eval,hidden,activation,epochs,degree,include_special,n_fullpr_features,n_design_params,initial_fraction,initial_n,batch_size,iteration,selected_n,oracle_mse_vs_y,surrogate_mse_vs_y,dopt_mse_vs_nn,dopt_shape_vs_nn,pilot_mse_fullpr_vs_nn,pilot_shape_fullpr_vs_nn,random_mse_median,random_mse_q25,random_mse_q75,random_shape_median,random_shape_q25,random_shape_q75,mse_gain_vs_random_median_pct,shape_gain_vs_random_median_pct,elapsed_sec_case_p
highdim_poly2,50,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,10000,7500,2500,"128,64,32",tanh,800,2,True,1425,1426,0.1,750,500,0,750,0.044504651258522245,0.031830814880551714,0.05041338623133506,0.012746716009706087,0.031068462033171255,0.00579727731720403,0.0514615341974586,0.05141316591226583,0.052036573244373344,0.013235882605683886,0.013040854568245015,0.013496077768100044,2.036760043145592,3.6957610652102373,2.5047647999963374
highdim_poly2,50,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,10000,7500,2500,"128,64,32",tanh,800,2,True,1425,1426,0.1,750,500,1,1250,0.044504651258522245,0.0711992551881927,0.09769772720986895,0.024732951969102603,0.031068462033171255,0.00579727731720403,0.1490239919453287,0.14259868004775825,0.1555352299477078,0.038178266586695306,0.03698780827258003,0.03903868925359055,34.4416117602657,35.21719506845877,5.979495300001872
highdim_poly2,50,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,10000,7500,2500,"128,64,32",tanh,800,2,True,1425,1426,0.1,750,500,2,1750,0.044504651258522245,0.031004752527416378,0.06055220576584061,0.016729988135143516,0.031068462033171255,0.00579727731720403,0.0643526490903649,0.06261448477200397,0.06567120058693472,0.016769078171738255,0.01622475720958194,0.017627036760580594,5.905651714799879,0.23310784405919246,17.362247099998058
highdim_poly2,50,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,10000,7500,2500,"128,64,32",tanh,800,2,True,1425,1426,0.1,750,500,3,2250,0.044504651258522245,0.014361934133156944,0.044185233863458205,0.011889706313243775,0.031068462033171255,0.00579727731720403,0.046890451055662564,0.046655907129863304,0.0475011663345847,0.012378519617264282,0.011907299015159377,0.012542409713022375,5.769228342446651,3.9488833813274526,28.776681299998017
highdim_poly2,50,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,10000,7500,2500,"128,64,32",tanh,800,2,True,1425,1426,0.1,750,500,4,2750,0.044504651258522245,0.011836287367354524,0.042003527613766814,0.010913601248003944,0.031068462033171255,0.00579727731720403,0.04202414242261146,0.04144861081098996,0.042681442285932264,0.011079875841505087,0.010870473553259433,0.011273179378515762,0.04905468061033934,1.500690042737488,38.26765319999686
highdim_smooth,50,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,10000,7500,2500,"128,64,32",tanh,800,2,True,1425,1426,0.1,750,500,0,750,0.008347781592473595,0.01923796821363653,0.0217104983306724,0.005248260117049045,0.02167439387163785,0.004435431144887661,0.022473536136736152,0.02180318327366698,0.02384615170068339,0.005633865737754205,0.005489602843316326,0.005919845647915751,3.395272561563906,6.844423325907506,2.8472608999945805
highdim_smooth,50,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,10000,7500,2500,"128,64,32",tanh,800,2,True,1425,1426,0.1,750,500,1,1250,0.008347781592473595,0.07344982240861685,0.0796678036692865,0.01969659097615882,0.02167439387163785,0.004435431144887661,0.06267084916228899,0.05959102720373963,0.06512860825254549,0.015923788131356947,0.015121636893853742,0.016708681149955766,-27.120989637435944,-23.692872661201207,6.290729399996053
highdim_smooth,50,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,10000,7500,2500,"128,64,32",tanh,800,2,True,1425,1426,0.1,750,500,2,1750,0.008347781592473595,0.00583118631442635,0.01047772163904276,0.00267810912850007,0.02167439387163785,0.004435431144887661,0.01293933764718606,0.0127574537152986,0.013972186507936767,0.003373705939383469,0.0032140287828014186,0.0036300140412509375,19.02428142199869,20.618181411819084,17.41282549999596
highdim_smooth,50,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,10000,7500,2500,"128,64,32",tanh,800,2,True,1425,1426,0.1,750,500,3,2250,0.008347781592473595,0.0035203533010053777,0.008090606985762033,0.002214175987175256,0.02167439387163785,0.004435431144887661,0.008734378432962622,0.008465114848894143,0.00880522323528977,0.002311631258232571,0.0023025849041810867,0.0023460643322768693,7.370546766912036,4.215865774882593,29.569291100000555
highdim_smooth,50,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,10000,7500,2500,"128,64,32",tanh,800,2,True,1425,1426,0.1,750,500,4,2750,0.008347781592473595,0.0027113787541739112,0.0074035926322593626,0.0018999684952227917,0.02167439387163785,0.004435431144887661,0.007562580953188043,0.007527372383886714,0.0077219716172105156,0.002008639918751011,0.001973971744523461,0.0020402430867212853,2.102302400632929,5.410199335070075,39.68841640000028
