case,p,device,cuda_name,n_original,n_train_pool,n_eval,hidden,activation,epochs,degree,include_special,n_fullpr_features,n_design_params,initial_fraction,initial_n,batch_size,iteration,selected_n,oracle_mse_vs_y,surrogate_mse_vs_y,dopt_mse_vs_nn,dopt_shape_vs_nn,pilot_mse_fullpr_vs_nn,pilot_shape_fullpr_vs_nn,random_mse_median,random_mse_q25,random_mse_q75,random_shape_median,random_shape_q25,random_shape_q75,mse_gain_vs_random_median_pct,shape_gain_vs_random_median_pct,elapsed_sec_case_p
highdim_poly2,50,cpu,,10000,7500,2500,"128,64,32",tanh,800,2,True,1425,1426,0.1,750,500,0,750,0.0436883259505363,0.0304821557573727,0.0461084252595331,0.0119079967326363,0.0294148177994219,0.0056135464206597,0.0501892651112643,0.0495666219579548,0.0506429526579823,0.0128102708335482,0.0126857912668873,0.0133607727992418,8.13090178285017,7.0433647550134175,8.940022800001316
highdim_poly2,50,cpu,,10000,7500,2500,"128,64,32",tanh,800,2,True,1425,1426,0.1,750,500,1,1250,0.0436883259505363,0.0585321745041581,0.0817715976614908,0.020460893960706,0.0294148177994219,0.0056135464206597,0.1355449375996774,0.1208474396209519,0.1443381542310068,0.0352179721071435,0.0320107223865007,0.036920594991422,39.6719648040286,41.90212344294564,12.348133899999084
highdim_poly2,50,cpu,,10000,7500,2500,"128,64,32",tanh,800,2,True,1425,1426,0.1,750,500,2,1750,0.0436883259505363,0.028969881591471,0.0557334100717695,0.0151604566203748,0.0294148177994219,0.0056135464206597,0.063203581478281,0.0617585322692821,0.0636668733405948,0.0163879283082748,0.0160693736120466,0.0175534587839155,11.81922168299672,7.490096763970833,23.71273179999844
highdim_poly2,50,cpu,,10000,7500,2500,"128,64,32",tanh,800,2,True,1425,1426,0.1,750,500,3,2250,0.0436883259505363,0.0142576692951413,0.0407312765031262,0.0111615390260274,0.0294148177994219,0.0056135464206597,0.0455559342563447,0.0450572711537061,0.0464973298402998,0.0120012878481436,0.011846852039055,0.0123049288146864,10.59062410194469,6.9971559114470345,34.922865500004264
highdim_poly2,50,cpu,,10000,7500,2500,"128,64,32",tanh,800,2,True,1425,1426,0.1,750,500,4,2750,0.0436883259505363,0.011939756201914,0.0391361910186188,0.0105839846200739,0.0294148177994219,0.0056135464206597,0.0409583184204728,0.0402912350887981,0.041238843759506,0.0109112807800618,0.0104808985633481,0.0112504883489199,4.448735866419612,2.999612663125608,44.65610880000168
highdim_smooth,50,cpu,,10000,7500,2500,"128,64,32",tanh,800,2,True,1425,1426,0.1,750,500,0,750,0.0080623521738936,0.0199031204396485,0.021607298295176,0.0053477555152737,0.0215356130003643,0.0045332329519766,0.0219634236242362,0.0213399555990571,0.0225756893480938,0.0053005685271544,0.0051972030873394,0.005831199251423,1.6214472531833983,-0.8902250367592854,8.76798350000172
highdim_smooth,50,cpu,,10000,7500,2500,"128,64,32",tanh,800,2,True,1425,1426,0.1,750,500,1,1250,0.0080623521738936,0.0741838673940723,0.0788824608848848,0.01893405974624,0.0215356130003643,0.0045332329519766,0.0665702180420321,0.0610310345610103,0.0705257431350676,0.0167928576406602,0.0157393390701368,0.0174336793827499,-18.495121700035373,-12.75067145448454,12.185761699998691
highdim_smooth,50,cpu,,10000,7500,2500,"128,64,32",tanh,800,2,True,1425,1426,0.1,750,500,2,1750,0.0080623521738936,0.0065342649727878,0.010944104128969,0.0028591797330636,0.0215356130003643,0.0045332329519766,0.0128583050447035,0.0124058919210814,0.0133069089765602,0.0032971718638656,0.0032036823766046,0.0033964470062897,14.886883683965294,13.283873237003302,23.374670199998945
highdim_smooth,50,cpu,,10000,7500,2500,"128,64,32",tanh,800,2,True,1425,1426,0.1,750,500,3,2250,0.0080623521738936,0.0035492505906891,0.0077935155596346,0.0019776247910619,0.0215356130003643,0.0045332329519766,0.0083087065471373,0.0082193893273751,0.0084081486757737,0.002192997100097,0.0021827211319395,0.0022592449274345,6.200615999372632,9.820911711444593,35.3360004999995
highdim_smooth,50,cpu,,10000,7500,2500,"128,64,32",tanh,800,2,True,1425,1426,0.1,750,500,4,2750,0.0080623521738936,0.0025921102210224,0.0069019588366895,0.0017791169385922,0.0215356130003643,0.0045332329519766,0.0072820339169004,0.0071967912321464,0.0074300978805891,0.0019613496090449,0.001944497172163,0.0019783494933475,5.219353336556607,9.291187538024088,45.303427899998496
highdim_poly2,20,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,10000,7500,2500,"128,64,32",tanh,800,2,True,270,271,0.1,750,500,0,750,0.0071529014187412,0.005685640594744,0.0037922201162038,0.0026794188855411,0.0034914406105929,0.0023112339350585,0.0037873952076333,0.0037087690045845,0.0039448007264463,0.002569937043494,0.0024728494711049,0.0026405815921632,-0.1273938500212273,-4.260098212298301,3.0476874000014504
highdim_poly2,20,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,10000,7500,2500,"128,64,32",tanh,800,2,True,270,271,0.1,750,500,1,1250,0.0071529014187412,0.0048621397644498,0.0030174213211945,0.0020309850131317,0.0034914406105929,0.0023112339350585,0.0031623559072473,0.0031476091699975,0.0031974107445834,0.0021060843089498,0.0020191876455186,0.0022030553288251,4.583120632331277,3.5658257126274404,3.557671599999594
highdim_poly2,20,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,10000,7500,2500,"128,64,32",tanh,800,2,True,270,271,0.1,750,500,2,1750,0.0071529014187412,0.0046749560325897,0.0028856516178426,0.001992771781962,0.0034914406105929,0.0023112339350585,0.0029814994660997,0.002956546310365,0.0030278487607003,0.0020532204052676,0.001922322235777,0.0021047892294894,3.214753158498233,2.944088376995301,4.509362100005092
