case,case_label,p,device,cuda_name,data_seed,init_seed,n_original,n_train_pool,n_eval,hidden,activation,epochs,degree,include_special,n_fullpr_features,n_design_params,initial_fraction,initial_n,batch_size,iteration,selected_n,oracle_mse_vs_y,surrogate_mse_vs_y,dopt_mse_vs_nn,dopt_shape_vs_nn,pilot_mse_fullpr_vs_nn,pilot_shape_fullpr_vs_nn,random_mse_median,random_mse_q25,random_mse_q75,random_shape_median,random_shape_q25,random_shape_q75,mse_gain_vs_random_median_pct,shape_gain_vs_random_median_pct,elapsed_sec_path
highdim_poly2,Quadratic,20,cpu,,0,0,10000,7500,2500,"128,64,32",tanh,1000,2,True,270,271,0.05,375,500,0,375,0.006558023285990569,0.009996764488239024,0.007874469868016678,0.005435015928599622,0.030830734165309376,0.016533424647582257,0.006898631912295519,0.006444404334261378,0.007337248288359708,0.004700214149244544,0.004136002290864915,0.005001363680740858,-14.145383724299165,-15.633368098199977,0.48041220000595786
highdim_poly2,Quadratic,20,cpu,,0,0,10000,7500,2500,"128,64,32",tanh,1000,2,True,270,271,0.05,375,500,1,875,0.006558023285990569,0.00503964432415935,0.0027352031017533734,0.0018297727410414685,0.030830734165309376,0.016533424647582257,0.0030002126387697866,0.002931003649443892,0.003088613194962911,0.0020202947336343466,0.0019871871293006944,0.002078466166365458,8.833025152679786,9.430405842326996,0.8498355000047013
highdim_poly2,Quadratic,20,cpu,,0,0,10000,7500,2500,"128,64,32",tanh,1000,2,True,270,271,0.05,375,500,2,1375,0.006558023285990569,0.004820652354363422,0.00248737163453963,0.0016934652076445982,0.030830734165309376,0.016533424647582257,0.0025493328744954228,0.002535261576267408,0.0025898350275791234,0.0017608166406641828,0.0017032777921308772,0.001818003561597515,2.430488406425013,3.825011160399957,1.3746825999987777
highdim_poly2,Quadratic,20,cpu,,0,0,10000,7500,2500,"128,64,32",tanh,1000,2,True,270,271,0.05,375,500,3,1875,0.006558023285990569,0.004785316724162349,0.002366981013764152,0.0016623346917536478,0.030830734165309376,0.016533424647582257,0.0024229314755269925,0.0023954190365687244,0.002471427245747518,0.0016921310645558404,0.0016550263292575305,0.001702904008957599,2.309205288221006,1.7608785410492878,2.476223600009689
highdim_poly2,Quadratic,20,cpu,,0,0,10000,7500,2500,"128,64,32",tanh,1000,2,True,270,271,0.05,375,500,4,2375,0.006558023285990569,0.00471174088863947,0.0023023500747649103,0.0015827517290150244,0.030830734165309376,0.016533424647582257,0.0023653960281590286,0.002344212410731569,0.0024002356298479634,0.0015667105726383053,0.0015218437852813106,0.0016278501782297924,2.6653445192087566,-1.0238749043294062,3.5362476000009337
highdim_poly2,Quadratic,20,cpu,,0,0,10000,7500,2500,"128,64,32",tanh,1000,2,True,270,271,0.05,375,500,5,2875,0.006558023285990569,0.0047006122937779905,0.002255555362949452,0.0014310624500329854,0.030830734165309376,0.016533424647582257,0.002297510331405457,0.0022767180279913766,0.00230582832950123,0.0015638207821018731,0.001520366389632845,0.0015886778277465674,1.8261057581551676,8.489357194144219,4.52656990000105
highdim_poly2,Quadratic,20,cpu,,0,0,10000,7500,2500,"128,64,32",tanh,1000,2,True,270,271,0.1,750,500,0,750,0.006558023285990569,0.00531076498642484,0.0027514679223492734,0.0018311821774227358,0.0031277326983584906,0.0018665367494507016,0.0031930975433888693,0.003026409881402652,0.0032886561979058215,0.002175661883885493,0.0021055041901799016,0.002264218764215157,13.830758849004328,15.833329113049244,0.346975200009183
highdim_poly2,Quadratic,20,cpu,,0,0,10000,7500,2500,"128,64,32",tanh,1000,2,True,270,271,0.1,750,500,1,1250,0.006558023285990569,0.0048154204566672664,0.0025062358877394894,0.0017392687397247393,0.0031277326983584906,0.0018665367494507016,0.002475565937436768,0.0024261052382235156,0.0024931759379347804,0.0016813008810151546,0.0016413366351452209,0.0017016618246136375,-1.2389066208625268,-3.4477980333052707,0.8487590000004275
highdim_poly2,Quadratic,20,cpu,,0,0,10000,7500,2500,"128,64,32",tanh,1000,2,True,270,271,0.1,750,500,2,1750,0.006558023285990569,0.004754197101771777,0.002378202009230547,0.0016987995092520504,0.0031277326983584906,0.0018665367494507016,0.002324264438951914,0.0022944062864318584,0.002368347955806628,0.0015848107471055873,0.0015519318990150418,0.001628244308807954,-2.3206296742618298,-7.192578820824254,1.87543130000995
highdim_poly2,Quadratic,20,cpu,,0,0,10000,7500,2500,"128,64,32",tanh,1000,2,True,270,271,0.1,750,500,3,2250,0.006558023285990569,0.004751673618903384,0.002313759896154943,0.0016831261092639708,0.0031277326983584906,0.0018665367494507016,0.002255549118598498,0.0022209131249408378,0.0022813172007332136,0.0016153605319064565,0.0015475203911002535,0.0017105095954674755,-2.580780754294309,-4.195074475265096,2.8915549000084866
