device,case,case_label,p,initial_fraction,iteration,selected_n,n_original,n_train_pool,n_eval,hidden,activation,epochs,degree,include_special,n_fullpr_features,n_design_params,initial_n,batch_size,oracle_mse_vs_y_mean,oracle_mse_vs_y_std,oracle_mse_vs_y_count,pilot_mse_fullpr_vs_nn_mean,pilot_mse_fullpr_vs_nn_std,pilot_mse_fullpr_vs_nn_count,pilot_shape_fullpr_vs_nn_mean,pilot_shape_fullpr_vs_nn_std,pilot_shape_fullpr_vs_nn_count,dopt_mse_vs_nn_mean,dopt_mse_vs_nn_std,dopt_mse_vs_nn_count,random_mse_median_mean,random_mse_median_std,random_mse_median_count,mse_gain_vs_random_median_pct_mean,mse_gain_vs_random_median_pct_std,mse_gain_vs_random_median_pct_count,dopt_shape_vs_nn_mean,dopt_shape_vs_nn_std,dopt_shape_vs_nn_count,random_shape_median_mean,random_shape_median_std,random_shape_median_count,shape_gain_vs_random_median_pct_mean,shape_gain_vs_random_median_pct_std,shape_gain_vs_random_median_pct_count,oracle_mse_vs_y_sem,oracle_mse_vs_y_ci95,pilot_mse_fullpr_vs_nn_sem,pilot_mse_fullpr_vs_nn_ci95,pilot_shape_fullpr_vs_nn_sem,pilot_shape_fullpr_vs_nn_ci95,dopt_mse_vs_nn_sem,dopt_mse_vs_nn_ci95,random_mse_median_sem,random_mse_median_ci95,mse_gain_vs_random_median_pct_sem,mse_gain_vs_random_median_pct_ci95,dopt_shape_vs_nn_sem,dopt_shape_vs_nn_ci95,random_shape_median_sem,random_shape_median_ci95,shape_gain_vs_random_median_pct_sem,shape_gain_vs_random_median_pct_ci95,positive_rate
cpu,highdim_strong,Strong nonlinear,50,0.05,5,2875,10000,7500,2500,"128,64,32",tanh,1000,2,True,1425,1426,375,500,0.003319088055013453,0.0005080238803020171,6,0.057886003266497,0.011653071612506678,6,0.008412798184262545,0.0017898641017060962,6,0.0038458073742397244,0.0006662326607851979,6,0.0038668741862495355,0.0006789385317724375,6,0.4843680440836038,3.4923700703905673,6,0.00096979957732272,0.00015811213569317967,6,0.0010239886069709511,0.00016726363391249147,6,5.214903597056819,4.760345892014993,6,0.00020739988064811667,0.00040650376607030865,0.004757346564458823,0.009324399266339293,0.0007307089596841516,0.0014321895609809372,0.0002719883448167478,0.0005330971558408258,0.00027717549492614277,0.0005432639700552398,1.42575411090411,2.794478057372056,6.454900909833094e-05,0.00012651605783272864,6.828509260154807e-05,0.00013383878149903422,1.9434030724317939,3.809070021966316,0.6666666666666666
cpu,highdim_strong,Strong nonlinear,50,0.1,5,3250,10000,7500,2500,"128,64,32",tanh,1000,2,True,1425,1426,750,500,0.003319088055013453,0.0005080238803020171,6,0.04689459342308069,0.00908545575012831,6,0.010090143823291034,0.001844165006359528,6,0.0036127858952351567,0.0006410902675186346,6,0.0036748512160330415,0.0006717745564205482,6,1.5866206270806875,1.7765637106767507,6,0.0009804090570731895,0.00016064305064473068,6,0.0009433590927925723,0.00016351037039807512,6,-4.125427838436205,4.768517626234786,6,0.00020739988064811667,0.00040650376607030865,0.003709121778074957,0.007269878685026916,0.0007528772111795565,0.0014756393339119306,0.0002617240057475032,0.0005129790512651062,0.00027425081423580874,0.0005375315959021851,0.7252790977839205,1.4215470316564842,6.558225080061107e-05,0.00012854121156919768,6.67528291881272e-05,0.0001308355452087293,1.9467391689571496,3.815608771156013,0.6666666666666666
cuda,highdim_poly2,Quadratic,20,0.05,5,2875,10000,7500,2500,"128,64,32",tanh,1000,2,True,270,271,375,500,0.008007250931467995,0.0010000885314634758,6,0.038540435037832554,0.011978259810981294,6,0.020273697014241473,0.006177002300036321,6,0.003540555753715915,0.0007041853086505041,6,0.003612058589496536,0.0007232582867499769,6,1.957815152820871,0.7211680032657964,6,0.002468931750943612,0.0005301122967683458,6,0.002474113706174714,0.0005095624718426798,6,0.13099629649005706,4.748943370778156,6,0.0004082844332824793,0.0008002374892336594,0.0048901040905651085,0.009584604017507612,0.002521750629181178,0.004942631233195109,0.00028748244842633603,0.0005634655989156186,0.00029526895912950055,0.0005787271598938211,0.294415604470499,0.5770545847621781,0.00021641743890954922,0.0004241781802627165,0.00020802800801431439,0.0004077348957080562,1.9387480126298777,3.7999461047545604,1.0
cuda,highdim_poly2,Quadratic,20,0.1,5,3250,10000,7500,2500,"128,64,32",tanh,1000,2,True,270,271,750,500,0.008007250931467995,0.0010000885314634758,6,0.0048114011346348995,0.0014005389982087917,6,0.003052904161676631,0.0008414904170087951,6,0.0035163430247584977,0.0007096852606543533,6,0.003575923721696545,0.0007157278621090297,6,1.6999008525879227,0.4282651331174538,6,0.0023922807457074304,0.0004942155304457995,6,0.0024269359818895617,0.000504764937469563,6,1.317239795319031,6.2720610381853215,6,0.0004082844332824793,0.0008002374892336594,0.0005717676517467106,0.0011206645974235526,0.0003435370241855638,0.0006733325674037051,0.0002897277944295408,0.0005678664770818999,0.00029219467614336684,0.000572701565240999,0.17483850846047924,0.3426834765825393,0.0002017626454251889,0.00039545478503337023,0.00020606942280804785,0.0004038960687037738,2.5605581965241595,5.018694065187352,1.0
cuda,highdim_poly2,Quadratic,50,0.05,5,2875,10000,7500,2500,"128,64,32",tanh,1000,2,True,1425,1426,375,500,0.037016567843385605,0.005454430761277767,6,0.04032820828672172,0.004498760161388465,6,0.005936556411771602,0.0004796448383360124,6,0.033838445063159604,0.0062560484120289936,6,0.03502645614893036,0.006132217089202863,6,3.5505084130696942,1.6722172314857533,6,0.008995698656938507,0.0015387874395149002,6,0.009526677545393358,0.0016523579036808154,6,5.538308589687296,1.9868820554292517,6,0.0022267620337451557,0.004364453586140505,0.0018366111450937735,0.003599757844383796,0.00019581418528049303,0.00038379580314976635,0.0025540210692700017,0.005005881295769204,0.002503467143420355,0.004906795601103896,0.6826798260382727,1.3380524590350145,0.0006282073415692231,0.0012312863894756772,0.0006745722894121454,0.001322161687247805,0.8111412024823184,1.589836756865344,1.0
cuda,highdim_poly2,Quadratic,50,0.1,5,3250,10000,7500,2500,"128,64,32",tanh,1000,2,True,1425,1426,750,500,0.037016567843385605,0.005454430761277767,6,0.03235069535846572,0.004009106126784961,6,0.0065843764847387425,0.001054371129096427,6,0.0328025824492429,0.0059689387462108,6,0.033718603474703755,0.005912718320713934,6,2.81600703042608,1.1627851950977426,6,0.008821171352452408,0.0017580167658712864,6,0.009027028195942009,0.0015363531429919205,6,2.478536128016138,7.311795832602924,6,0.0022267620337451557,0.004364453586140505,0.0016367107225481597,0.003207953016194393,0.0004304452109680694,0.000843672613497416,0.0024368090390240733,0.004776145716487184,0.0024138571464258265,0.00473116000699462,0.4747050680753429,0.9304219334276721,0.000717707339273762,0.0014067063849765736,0.0006272135441752344,0.0012293385465834594,2.985028148880942,5.850655171806646,1.0
cuda,highdim_smooth,Smooth,20,0.05,5,2875,10000,7500,2500,"128,64,32",tanh,1000,2,True,270,271,375,500,0.002028275282851153,0.0003035395828656899,6,0.0077291364688654935,0.003590072077705301,6,0.004417135373920894,0.002098956312451929,6,0.0008717077926120518,0.00017656838164887534,6,0.0008959555374440657,0.0001893930905076549,6,2.5810451056526014,1.3143195842090925,6,0.0005767203158754784,0.00012219933973170138,6,0.0005849730665938472,0.00010547033471514642,6,1.6486814411764756,5.853360010783692,6,0.00012391951579303201,0.00024288225095434274,0.0014656407883652382,0.002872655945195867,0.0008568953263168339,0.0016795148395809944,7.208373995812428e-05,0.0001412841303179236,7.73194054254178e-05,0.00015154603463381889,0.5365687233765373,1.051674697818013,4.9887671541279906e-05,9.777983622090861e-05,4.305808384210995e-05,8.43938443305355e-05,2.3896242178719813,4.683663467029083,1.0
cuda,highdim_smooth,Smooth,20,0.1,5,3250,10000,7500,2500,"128,64,32",tanh,1000,2,True,270,271,750,500,0.002028275282851153,0.0003035395828656899,6,0.0010924821726159741,0.0002519114911057809,6,0.0006661033841087897,0.00015850642533579622,6,0.0008690513990781853,0.00017718093952380907,6,0.0008927659865920493,0.00018933379468484828,6,2.5426838383631507,1.3548581302059068,6,0.000604507337957765,0.00016372496707087376,6,0.0005860838528378202,0.00011518718194049505,6,-2.2628092564458133,8.052180457603317,6,0.00012391951579303201,0.00024288225095434274,0.00010284243559213769,0.00020157117376058987,6.470997717087676e-05,0.00012683155525491845,7.233381566337616e-05,0.00014177427870021726,7.729519800712536e-05,0.0001514985880939657,0.5531185154776275,1.0841122903361498,6.684043791293648e-05,0.0001310072583093555,4.702497011055707e-05,9.216894141669185e-05,3.287288906323081,6.443086256393238,1.0
cuda,highdim_smooth,Smooth,50,0.05,5,2875,10000,7500,2500,"128,64,32",tanh,1000,2,True,1425,1426,375,500,0.010743376181192955,0.002258318608410163,6,0.038383782270856176,0.005794002773831197,6,0.005005491568249789,0.0003611254739768135,6,0.009685144140810226,0.002082591016674934,6,0.010045701555002761,0.002225239437621956,6,3.490265746902955,1.195186947982117,6,0.0026115812883763002,0.0006325273915004459,6,0.0027108182960570056,0.000609228085076421,6,3.8555863871612686,3.845490193855437,6,0.0009219547112061792,0.0018070312339641113,0.002365391727359467,0.004636167785624555,0.00014742885739398636,0.00028896056049221324,0.0008502142222929403,0.001666419875694163,0.0009084501962819316,0.0017805623847125859,0.48793302829842133,0.9563487354649058,0.00025822822625162366,0.0005061273234531824,0.0002487163242350218,0.00048748399550064273,1.5699147976370313,3.0770330033685815,1.0
cuda,highdim_smooth,Smooth,50,0.1,5,3250,10000,7500,2500,"128,64,32",tanh,1000,2,True,1425,1426,750,500,0.010743376181192955,0.002258318608410163,6,0.022897593150673076,0.003720342256583204,6,0.004591192633924354,0.0004035020772028549,6,0.009473313906323064,0.001957880143573993,6,0.00976299409026052,0.0021139333767618966,6,2.800471130353062,1.8378594781584534,6,0.002597617154485156,0.0005473674213166875,6,0.002605089472648751,0.0006047660420546077,6,-0.11080703500894902,2.9187039757562188,6,0.0009219547112061792,0.0018070312339641113,0.0015188233661905636,0.0029768937977335047,0.00016472903321668322,0.0003228689051046991,0.0007993012215472253,0.0015666303942325616,0.0008630096872175455,0.0016914989869463892,0.7503029900709961,1.4705938605391524,0.00022346181400815073,0.0004379851554559754,0.0002468947027993903,0.00048391361748680495,1.1915559084725567,2.335449580606211,0.8333333333333334
cuda,highdim_strong,Strong nonlinear,20,0.05,5,2875,10000,7500,2500,"128,64,32",tanh,1000,2,True,270,271,375,500,0.0010703973876747847,0.00017856175166165744,6,0.013522468690387845,0.004841192971411226,6,0.007288986216934429,0.0024902380294952943,6,0.0011294843444704626,0.0003298859977451395,6,0.0012186137843763808,0.00045286504716354374,6,5.345046489948235,6.658690789429615,6,0.0007368889780911524,0.0002917175697030481,6,0.0007726829510864004,0.00034455770095981325,6,-7.6131318062953035,54.59250702984116,6,7.289752985810451e-05,0.00014287915852188485,0.0019764087543843027,0.003873761158593233,0.001016635418389553,0.0019926054200435236,0.000134675394627419,0.0002639637734697412,0.00018488138131535345,0.00036236750737809277,2.718399131512111,5.328062297763738,0.00011909319912954221,0.00023342267029390271,0.00014066509238300272,0.0002757035810706853,22.28729766706908,43.68310342745539,0.8333333333333334
cuda,highdim_strong,Strong nonlinear,20,0.1,5,3250,10000,7500,2500,"128,64,32",tanh,1000,2,True,270,271,750,500,0.0010703973876747847,0.00017856175166165744,6,0.0013710241718969025,0.00028974301653904235,6,0.0008210003714036199,0.000168512399924414,6,0.0011236014656923286,0.00034250945666715576,6,0.001172764160305099,0.00042286821864889875,6,2.7276474099102628,5.212125417435781,6,0.0007542793754443848,0.0003413537809262844,6,0.0006991964658523371,0.00019428462954963646,6,-11.48060787811883,41.54066821455,6,7.289752985810451e-05,0.00014287915852188485,0.00011828709117590683,0.0002318426987047774,6.879489919110483e-05,0.00013483800241456545,0.00013982890015207293,0.00027406464429806295,0.00017263522735491197,0.00033836504561562746,2.127841291351406,4.170568931048756,0.00013935709750653163,0.000273139911112802,7.931636787704401e-05,0.00015546008103900627,16.95890678331657,33.23945729530048,0.6666666666666666
cuda,highdim_strong,Strong nonlinear,50,0.05,5,2875,10000,7500,2500,"128,64,32",tanh,1000,2,True,1425,1426,375,500,0.0032647346076465113,0.0004172934060243847,6,0.06053480665177618,0.012102448972466668,6,0.009187794900491202,0.00159350059480336,6,0.0037685376388617935,0.0005902993107320624,6,0.0038311269585697815,0.0006038869721389866,6,1.6155162604813758,1.513302628064753,6,0.0009529156726423483,0.00015383463805346563,6,0.0010403286936913263,0.0001821362375673378,6,8.144389556965217,5.491716514050213,6,0.00017035931963129775,0.0003339042664773436,0.004940804103435653,0.009683976042733881,0.0006505438936816207,0.0012750660316159766,0.00024098868446836117,0.0004723378215579879,0.00024653582400913977,0.00048321021505791394,0.6178032108619066,1.210894293289337,6.280272799945447e-05,0.00012309334687893078,7.435680761838569e-05,0.00014573934293203597,2.241983878573165,4.394288402003403,0.8333333333333334
cuda,highdim_strong,Strong nonlinear,50,0.1,5,3250,10000,7500,2500,"128,64,32",tanh,1000,2,True,1425,1426,750,500,0.0032647346076465113,0.0004172934060243847,6,0.053291043226362356,0.0097293450557171,6,0.011321061239526144,0.0021444358851534246,6,0.0035053757257652723,0.000533093116845441,6,0.0035299730992392683,0.0005856045668783934,6,0.5043268269809892,2.250520316217949,6,0.0009023302749732267,0.00019138769150837045,6,0.0009190840657855882,0.0001248830846755712,6,2.413131425131973,8.917302730125238,6,0.00017035931963129775,0.0003339042664773436,0.003971988486329544,0.007785097433205907,0.0008754622841232466,0.0017159060768815633,0.00021763435361020367,0.0004265633330759992,0.00023907206331593507,0.0004685812440992327,0.9187710717501701,1.8007913006303335,7.813369787411744e-05,0.0001531420478332702,5.098330582665579e-05,9.992727942024534e-05,3.640473595122367,7.1353282464398395,0.6666666666666666
