case,case_label,p,activation,hidden,max_order,include_special,data_seed,init_seed,n,n_train,n_eval,nn_mse_vs_y,fpr_mse_vs_y,fpr_mse_vs_nn,shape_nn_fpr,abs_rmse_gap,close_threshold,is_close,budget,status,candidate_domain,n_candidates,budget_multiplier,n_parameters,dopt_mse_vs_nn,dopt_shape_vs_nn,latin_mse_vs_nn,latin_shape_vs_nn,random_mse_median,random_mse_q25,random_mse_q75,random_mse_mean,random_shape_median,random_shape_q25,random_shape_q75,random_shape_mean,dopt_gain_vs_random_median_pct,latin_gain_vs_random_median_pct,dopt_shape_gain_vs_random_median_pct,latin_shape_gain_vs_random_median_pct,elapsed_sec_run
paper_poly3,Poly3,3,tanh,"16,8,4",3,True,4,0,1000,750,250,7.424021987390006e-06,6.101710016143707e-10,7.436414797420348e-06,1.651772723331576e-05,0.0027000042137158616,0.0005,True,78.0,used_close,training_data_region,750.0,3.0,26.0,8.868530814280057e-06,1.7302243760627295e-05,8.799086498810876e-06,1.833992636692918e-05,1.6217121499746354e-05,1.0835011969957008e-05,2.5732346835332817e-05,2.1386515044790798e-05,3.534062675052589e-05,2.3186100332039268e-05,5.404287726951418e-05,4.5019861806933946e-05,45.313779548246174,45.74199558812889,51.04149147448318,48.10525999894365,2.3165630999865243
paper_poly3,Poly3,3,tanh,"16,8,4",3,True,4,0,1000,750,250,7.424021987390006e-06,6.101710016143707e-10,7.436414797420348e-06,1.651772723331576e-05,0.0027000042137158616,0.0005,True,104.0,used_close,training_data_region,750.0,4.0,26.0,7.84594606930359e-06,1.6270078178323805e-05,1.556411350612596e-05,3.46066205988251e-05,1.2735011799003036e-05,9.07463299886039e-06,1.9027856086468695e-05,1.7123042555896068e-05,2.8405736478467224e-05,1.992850382418372e-05,4.2161047722257534e-05,3.716669154081778e-05,38.390743619744335,-22.215147907003896,42.72256172390662,-21.82968966517876,2.4789717999956338
paper_poly3,Poly3,3,tanh,"16,8,4",3,True,4,1,1000,750,250,7.018528776825406e-06,6.101710016143707e-10,7.028758588001535e-06,1.5147597324338113e-05,0.0026245489669937446,0.0005,True,26.0,used_close,training_data_region,750.0,1.0,26.0,3.4960146149611724e-05,7.263802193589695e-05,1.460222556146473e-05,3.2215028644256606e-05,0.0010368488939857539,0.00022210389975771714,0.00399198800822538,6.84716420849793,0.00213002178497394,0.0004607384118386271,0.008054222661748899,0.02971850091656552,96.62823133125781,98.59167274555,96.58979910683,98.4875728092776,2.032042000006186
paper_poly3,Poly3,3,tanh,"16,8,4",3,True,4,1,1000,750,250,7.018528776825406e-06,6.101710016143707e-10,7.028758588001535e-06,1.5147597324338113e-05,0.0026245489669937446,0.0005,True,52.0,used_close,training_data_region,750.0,2.0,26.0,9.921660422864447e-06,2.058829578475229e-05,8.775964616636108e-06,1.9365078968530372e-05,1.9173026102754128e-05,1.1763912994702273e-05,2.826344662964118e-05,2.2681385835547816e-05,4.067302947329149e-05,2.5323382705240245e-05,6.0435734542774465e-05,4.7180204100929915e-05,48.251985003873536,54.22754566961406,49.38096313117793,52.38840278360205,2.1975051000044914
paper_poly3,Poly3,3,tanh,"16,8,4",3,True,4,1,1000,750,250,7.018528776825406e-06,6.101710016143707e-10,7.028758588001535e-06,1.5147597324338113e-05,0.0026245489669937446,0.0005,True,78.0,used_close,training_data_region,750.0,3.0,26.0,7.09279792906519e-06,1.502546201682761e-05,6.301480309656875e-06,1.416948033449806e-05,9.691847904769396e-06,6.703910873088896e-06,1.3580123357636252e-05,1.3427996732508155e-05,2.0990742686426526e-05,1.4142229009510912e-05,2.8616286737791316e-05,2.848043155421876e-05,26.81686713660873,34.98164259721934,28.418626052027737,32.49652693965599,2.3527117000048747
paper_poly3,Poly3,3,tanh,"16,8,4",3,True,4,1,1000,750,250,7.018528776825406e-06,6.101710016143707e-10,7.028758588001535e-06,1.5147597324338113e-05,0.0026245489669937446,0.0005,True,104.0,used_close,training_data_region,750.0,4.0,26.0,6.52303415254823e-06,1.3887275687418577e-05,4.574365351827538e-06,1.007679396187652e-05,8.187933418978901e-06,5.833876734903831e-06,1.3341377160824522e-05,1.0864474209114343e-05,1.7548435981294034e-05,1.2893291683360862e-05,2.851769673425568e-05,2.3171199421701712e-05,20.33357113739571,44.13284625367659,20.863171497323833,42.577253194427136,2.500030000010156
paper_poly4,Poly4,3,tanh,"16,8,4",3,True,0,0,1000,750,250,3.788063986576162e-05,1.3225280045979196e-07,3.675841438574307e-05,7.647620419060472e-05,0.005791059222000159,0.0005,True,26.0,used_close,training_data_region,750.0,1.0,26.0,0.00014636458158603455,0.0002453105982138262,0.0011649396563114555,0.0023084310719197515,0.0026130266246908148,0.0005652773311563257,0.012430183107960532,0.08435831216118056,0.0052130268461699995,0.0011439974575481256,0.02266888385686064,0.04231158624360063,94.39865708971286,55.41799515918456,95.29427709749748,55.71802831562721,2.114770400003181
paper_poly4,Poly4,3,tanh,"16,8,4",3,True,0,0,1000,750,250,3.788063986576162e-05,1.3225280045979196e-07,3.675841438574307e-05,7.647620419060472e-05,0.005791059222000159,0.0005,True,52.0,used_close,training_data_region,750.0,2.0,26.0,2.1130971966320833e-05,4.4377684856086804e-05,1.1260845778383365e-05,2.1541762414328304e-05,9.487625425426047e-05,5.335946314391451e-05,0.00023311159505443618,0.00019674642131247433,0.00017889645995100207,0.00010923590558364362,0.00045884074543096285,0.0003902866120150385,77.72786021917393,88.13101774843973,75.1936483996154,87.95853063820917,2.2500314000062644
paper_poly4,Poly4,3,tanh,"16,8,4",3,True,0,0,1000,750,250,3.788063986576162e-05,1.3225280045979196e-07,3.675841438574307e-05,7.647620419060472e-05,0.005791059222000159,0.0005,True,78.0,used_close,training_data_region,750.0,3.0,26.0,2.2277167022094445e-05,4.66769547843995e-05,1.9779159690591583e-05,4.282202863538873e-05,6.413994992588963e-05,3.8937240555481815e-05,0.0001493574980249922,0.000126870089008307,0.00013023150909598756,8.037340047375996e-05,0.00030142610254286226,0.0002555820878586578,65.2678758748104,69.16249589616865,64.15847815293601,67.1185345753564,2.3961032000079285
paper_poly4,Poly4,3,tanh,"16,8,4",3,True,0,0,1000,750,250,3.788063986576162e-05,1.3225280045979196e-07,3.675841438574307e-05,7.647620419060472e-05,0.005791059222000159,0.0005,True,104.0,used_close,training_data_region,750.0,4.0,26.0,2.1400827670755817e-05,4.4999965643444716e-05,3.129471410399835e-05,6.127057728184054e-05,4.028287733759128e-05,2.5875176023518595e-05,7.920003418554423e-05,8.198364585843053e-05,8.277582930522194e-05,5.584013281580578e-05,0.0001624008927590705,0.00016635035027841817,46.87363692666279,22.312614757549444,45.636345753160725,25.980110623941208,2.5444666000112193
