case,case_label,budget,budget_multiplier,n_parameters,shape_nn_fpr_mean,shape_nn_fpr_std,shape_nn_fpr_count,abs_rmse_gap_mean,abs_rmse_gap_std,abs_rmse_gap_count,dopt_mse_vs_nn_mean,dopt_mse_vs_nn_std,dopt_mse_vs_nn_count,latin_mse_vs_nn_mean,latin_mse_vs_nn_std,latin_mse_vs_nn_count,random_mse_median_mean,random_mse_median_std,random_mse_median_count,dopt_gain_vs_random_median_pct_mean,dopt_gain_vs_random_median_pct_std,dopt_gain_vs_random_median_pct_count,latin_gain_vs_random_median_pct_mean,latin_gain_vs_random_median_pct_std,latin_gain_vs_random_median_pct_count,dopt_shape_gain_vs_random_median_pct_mean,dopt_shape_gain_vs_random_median_pct_std,dopt_shape_gain_vs_random_median_pct_count,latin_shape_gain_vs_random_median_pct_mean,latin_shape_gain_vs_random_median_pct_std,latin_shape_gain_vs_random_median_pct_count,shape_nn_fpr_se,shape_nn_fpr_ci95,abs_rmse_gap_se,abs_rmse_gap_ci95,dopt_mse_vs_nn_se,dopt_mse_vs_nn_ci95,latin_mse_vs_nn_se,latin_mse_vs_nn_ci95,random_mse_median_se,random_mse_median_ci95,dopt_gain_vs_random_median_pct_se,dopt_gain_vs_random_median_pct_ci95,latin_gain_vs_random_median_pct_se,latin_gain_vs_random_median_pct_ci95,dopt_shape_gain_vs_random_median_pct_se,dopt_shape_gain_vs_random_median_pct_ci95,latin_shape_gain_vs_random_median_pct_se,latin_shape_gain_vs_random_median_pct_ci95
paper_poly3,Poly3,26.0,1.0,26.0,5.296073540809097e-05,5.503672251307346e-05,8,0.004164935739789688,0.0021626596188150634,8,0.0016485059338844856,0.0029768987627974155,8,6.860988596040868,19.39586582310604,8,0.001180923571968908,0.0006881056235477844,8,-94.82936329553507,328.15127348883095,8,-737563.7160097494,2086000.756673488,8,-59.85343798631213,267.1072861902426,8,-5053.9443626294815,14184.533397423642,8,1.945841985163828e-05,3.813850290921103e-05,0.0007646156409312225,0.001498646656225196,0.001052492651039948,0.002062885596038298,6.857474125251338,13.440649285492622,0.000243282076291618,0.00047683286953157126,116.01899536947684,227.3972309241746,737512.6403020463,1445524.7749920108,94.43668668472819,185.09590590206724,5014.989876642657,9829.380158219607
paper_poly3,Poly3,52.0,2.0,26.0,5.296073540809097e-05,5.503672251307346e-05,8,0.004164935739789688,0.0021626596188150634,8,2.4445250261880633e-05,2.158165377996608e-05,8,3.111590820264997e-05,2.749079589411729e-05,8,4.677064998019135e-05,3.388615595500508e-05,8,41.8875764573821,31.4140114222097,8,37.538433319349856,14.861553900809591,8,45.687860674528196,27.3122087496017,8,38.623793856511526,15.037871427097633,8,1.945841985163828e-05,3.813850290921103e-05,0.0007646156409312225,0.001498646656225196,7.63026686851715e-06,1.4955323062293612e-05,9.719464098472817e-06,1.9050149633006722e-05,1.1980565332064501e-05,2.348190805084642e-05,11.10653025045807,21.768799290897817,5.254352771115924,10.298531431387211,9.656324008012959,18.9263950557054,5.31669043035608,10.420713243497916
paper_poly3,Poly3,78.0,3.0,26.0,5.296073540809097e-05,5.503672251307346e-05,8,0.004164935739789688,0.0021626596188150634,8,2.0269744787576476e-05,1.9288165806522655e-05,8,2.1773427078217666e-05,2.298268180674721e-05,8,3.3334328761552334e-05,2.4749790205285598e-05,8,39.029141866457586,21.43287001289117,8,32.95911154840371,28.456640085851163,8,41.21134706553678,21.960902813567056,8,32.66620321358202,30.565816115407955,8,1.945841985163828e-05,3.813850290921103e-05,0.0007646156409312225,0.001498646656225196,6.819396419221331e-06,1.3366016981673807e-05,8.125605077701823e-06,1.5926185952295574e-05,8.750372243550919e-06,1.7150729597359802e-05,7.5776638632025755,14.852221171877048,10.060941587245146,19.719445511000487,7.764351650225998,15.218129234442955,10.80664792385301,21.181029930751897
paper_poly3,Poly3,104.0,4.0,26.0,5.296073540809097e-05,5.503672251307346e-05,8,0.004164935739789688,0.0021626596188150634,8,1.9215565447658346e-05,1.9125314572194676e-05,8,1.9394094813709107e-05,1.580966164746288e-05,8,2.750670002148672e-05,2.1310403056893102e-05,8,31.94255261798712,19.124056533603582,8,22.232223491198738,31.520554004452276,8,34.79743937444803,19.28787278324534,8,22.797435542805403,31.36074055335202,8,1.945841985163828e-05,3.813850290921103e-05,0.0007646156409312225,0.001498646656225196,6.7618198131623745e-06,1.3253166833798253e-05,5.589559479592943e-06,1.0955536580002169e-05,7.5343652556738216e-06,1.476735590112069e-05,6.761375029352996,13.252295057531871,11.144198741652493,21.84262953363889,6.819292819848114,13.365813926902304,11.087696154153587,21.73188446214103
paper_poly4,Poly4,26.0,1.0,26.0,8.394254271147693e-05,9.035707931113419e-05,8,0.005079646368872528,0.002882092492653692,8,0.0010139478032707516,0.0017986071354786017,8,3.4333950863933858,9.704263943910181,8,0.003179519703160825,0.001884460310672776,8,8.742485486558818,183.339315486938,8,-776310.8957042152,2195879.07731298,8,20.944423428919613,158.41776364305252,8,-10114.922528461133,28751.080031762587,8,3.194605175455684e-05,6.261426143893141e-05,0.0010189735727811327,0.00199718820265102,0.0006359036510937152,0.0012463711561436818,3.4309754205814995,6.724711824339739,0.000666257332276814,0.0013058643712625553,64.82023661945684,127.0476637741354,776360.4931168335,1521666.5665089937,56.00913746620507,109.77790943376193,10165.041828448231,19923.48198375853
paper_poly4,Poly4,52.0,2.0,26.0,8.394254271147693e-05,9.035707931113419e-05,8,0.005079646368872528,0.002882092492653692,8,4.2794852549542e-05,4.5913041678255023e-05,8,4.262797028608187e-05,5.590454909336673e-05,8,8.523048903761583e-05,6.402712582118657e-05,8,52.394762493363054,25.386462434328195,8,59.75661592639334,28.812081295865067,8,56.444240776260024,22.14707069871794,8,59.57139613514216,29.138556651784093,8,3.194605175455684e-05,6.261426143893141e-05,0.0010189735727811327,0.00199718820265102,1.6232711557797354e-05,3.1816114653282814e-05,1.9765242881547934e-05,3.873987604783395e-05,2.263700742402266e-05,4.436853455108441e-05,8.975469868825508,17.591920942897996,10.186609032202139,19.965753703116192,7.830171937240672,15.347136996991717,10.302035501232456,20.191989582415616
paper_poly4,Poly4,78.0,3.0,26.0,8.394254271147693e-05,9.035707931113419e-05,8,0.005079646368872528,0.002882092492653692,8,4.0614043548978606e-05,4.8525136734451656e-05,8,4.517782197411503e-05,4.87681850206136e-05,8,5.903227459066264e-05,5.049522494075499e-05,8,41.12931777322208,23.452784911928884,8,31.51688956394128,25.07481867273688,8,43.966658736859955,20.924880225798585,8,31.987630008727614,27.39923932198447,8,3.194605175455684e-05,6.261426143893141e-05,0.0010189735727811327,0.00199718820265102,1.71562266214676e-05,3.36262041780765e-05,1.7242157167118043e-05,3.3794628047551366e-05,1.7852757986573967e-05,3.499140565368498e-05,8.291811624467229,16.25195078395577,8.865287160257655,17.375962834105003,7.398062351589237,14.500202209114905,9.68709396196416,18.986704165449755
paper_poly4,Poly4,104.0,4.0,26.0,8.394254271147693e-05,9.035707931113419e-05,8,0.005079646368872528,0.002882092492653692,8,3.916665360785424e-05,4.73565005368498e-05,8,4.533303905559411e-05,5.3063420771314164e-05,8,4.976998696059634e-05,4.701106046321918e-05,8,32.92667405243835,21.187674848708888,8,21.43957635429933,20.952215554526735,8,35.27659611187512,19.943565063142515,8,24.659284553814054,21.164063871784148,8,3.194605175455684e-05,6.261426143893141e-05,0.0010189735727811327,0.00199718820265102,1.6743051331435435e-05,3.281638060961345e-05,1.8760752330175673e-05,3.677107456714432e-05,1.662091982215654e-05,3.2577002851426814e-05,7.490974281548855,14.682309591835756,7.407726849744056,14.519144625498349,7.051115048591593,13.820185495239523,7.482626540601894,14.66594801957971
