case,case_label,dataset_family,p,device,cuda_name,data_seed,init_seed,n,n_train,n_eval,hidden,activation,epochs,degree,include_special,n_fullpr_features,n_design_params,oracle_mse_vs_y,full_fpr_mse_vs_y,full_fpr_mse_vs_nn,shape_nn_fpr,abs_rmse_gap,close_threshold,is_close,status,candidate_domain,n_candidates,budget,budget_multiplier,criteria,dopt_mse_vs_nn,dopt_shape_vs_nn,aopt_mse_vs_nn,aopt_shape_vs_nn,iopt_mse_vs_nn,iopt_shape_vs_nn,latin_mse_vs_nn,latin_shape_vs_nn,random_mse_median,random_mse_q25,random_mse_q75,random_mse_mean,random_shape_median,random_shape_q25,random_shape_q75,random_shape_mean,dopt_gain_vs_random_median_pct,dopt_shape_gain_vs_random_median_pct,aopt_gain_vs_random_median_pct,aopt_shape_gain_vs_random_median_pct,iopt_gain_vs_random_median_pct,iopt_shape_gain_vs_random_median_pct,latin_gain_vs_random_median_pct,latin_shape_gain_vs_random_median_pct,elapsed_sec_run
highdim_poly2,Quadratic,iterative_dopt,5,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,1,1,10000,7500,2500,"128,64,32",softplus,1000,2,True,30,31,0.003879304921393991,0.002883871642795192,0.0010956452702482712,0.004105150453871021,0.008582375105364831,0.005,True,used_close,training_data_region,7500.0,93.0,3.0,"dopt,aopt,iopt,latin",0.0017817845709932082,0.00518015261668264,0.0015763487822519377,0.0041887728357153505,0.0017775403827148765,0.0038254872578587736,0.001541655679294177,0.0022742529794880203,0.0016026171081433632,0.0014616997969962267,0.001798810123026228,0.0016577788387609432,0.004199795078453226,0.0030568963867721797,0.004678226497328172,0.0040248614242482895,-11.179679908534805,-23.342985072273517,1.6390893219564722,0.26244715592015727,-10.914851319299997,8.912525816195508,3.8038673454453633,45.848477437484355,2.833280199993169
highdim_poly2,Quadratic,iterative_dopt,5,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,1,1,10000,7500,2500,"128,64,32",softplus,1000,2,True,30,31,0.003879304921393991,0.002883871642795192,0.0010956452702482712,0.004105150453871021,0.008582375105364831,0.005,True,used_close,training_data_region,7500.0,124.0,4.0,"dopt,aopt,iopt,latin",0.0017268755572801536,0.0035639704960822205,0.0016093117505949657,0.004628140708010888,0.001746361205055166,0.004986243414684774,0.0013808155644275198,0.0031657642907006824,0.0014043702977398253,0.0013052174579287006,0.0015065708260184087,0.0014421571938589162,0.003573818879972131,0.0024706209426492705,0.004387594787655225,0.0034862278439737183,-22.964403338589822,0.27557031345660543,-14.593120716449965,-29.501266388938507,-24.351904043095786,-39.521435812764445,1.6772451931099759,11.417886663429085,2.991611700010253
highdim_poly2,Quadratic,iterative_dopt,5,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,2,0,10000,7500,2500,"128,64,32",softplus,1000,2,True,30,31,0.006905048181560148,0.005283181800756947,0.0014867799131653625,0.004085038836463647,0.010411120308749355,0.005,True,used_close,training_data_region,7500.0,62.0,2.0,"dopt,aopt,iopt,latin",0.0026049053092509615,0.005890922930382202,0.00342860219934293,0.005846735586316733,0.0029499579391613017,0.005533225257515338,0.002688144952691773,0.008047135682884721,0.00383402287693908,0.0032801756081422937,0.004775813040676639,0.004121128058373978,0.009273862768579716,0.008051795132117338,0.01076984753530238,0.009772562771532602,32.05816989463019,36.47821757357758,10.574289476327287,36.95468940810998,23.058415824674938,40.33526917971909,29.887091470933704,13.227789932919906,2.420904500002507
highdim_poly2,Quadratic,iterative_dopt,5,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,2,0,10000,7500,2500,"128,64,32",softplus,1000,2,True,30,31,0.006905048181560148,0.005283181800756947,0.0014867799131653625,0.004085038836463647,0.010411120308749355,0.005,True,used_close,training_data_region,7500.0,93.0,3.0,"dopt,aopt,iopt,latin",0.003122598084368469,0.005702827160850311,0.0022577204074653496,0.005522605770698763,0.0029030672725782357,0.006425538399215144,0.002652526714657409,0.005438226870600064,0.0027901162298141465,0.0025375222355225285,0.0033102329432421187,0.0029040082559966484,0.00709404630465576,0.006481274524712423,0.00815213672069509,0.0073652034474411855,-11.916415918503498,19.611080673273932,19.08149261524709,22.151540411086327,-4.048255823794587,9.423506370431785,4.931318404821531,23.340973020841382,2.575223299994832
highdim_poly2,Quadratic,iterative_dopt,5,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,2,0,10000,7500,2500,"128,64,32",softplus,1000,2,True,30,31,0.006905048181560148,0.005283181800756947,0.0014867799131653625,0.004085038836463647,0.010411120308749355,0.005,True,used_close,training_data_region,7500.0,124.0,4.0,"dopt,aopt,iopt,latin",0.002371285772344131,0.0053410170431309936,0.0023912259335751537,0.005216495244950605,0.002888050597193553,0.0063274994810000665,0.0021469215460426304,0.005220224112381402,0.002372020237379916,0.002108766349295199,0.002792733077836293,0.002498844390715371,0.006108202979432747,0.005381880281258107,0.007080751967955071,0.006311470159920888,0.03096369180207302,12.559928654712124,-0.8096767427436437,14.598528200268692,-21.754888583228674,-3.590196696241506,9.489745820462515,14.537481318831505,2.7307858999993186
highdim_poly2,Quadratic,iterative_dopt,5,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,2,1,10000,7500,2500,"128,64,32",softplus,1000,2,True,30,31,0.011209655615469149,0.005281501473062926,0.005949146878176448,0.028304191485795556,0.03320172167453195,0.005,False,skipped_nonclose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
highdim_smooth,Smooth,iterative_dopt,5,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,0,0,10000,7500,2500,"128,64,32",softplus,1000,2,True,30,31,0.0009808984137787715,0.0008872454153856,0.00013133263620172477,0.0003502442490659674,0.0015326327257161355,0.005,True,used_close,training_data_region,7500.0,62.0,2.0,"dopt,aopt,iopt,latin",0.00047916741230393287,0.0009317333501813101,0.000343482046442633,0.0006507736774158722,0.0004370806465199486,0.0008833509141768914,0.00038679135151635,0.0005629005673615824,0.0003301844022521295,0.00027459693974270536,0.00038706201999105946,0.0003518322923220685,0.0007629384886247573,0.0006436428829008874,0.000964170536417576,0.0008523458487307656,-45.12115322093246,-22.12430806326414,-4.027338693106815,14.70168472049024,-32.37471047653937,-15.782717394319004,-17.14404098985732,26.21940356210831,2.5012140999897383
highdim_smooth,Smooth,iterative_dopt,5,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,0,0,10000,7500,2500,"128,64,32",softplus,1000,2,True,30,31,0.0009808984137787715,0.0008872454153856,0.00013133263620172477,0.0003502442490659674,0.0015326327257161355,0.005,True,used_close,training_data_region,7500.0,93.0,3.0,"dopt,aopt,iopt,latin",0.00026643125781204973,0.0005177939267277933,0.0002901124129139242,0.0005464739043817592,0.00040040924967611,0.0007475398221913048,0.00029260789531006693,0.0007748850531487898,0.00022916629748416056,0.00020335105728766108,0.0002491283132768206,0.00023916487727566042,0.0005197921648056003,0.00046628061598379063,0.0006253610103255857,0.0005657177932661263,-16.261099793901778,0.38443020366695657,-26.594711394670114,-5.133155399935221,-74.72431769937083,-43.81513858926308,-27.683650921790235,-49.07593950335765,2.6558520999969915
highdim_smooth,Smooth,iterative_dopt,5,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,0,0,10000,7500,2500,"128,64,32",softplus,1000,2,True,30,31,0.0009808984137787715,0.0008872454153856,0.00013133263620172477,0.0003502442490659674,0.0015326327257161355,0.005,True,used_close,training_data_region,7500.0,124.0,4.0,"dopt,aopt,iopt,latin",0.00024710915372878856,0.0005754646683576413,0.0002469241998492617,0.00048809766276684753,0.000395438511870775,0.0008355148061843574,0.00021406096468548053,0.0004186055734442643,0.00019093063203975367,0.0001725226353290516,0.00021924349608546694,0.00020547649701758083,0.0004690615336798048,0.0004096528554901942,0.0005343204090479472,0.0005099571108943437,-29.423524705736043,-22.684259321607563,-29.326655032414912,-4.058343675658849,-107.11108932402253,-78.12477600320653,-12.114521592800726,10.7567891657437,2.8111107999866363
highdim_smooth,Smooth,iterative_dopt,5,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,0,1,10000,7500,2500,"128,64,32",softplus,1000,2,True,30,31,0.0009304945291121559,0.0008872865866632743,9.414507331386213e-05,0.0001778209107355184,0.0007166522562678107,0.005,True,used_close,training_data_region,7500.0,62.0,2.0,"dopt,aopt,iopt,latin",0.000347439674049507,0.0007697665337591559,0.00043949589050494103,0.0009362630956237442,0.0005932766098461162,0.0011010005174058436,0.00018527705620645295,0.0003971414340532633,0.00023380177815241594,0.0002073776826349191,0.00029061405174022156,0.00025088639253966237,0.0005124858278079428,0.00043488946622908674,0.0006358849393335779,0.0005410528743260409,-48.60437623490198,-50.20250160900657,-87.97799314359048,-82.69053402479932,-153.75196653096359,-114.83531010314111,20.75464195756869,22.506845554742934,2.2351833999855444
