case,case_label,dataset_family,p,device,cuda_name,data_seed,init_seed,n,n_train,n_eval,hidden,activation,epochs,degree,include_special,selection_mode,method_signature,error_regularizer_source,error_regularizer_strength,error_regularizer_power,error_regularizer_cap,n_fullpr_features,n_design_params,oracle_mse_vs_y,full_fpr_mse_vs_y,full_fpr_mse_vs_nn,shape_nn_fpr,abs_rmse_gap,close_threshold,is_close,status,candidate_domain,n_candidates,budget,budget_multiplier,criteria,dopt_mse_vs_nn,dopt_shape_vs_nn,aopt_mse_vs_nn,aopt_shape_vs_nn,iopt_mse_vs_nn,iopt_shape_vs_nn,dopt_err_mse_vs_nn,dopt_err_shape_vs_nn,aopt_err_mse_vs_nn,aopt_err_shape_vs_nn,iopt_err_mse_vs_nn,iopt_err_shape_vs_nn,latin_mse_vs_nn,latin_shape_vs_nn,random_mse_median,random_mse_q25,random_mse_q75,random_mse_mean,random_shape_median,random_shape_q25,random_shape_q75,random_shape_mean,dopt_gain_vs_random_median_pct,dopt_shape_gain_vs_random_median_pct,aopt_gain_vs_random_median_pct,aopt_shape_gain_vs_random_median_pct,iopt_gain_vs_random_median_pct,iopt_shape_gain_vs_random_median_pct,dopt_err_gain_vs_random_median_pct,dopt_err_shape_gain_vs_random_median_pct,aopt_err_gain_vs_random_median_pct,aopt_err_shape_gain_vs_random_median_pct,iopt_err_gain_vs_random_median_pct,iopt_err_shape_gain_vs_random_median_pct,latin_gain_vs_random_median_pct,latin_shape_gain_vs_random_median_pct,elapsed_sec_run
highdim_poly2,Quadratic,iterative_dopt,5,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,0,0,10000,7500,2500,"128,64",softplus,1000,2,False,sequential_ridge_rank1,"close-distance-optimality-v2;selection=sequential_ridge_rank1;hidden=128,64;degree=2;include_special=False;criteria=dopt,aopt,iopt,dopt_err,aopt_err,iopt_err,latin;ridge_alpha=1e-05;opt_ridge=0.01;max_shape_distance=0.005;error_reg_strength=1;error_reg_power=1;error_reg_cap=10",train_abs_nn_minus_full_data_fullpr,1.0,1.0,10.0,20,21,0.0021330181441843905,0.0020719185504984765,7.544837481478834e-05,0.00019200425632632498,0.0006662773597475025,0.005,True,used_close,training_data_region,7500.0,42.0,2.0,"dopt,aopt,iopt,dopt_err,aopt_err,iopt_err,latin",0.00016623762662203284,0.00032727987037218154,0.00018479973672438357,0.0003413234120442095,0.00011396772516258096,0.00028705864333603416,9.995061274724318e-05,0.00021882867238054554,7.538666624498494e-05,0.0002195654668444631,7.618333004934029e-05,0.00020594799202822926,0.00025806238615276497,0.00042053399146840223,0.0001967866629474136,0.00015409704878322563,0.00024604398724840915,0.0002113929848192663,0.00044668216944309053,0.0003777988121213475,0.0005705182193504733,0.0004943617830490529,15.523936362264676,26.730930231617723,6.091330603148268,23.586962857782986,42.08564571622619,35.73537002967234,49.2086449100707,51.01020650692766,61.691170978832965,50.845258247444605,61.28633469957341,53.893840829823404,-31.138148433222728,5.853866521533429,6.927048899990041
highdim_poly2,Quadratic,iterative_dopt,5,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,0,0,10000,7500,2500,"128,64",softplus,1000,2,False,sequential_ridge_rank1,"close-distance-optimality-v2;selection=sequential_ridge_rank1;hidden=128,64;degree=2;include_special=False;criteria=dopt,aopt,iopt,dopt_err,aopt_err,iopt_err,latin;ridge_alpha=1e-05;opt_ridge=0.01;max_shape_distance=0.005;error_reg_strength=1;error_reg_power=1;error_reg_cap=10",train_abs_nn_minus_full_data_fullpr,1.0,1.0,10.0,20,21,0.0021330181441843905,0.0020719185504984765,7.544837481478834e-05,0.00019200425632632498,0.0006662773597475025,0.005,True,used_close,training_data_region,7500.0,63.0,3.0,"dopt,aopt,iopt,dopt_err,aopt_err,iopt_err,latin",0.00016385853740578265,0.00031688054295946305,0.00014262952290506736,0.00027691965560263786,0.00010954055795895372,0.00028506739352706864,0.00012079336161489758,0.0002268113920944136,7.55416377547861e-05,0.00021704898304662624,7.656979707382962e-05,0.00021971588906586565,0.00013643428975989604,0.0002872050498716313,0.00013551573904021507,0.00012355366486529852,0.0001536172071195872,0.00014186954621881687,0.00032322807555715033,0.0002996460696820382,0.0003819230125852593,0.0003456485558418435,-20.914765005381913,1.963793704103827,-5.2494152452219796,14.326855696149025,19.167648913129614,11.806116150122131,10.86396128566922,29.82930344047084,44.256188772015115,32.849588429935274,43.497487733799616,32.024503537590306,-0.677818477902689,11.144770027611587,7.017060199985281
highdim_poly2,Quadratic,iterative_dopt,5,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,0,0,10000,7500,2500,"128,64",softplus,1000,2,False,sequential_ridge_rank1,"close-distance-optimality-v2;selection=sequential_ridge_rank1;hidden=128,64;degree=2;include_special=False;criteria=dopt,aopt,iopt,dopt_err,aopt_err,iopt_err,latin;ridge_alpha=1e-05;opt_ridge=0.01;max_shape_distance=0.005;error_reg_strength=1;error_reg_power=1;error_reg_cap=10",train_abs_nn_minus_full_data_fullpr,1.0,1.0,10.0,20,21,0.0021330181441843905,0.0020719185504984765,7.544837481478834e-05,0.00019200425632632498,0.0006662773597475025,0.005,True,used_close,training_data_region,7500.0,84.0,4.0,"dopt,aopt,iopt,dopt_err,aopt_err,iopt_err,latin",0.00021529641464368705,0.0003162483995360157,0.00011784721129726381,0.00025478175506345104,0.00011798360362924316,0.0002827723140221033,0.00012998379413366014,0.00022802064069960757,7.6201545897843e-05,0.0002100908469994762,7.604873524578968e-05,0.00018684439142820634,0.00015278848418462255,0.0003009138062430777,0.00011708687808675474,0.0001081043738510093,0.00013023103457853472,0.00012183985003857556,0.00029577410885771197,0.0002652120467573126,0.00034722633099706663,0.000306682224392813,-83.87749179217556,-6.922272797093708,-0.6493752527466883,13.859344873888578,-0.7658633974543223,4.39585293175998,-11.014826133932372,22.90716669547927,34.918799490595376,28.96915561309507,35.049309975246004,36.82868586780476,-30.49155181284699,-1.7377103781042231,7.101013799983775
highdim_poly2,Quadratic,iterative_dopt,5,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,0,1,10000,7500,2500,"128,64",softplus,1000,2,False,sequential_ridge_rank1,"close-distance-optimality-v2;selection=sequential_ridge_rank1;hidden=128,64;degree=2;include_special=False;criteria=dopt,aopt,iopt,dopt_err,aopt_err,iopt_err,latin;ridge_alpha=1e-05;opt_ridge=0.01;max_shape_distance=0.005;error_reg_strength=1;error_reg_power=1;error_reg_cap=10",train_abs_nn_minus_full_data_fullpr,1.0,1.0,10.0,20,21,0.0021320372309229776,0.0020721320752353557,6.923306822336346e-05,0.00018820438129833246,0.0006533112362555812,0.005,True,used_close,training_data_region,7500.0,42.0,2.0,"dopt,aopt,iopt,dopt_err,aopt_err,iopt_err,latin",0.00018554718737452466,0.0002706851583068986,0.00014669058201433724,0.00030787807584022763,0.0001856375337885625,0.0003529389245953175,7.210968514474942e-05,0.00019546912005262424,6.94218872170425e-05,0.00018433457160620817,6.937589458541747e-05,0.00019331981727626187,0.0001786074131015551,0.00028959503912613725,0.00016427171817640844,0.00013293232552775747,0.0002106486676520849,0.00017987824461408063,0.0004018736096705434,0.00032570738330441377,0.00046346876737461554,0.0004240537057061756,-12.95138897571454,32.6442065880348,10.702472925492343,23.389327283116064,-13.006387130625674,12.176635613207509,56.10340845932339,51.36054835427733,57.73959876496112,54.131207630845445,57.76759666510827,51.89536893583389,-8.726818641874695,27.938776730438285,5.351434400014114
highdim_poly2,Quadratic,iterative_dopt,5,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,0,1,10000,7500,2500,"128,64",softplus,1000,2,False,sequential_ridge_rank1,"close-distance-optimality-v2;selection=sequential_ridge_rank1;hidden=128,64;degree=2;include_special=False;criteria=dopt,aopt,iopt,dopt_err,aopt_err,iopt_err,latin;ridge_alpha=1e-05;opt_ridge=0.01;max_shape_distance=0.005;error_reg_strength=1;error_reg_power=1;error_reg_cap=10",train_abs_nn_minus_full_data_fullpr,1.0,1.0,10.0,20,21,0.0021320372309229776,0.0020721320752353557,6.923306822336346e-05,0.00018820438129833246,0.0006533112362555812,0.005,True,used_close,training_data_region,7500.0,63.0,3.0,"dopt,aopt,iopt,dopt_err,aopt_err,iopt_err,latin",0.00014067756140838172,0.00029881491725249754,0.00013618185372538184,0.00027447674396522,0.0001390786010532739,0.0002958826454887523,7.135251010983585e-05,0.0001808175318125584,7.02153526603229e-05,0.00016748088309621157,7.011010124336392e-05,0.0001932369700585445,0.000248838434358605,0.00037144481516272916,0.00012942103344743488,0.00010821340458200864,0.00014721730576305216,0.00013308049773886086,0.0003134043776361905,0.0002721745751035343,0.0003832261560017363,0.0003299433878934817,-8.697603211087591,4.655155264177209,-5.223896068402908,12.420896595183773,-7.46213142376236,5.590774538503074,44.867918135720885,42.30535859889711,45.7465677796173,46.560770988773946,45.82789259534112,38.34260659790146,-92.27047391772854,-18.51934486821809,5.436143900005845
highdim_poly2,Quadratic,iterative_dopt,5,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,0,1,10000,7500,2500,"128,64",softplus,1000,2,False,sequential_ridge_rank1,"close-distance-optimality-v2;selection=sequential_ridge_rank1;hidden=128,64;degree=2;include_special=False;criteria=dopt,aopt,iopt,dopt_err,aopt_err,iopt_err,latin;ridge_alpha=1e-05;opt_ridge=0.01;max_shape_distance=0.005;error_reg_strength=1;error_reg_power=1;error_reg_cap=10",train_abs_nn_minus_full_data_fullpr,1.0,1.0,10.0,20,21,0.0021320372309229776,0.0020721320752353557,6.923306822336346e-05,0.00018820438129833246,0.0006533112362555812,0.005,True,used_close,training_data_region,7500.0,84.0,4.0,"dopt,aopt,iopt,dopt_err,aopt_err,iopt_err,latin",0.00011324211660604871,0.0002803761948092236,0.00012180061864761482,0.0002713090287631286,0.00010884039758117083,0.000263488523905767,7.078139549194365e-05,0.00018147633884114825,7.000504444899672e-05,0.00016984956657888284,7.004790690217388e-05,0.00017940528795111602,9.630241603239122e-05,0.0002654747620237357,9.85351392564267e-05,9.40625433860822e-05,0.00011382282250843798,0.00010548070061879215,0.0002561040786455605,0.00023880010258462385,0.0002801536515983302,0.0002678430537806093,-14.925616851617521,-9.477442253957577,-23.611352829818728,-5.937019901432831,-10.458460202634775,-2.8833766721951877,28.166341443185082,29.139613940976922,28.954234015119813,33.67947614221757,28.910734352460768,29.94828942204901,2.2659157341068528,-3.658935627942074,5.529871600010665
highdim_poly2,Quadratic,iterative_dopt,5,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,1,0,10000,7500,2500,"128,64",softplus,1000,2,False,sequential_ridge_rank1,"close-distance-optimality-v2;selection=sequential_ridge_rank1;hidden=128,64;degree=2;include_special=False;criteria=dopt,aopt,iopt,dopt_err,aopt_err,iopt_err,latin;ridge_alpha=1e-05;opt_ridge=0.01;max_shape_distance=0.005;error_reg_strength=1;error_reg_power=1;error_reg_cap=10",train_abs_nn_minus_full_data_fullpr,1.0,1.0,10.0,20,21,0.003509002118129405,0.002877135626932543,0.0005785249515889891,0.00139924290142103,0.005597893156258728,0.005,True,used_close,training_data_region,7500.0,42.0,2.0,"dopt,aopt,iopt,dopt_err,aopt_err,iopt_err,latin",0.0008722534312638869,0.0027011626709638695,0.0009855246223969556,0.002193331201234032,0.0008449192412428026,0.001468117277104091,0.000581741385547115,0.0006114549125951557,0.000581345573997658,0.0009719423214673791,0.0005765048390450739,0.0008629534146189291,0.0016355606602281082,0.0022593226689033657,0.0008095656049717163,0.0007327699492742757,0.0008784780728084902,0.0008296393127402826,0.0019923963672959385,0.0016813491531390192,0.0022478613504773163,0.0019566307029192163,-7.743390517975468,-35.57355932293041,-21.734991746763587,-10.085083331626437,-4.366988426135203,26.313995487925627,28.14153887288242,69.31057882699231,28.19043071648672,51.21742152207946,28.78837298612567,56.68766372074241,-102.02941555122634,-13.397248960541775,5.521178199996939
highdim_poly2,Quadratic,iterative_dopt,5,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,1,0,10000,7500,2500,"128,64",softplus,1000,2,False,sequential_ridge_rank1,"close-distance-optimality-v2;selection=sequential_ridge_rank1;hidden=128,64;degree=2;include_special=False;criteria=dopt,aopt,iopt,dopt_err,aopt_err,iopt_err,latin;ridge_alpha=1e-05;opt_ridge=0.01;max_shape_distance=0.005;error_reg_strength=1;error_reg_power=1;error_reg_cap=10",train_abs_nn_minus_full_data_fullpr,1.0,1.0,10.0,20,21,0.003509002118129405,0.002877135626932543,0.0005785249515889891,0.00139924290142103,0.005597893156258728,0.005,True,used_close,training_data_region,7500.0,63.0,3.0,"dopt,aopt,iopt,dopt_err,aopt_err,iopt_err,latin",0.0007891318551577118,0.001946361103345163,0.0007637244768981752,0.0021143628562602995,0.0008430803197214779,0.0015308580423927423,0.000591359614721276,0.0017221802492785475,0.0005793613788179044,0.0009022398021368528,0.000585593417873365,0.0013419152441810616,0.0008392428563063921,0.0018550876013191738,0.0007150774061799479,0.0006825888619929035,0.000757335035667543,0.0007240454140321384,0.0016736025290703194,0.0014003170782362407,0.002000191346552104,0.001709227607199129,-10.356144431044742,-16.297691329754382,-6.803049613622571,-26.336021817248387,-17.90056746798098,8.529174890579975,17.301314569508094,-2.90258405830761,18.979207871642757,46.08995944586413,18.1076883687748,19.818760973880043,-17.36391739598583,-10.84397693577033,5.606788399978541
highdim_poly2,Quadratic,iterative_dopt,5,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,1,0,10000,7500,2500,"128,64",softplus,1000,2,False,sequential_ridge_rank1,"close-distance-optimality-v2;selection=sequential_ridge_rank1;hidden=128,64;degree=2;include_special=False;criteria=dopt,aopt,iopt,dopt_err,aopt_err,iopt_err,latin;ridge_alpha=1e-05;opt_ridge=0.01;max_shape_distance=0.005;error_reg_strength=1;error_reg_power=1;error_reg_cap=10",train_abs_nn_minus_full_data_fullpr,1.0,1.0,10.0,20,21,0.003509002118129405,0.002877135626932543,0.0005785249515889891,0.00139924290142103,0.005597893156258728,0.005,True,used_close,training_data_region,7500.0,84.0,4.0,"dopt,aopt,iopt,dopt_err,aopt_err,iopt_err,latin",0.0006939589979985822,0.0015747313043540006,0.0007714274758644311,0.0019342389094333713,0.0007680579290320496,0.0016934662326455,0.0005853691602149452,0.0015787321556931739,0.0005779553000851486,0.0011817050731886536,0.0005782901015617202,0.0020974625457321414,0.0008221263815758336,0.0011395970153793916,0.0006862239898144111,0.0006486627096463729,0.0007358199891280839,0.0006989290636008632,0.001697572730136158,0.001307914131438174,0.0021374246057231337,0.001720962830702572,-1.1271841700350593,7.236298251109666,-12.416279132570574,-13.941445635630052,-11.925251875815418,0.2419040679528767,14.697071378507479,7.000617548412916,15.777456244067443,30.388545232234495,15.72866729446192,-23.55656452869087,-19.804377838521386,32.86903146188102,5.690628999989713
highdim_poly2,Quadratic,iterative_dopt,5,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,1,1,10000,7500,2500,"128,64",softplus,1000,2,False,sequential_ridge_rank1,"close-distance-optimality-v2;selection=sequential_ridge_rank1;hidden=128,64;degree=2;include_special=False;criteria=dopt,aopt,iopt,dopt_err,aopt_err,iopt_err,latin;ridge_alpha=1e-05;opt_ridge=0.01;max_shape_distance=0.005;error_reg_strength=1;error_reg_power=1;error_reg_cap=10",train_abs_nn_minus_full_data_fullpr,1.0,1.0,10.0,20,21,0.003209302083916235,0.0028771695521749665,0.00035041469323141694,0.0010541855293834527,0.00301144857640559,0.005,True,used_close,training_data_region,7500.0,42.0,2.0,"dopt,aopt,iopt,dopt_err,aopt_err,iopt_err,latin",0.0004581983824931989,0.0012773214127303426,0.0006891810483150322,0.001527709847782743,0.00046819009397954946,0.0010765000070879277,0.0003530290332741374,0.0008938340266244835,0.000350613878824137,0.0006979795956887693,0.0003500851623284712,0.0007433042074759209,0.0007324285398789508,0.0012482802674271746,0.0006109464364699778,0.0005293359161170878,0.0006796198320191348,0.0006362070364088096,0.0013612748556371917,0.0011618038993389253,0.0015777709121946927,0.0014306720626401515,25.00187329994927,6.167266115229301,-12.805478054195817,-12.226406111618484,23.36642526557129,20.91971708505299,42.21604183274659,34.33846053036118,42.611355448774056,48.726034804921454,42.697896013397155,45.39646388105864,-19.884247809168247,8.300644630442841,5.523950300004799
