case,case_label,p,device,cuda_name,data_seed,init_seed,n,n_train,n_eval,hidden,activation,epochs,degree,include_special,n_fullpr_features,n_design_params,oracle_mse_vs_y,full_fpr_mse_vs_y,full_fpr_mse_vs_nn,shape_nn_fpr,abs_rmse_gap,close_threshold,is_close,status,candidate_domain,n_candidates,budget,budget_multiplier,criteria,dopt_mse_vs_nn,dopt_shape_vs_nn,aopt_mse_vs_nn,aopt_shape_vs_nn,iopt_mse_vs_nn,iopt_shape_vs_nn,latin_mse_vs_nn,latin_shape_vs_nn,random_mse_median,random_mse_q25,random_mse_q75,random_mse_mean,random_shape_median,random_shape_q25,random_shape_q75,random_shape_mean,dopt_gain_vs_random_median_pct,dopt_shape_gain_vs_random_median_pct,aopt_gain_vs_random_median_pct,aopt_shape_gain_vs_random_median_pct,iopt_gain_vs_random_median_pct,iopt_shape_gain_vs_random_median_pct,latin_gain_vs_random_median_pct,latin_shape_gain_vs_random_median_pct,elapsed_sec_run
highdim_poly2,Quadratic,5,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,0,0,10000,7500,2500,"128,64,32",tanh,1000,2,True,30,31,0.0023103115075810295,0.002074949482491261,0.0002518328418744131,0.0006357372243192206,0.002514086516674889,0.005,True,used_close,training_data_region,7500.0,62.0,2.0,"dopt,aopt,iopt,latin",0.0006102433899076135,0.0012179303638272646,0.0008303694641909547,0.0018891781750971404,0.001086587925321225,0.0025650842227542734,0.0013606117049286012,0.0014363753173643305,0.0006314322561635283,0.0005315339717881712,0.000750100201168141,0.0006720024650967507,0.0015222466717173867,0.001281437537197915,0.0018341987920208476,0.0016299847573207028,3.3556832184428953,19.991261176271436,-31.505708820790055,-24.10460211194185,-72.08305637142179,-68.50647601419064,-115.48023428442497,5.641093256993414,7.189533899974776
highdim_poly2,Quadratic,5,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,0,0,10000,7500,2500,"128,64,32",tanh,1000,2,True,30,31,0.0023103115075810295,0.002074949482491261,0.0002518328418744131,0.0006357372243192206,0.002514086516674889,0.005,True,used_close,training_data_region,7500.0,93.0,3.0,"dopt,aopt,iopt,latin",0.000586702545703823,0.0010733384537422023,0.0007043439537745307,0.0015589134268025751,0.0009588733189409751,0.0022456603844493435,0.0004667157440522658,0.0009124612089219223,0.0004654354920250324,0.00040147926350612317,0.0005455976202398368,0.0004815227578186964,0.0011204407406143876,0.0010005311829518239,0.0013356787653984333,0.0011777654786241157,-26.054535108867135,4.203907013088175,-51.3300910315299,-39.13394705263514,-106.01637291756089,-100.42651994410232,-0.27506540630651455,18.562296438669378,7.349035599996569
highdim_poly2,Quadratic,5,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,0,0,10000,7500,2500,"128,64,32",tanh,1000,2,True,30,31,0.0023103115075810295,0.002074949482491261,0.0002518328418744131,0.0006357372243192206,0.002514086516674889,0.005,True,used_close,training_data_region,7500.0,124.0,4.0,"dopt,aopt,iopt,latin",0.00048419093303610553,0.0007706653431360114,0.0006232992316577609,0.0011912816994216382,0.0008594618530471973,0.0017057611930463464,0.0003765525384774469,0.0008177204191838192,0.00039348039973769204,0.00036797410853128983,0.00044627974385506473,0.0004129490200498563,0.0010425596772264743,0.000930148507857964,0.001171183299834152,0.0010835303487193035,-23.05338038664298,26.07949837593801,-58.406678470712706,-14.265084814215113,-118.4255819654918,-63.61281088332417,4.302085001318953,21.56608038407891,7.507280099991476
highdim_poly2,Quadratic,5,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,0,1,10000,7500,2500,"128,64,32",tanh,1000,2,True,30,31,0.0022288404234433023,0.0020736183061059654,0.00020494146491332343,0.0005291501912695028,0.001673597207076806,0.005,True,used_close,training_data_region,7500.0,62.0,2.0,"dopt,aopt,iopt,latin",0.0005031966047662578,0.0007835590493905111,0.0003920850179812223,0.0007929755791971283,0.0006041435566703189,0.001096745935390196,0.0005028138338770162,0.0012096790129962848,0.00047319079846241355,0.0004093593183848767,0.0005553656588481513,0.0005159231402803517,0.0010837306250811854,0.0009659819595554805,0.001378583139548585,0.0012088016684673635,-6.341164367807902,27.69798774194349,17.14018546952655,26.82908825818923,-27.674409272839483,-1.200972825515158,-6.260272919689009,-11.621742986700617,2.776527400012128
highdim_poly2,Quadratic,5,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,0,1,10000,7500,2500,"128,64,32",tanh,1000,2,True,30,31,0.0022288404234433023,0.0020736183061059654,0.00020494146491332343,0.0005291501912695028,0.001673597207076806,0.005,True,used_close,training_data_region,7500.0,93.0,3.0,"dopt,aopt,iopt,latin",0.00040252175249248535,0.0007708991386399695,0.00042701131686947617,0.000686646510457165,0.00047209958661379467,0.0009478086085437541,0.0004325781210726551,0.0008379318354063596,0.00038152819041976384,0.00033807796199810807,0.0004213213693576384,0.0003955187933713973,0.000937726259457189,0.0008471267986054087,0.0010893967016619931,0.00099117965498509,-5.502493026694574,17.79059924308708,-11.921301647375259,26.775377832051294,-23.73910983992628,-1.0751910789403907,-13.380382350443154,10.642170147671477,2.933137300016824
highdim_poly2,Quadratic,5,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,0,1,10000,7500,2500,"128,64,32",tanh,1000,2,True,30,31,0.0022288404234433023,0.0020736183061059654,0.00020494146491332343,0.0005291501912695028,0.001673597207076806,0.005,True,used_close,training_data_region,7500.0,124.0,4.0,"dopt,aopt,iopt,latin",0.0003568924353093678,0.0007854417578138926,0.0005274142082656701,0.0007741710437533759,0.00043904387903077755,0.0008926162081543658,0.00031168073551844226,0.0006666902806221738,0.00032968953206346705,0.00029567061783904993,0.00038442673723103956,0.00034284671086866217,0.0008571660449911893,0.000751384074928125,0.0009190074623539045,0.0008655092064606844,-8.251066715901688,8.367607139411822,-59.97299185226785,9.682488208998823,-33.16888658335054,-4.135740486960242,5.462350118401088,22.22157136088766,3.092220599995926
highdim_poly2,Quadratic,5,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,1,0,10000,7500,2500,"128,64,32",tanh,1000,2,True,30,31,0.0033371449412673967,0.0028851085344205685,0.00047124631996382663,0.000985568533738396,0.004054820649316504,0.005,True,used_close,training_data_region,7500.0,62.0,2.0,"dopt,aopt,iopt,latin",0.0019429538949879471,0.002169825990459279,0.0010881923394147456,0.0020176567931815695,0.0010684263097939298,0.0025798714588795074,0.0009171056661189551,0.002119241224934123,0.0012388571216870956,0.0010770791035037022,0.0015466343682288023,0.0013214494331552835,0.0029873167471099627,0.002381762881322755,0.0035826255524291613,0.003003277701786054,-56.83438073488257,27.365385925063137,12.161594717813161,32.45922799671233,13.757099903584555,13.639172632919912,25.97163546430392,29.058703701763367,3.833763300004648
highdim_poly2,Quadratic,5,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,1,0,10000,7500,2500,"128,64,32",tanh,1000,2,True,30,31,0.0033371449412673967,0.0028851085344205685,0.00047124631996382663,0.000985568533738396,0.004054820649316504,0.005,True,used_close,training_data_region,7500.0,93.0,3.0,"dopt,aopt,iopt,latin",0.0012479783599291326,0.0016281609034127704,0.0008559833147266895,0.0017774045526251173,0.0009563617184668932,0.00204621387830293,0.0007188124257841612,0.0015460216640158263,0.0009148622399535593,0.0008203261615266084,0.0011350766051280014,0.0009835814331277623,0.002228449614813854,0.0019127130411391528,0.0025244418130911496,0.0023551071952656686,-36.41161536981601,26.937504326353217,6.435824177185259,20.240307844088864,-4.536145082940626,8.177691579809245,21.42943555953846,30.623440900862903,3.9849704999942333
highdim_poly2,Quadratic,5,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,1,0,10000,7500,2500,"128,64,32",tanh,1000,2,True,30,31,0.0033371449412673967,0.0028851085344205685,0.00047124631996382663,0.000985568533738396,0.004054820649316504,0.005,True,used_close,training_data_region,7500.0,124.0,4.0,"dopt,aopt,iopt,latin",0.001485878753197151,0.0016674968693239148,0.0008850525971236755,0.0018077699259317964,0.0009326173631000765,0.0019809971721118057,0.0006319192642461845,0.001661847531222248,0.0008035105901452328,0.0007230014038181849,0.0008820868271841847,0.0008366665292960853,0.0019200884516941538,0.0017647049115367024,0.0022653946239291544,0.002044642749416652,-84.9233565084166,13.155205540003616,-10.148218079329125,5.849653731485926,-16.067837130996363,-3.1721830504167783,21.355204026375503,13.44942834503545,4.158088900003349
highdim_poly2,Quadratic,5,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,1,1,10000,7500,2500,"128,64,32",tanh,1000,2,True,30,31,0.003475192415226938,0.0028845358444883813,0.0005463008634299098,0.0012746357373701344,0.005242887565251875,0.005,True,used_close,training_data_region,7500.0,62.0,2.0,"dopt,aopt,iopt,latin",0.00160578590214446,0.002209857779293446,0.001389255760169822,0.002375235199173082,0.0015862864581372544,0.0030032712710472698,0.0008527562379663106,0.0019240086696050848,0.0012443936207648183,0.0011519999431541684,0.0014794863236691472,0.0013745975849060277,0.003069407070974156,0.002585711682810918,0.003498679325958237,0.0032222911521354904,-29.041637256025624,28.003756810526585,-11.641183061993669,22.61582956413665,-27.474653651977484,2.154676730639584,31.472146454576247,37.316601378830775,2.6286660000041593
