case,activation,hidden,n_hidden,q,data_seed,init_seed,special,n,p,max_order,NN_mse_vs_y,act_io_mean,act_io_sum,TPR_mse_vs_NN,TPR_mse_vs_y,LTPR_mse_vs_NN,LTPR_mse_vs_y,LTPR_n_terms,shape_NN_LTPR,FPR_mse_vs_y,FPR_mse_vs_NN,FPR_r2_vs_y,shape_NN_FPR_in,mahal_NN_FPR,shape_NN_FPR_ext,abs_rmse_gap,NN_FPR_log10,FPR_mse_delta_vs_NN,FPR_improve_vs_NN_pct,FPR_better_than_NN,TPR_mse_delta_vs_NN,TPR_improve_vs_NN_pct,TPR_better_than_NN,LTPR_mse_delta_vs_NN,LTPR_improve_vs_NN_pct,LTPR_better_than_NN,well_specified
highdim_poly4,softplus,64,1,3,0,0,True,10000,50,1,0.001992440408461445,0.046160308249254725,0.046160308249254725,0.0011510879326012595,0.003298740193897747,,,,,0.005432641253835818,0.004629151334512602,0.8468683944736478,0.0012649031868442913,0.011965888072009623,0.02793563612117585,0.02906969254137534,-0.43562568618109654,0.003440200845374373,-172.66267190549922,False,0.0013062997854363019,-65.56280327826826,False,,,,False
highdim_poly4,softplus,64,1,3,0,1,True,10000,50,1,0.0019759329701419704,0.04228174330702262,0.04228174330702262,0.0010964757423066864,0.0032084326980670974,,,,,0.005432641253835818,0.004572692331728385,0.8468683944736478,0.0012470228339558384,0.0026110300230036475,0.028523755346389134,0.029254985689890795,-0.43923881934126546,0.0034567082836938477,-174.94056407416917,False,0.001232499727925127,-62.37558391652183,False,,,,False
highdim_poly4,softplus,64,1,3,0,2,True,10000,50,1,0.002013107143083741,0.04613266901580853,0.04613266901580853,0.001120330035139733,0.0034267552453260274,,,,,0.005432641253835818,0.004688551934651808,0.8468683944736478,0.0012766802509590251,0.028376621498750025,0.02874754809600774,0.02883879071704122,-0.43114413736135454,0.003419534110752077,-169.8634929839813,False,0.0014136481022422862,-70.22219890774494,False,,,,False
highdim_poly4,softplus,64,1,3,0,3,True,10000,50,1,0.002108656187228445,0.040546008388305736,0.040546008388305736,0.000673698612975894,0.0027181523834866393,,,,,0.005432641253835818,0.004609383680276936,0.8468683944736478,0.001246632026206354,0.03540654695232773,0.028646923323398188,0.027786346703179775,-0.41100525266674376,0.003323985066607373,-157.63523170537914,False,0.0006094961962581943,-28.904484284813545,False,,,,False
highdim_poly4,softplus,64,1,3,0,4,True,10000,50,1,0.0021655092735876225,0.04574554360450235,0.04574554360450235,0.0006107124649140648,0.0026267584514596907,,,,,0.005432641253835818,0.004744888931348598,0.8468683944736478,0.001252473531073911,0.05895441616748288,0.028426989940341915,0.027171420515464492,-0.39945097931397233,0.0032671319802481955,-150.87129942581603,False,0.00046124917787206815,-21.29980155235778,False,,,,False
highdim_poly4,softplus,64,1,3,0,5,True,10000,50,1,0.0021842254025042805,0.04650371562528386,0.04650371562528386,0.0009328211072068582,0.0033001879374288763,,,,,0.005432641253835818,0.0046236218683534756,0.8468683944736478,0.0012492842364475551,0.026859667292293048,0.028508536502854245,0.02697075596716922,-0.3957135735730788,0.0032484158513315375,-148.72164052332377,False,0.0011159625349245958,-51.0919126590649,False,,,,False
highdim_poly4,softplus,64,1,3,0,6,True,10000,50,1,0.0021396604039563296,0.0464024832866749,0.0464024832866749,0.0008154375368021992,0.0031526041895237502,,,,,0.005432641253835818,0.0046970232452416836,0.8468683944736478,0.0012760682348056673,0.02006781848591514,0.028454237512185704,0.027449989896379125,-0.40466617740676747,0.0032929808498794884,-153.90203248097765,False,0.0010129437855674207,-47.34133433952609,False,,,,False
highdim_poly4,softplus,64,1,3,0,7,True,10000,50,1,0.003346891286528988,0.040847102293691345,0.040847102293691345,0.0003049283979486448,0.0033766160746335244,,,,,0.005432641253835818,0.003875911578181249,0.8468683944736478,0.0010690793015014062,0.027265707675584065,0.02843009217156657,0.015854130184600877,-0.210369421342467,0.00208574996730683,-62.31902349806919,False,2.9724788104536562e-05,-0.8881312704770792,False,,,,False
highdim_poly4,softplus,64,1,3,0,8,True,10000,50,1,0.0021321320698078215,0.0485488328529486,0.0485488328529486,0.0009434637171062871,0.003216016957447382,,,,,0.005432641253835818,0.004495292990984777,0.8468683944736478,0.001221065927801199,0.006311539140988098,0.0284307032652905,0.02753143762639859,-0.40619692469075064,0.0033005091840279965,-154.79853386031036,False,0.0010838848876395606,-50.835729314706846,False,,,,False
highdim_poly4,softplus,64,1,3,0,9,True,10000,50,1,0.002089234268180753,0.039826268825637466,0.039826268825637466,0.0006191944998196455,0.0027027837966422303,,,,,0.005432641253835818,0.004673396176641778,0.8468683944736478,0.0012723254624694485,0.022635328355922687,0.028799600425818292,0.027998311018744705,-0.41502388657071576,0.003343406985655065,-160.03025781146175,False,0.0006135495284614774,-29.36719628841524,False,,,,False
