case,activation,hidden,n_hidden,q,data_seed,init_seed,special,n,p,max_order,NN_mse_vs_y,act_io_mean,act_io_sum,TPR_mse_vs_NN,TPR_mse_vs_y,LTPR_mse_vs_NN,LTPR_mse_vs_y,LTPR_n_terms,shape_NN_LTPR,FPR_mse_vs_y,FPR_mse_vs_NN,FPR_r2_vs_y,shape_NN_FPR_in,mahal_NN_FPR,shape_NN_FPR_ext,abs_rmse_gap,NN_FPR_log10,FPR_mse_delta_vs_NN,FPR_improve_vs_NN_pct,FPR_better_than_NN,TPR_mse_delta_vs_NN,TPR_improve_vs_NN_pct,TPR_better_than_NN,LTPR_mse_delta_vs_NN,LTPR_improve_vs_NN_pct,LTPR_better_than_NN,well_specified
highdim_poly4,softplus,64,1,3,0,0,True,10000,10,1,0.0005960238604126909,0.04788571046258325,0.04788571046258325,0.00033665353535504726,0.0010431901935530924,8.758419803260723e-05,0.0005985109967210469,286,7.434465180584338e-05,0.003184199863105988,0.0027491642319728547,0.8452977367280803,0.0037029494409765557,0.03380006359973425,0.03751824112281711,0.03201511497399595,-0.7277366732961407,0.002588176002693297,-434.2403340868312,False,0.0004471663331404016,-75.02490467928259,False,2.4871363083560057e-06,-0.41728804391050656,False,False
highdim_poly4,softplus,64,1,3,0,1,True,10000,10,1,0.0005592885915440627,0.0422043054975406,0.0422043054975406,0.0005368950384376598,0.0010867445530804772,0.0001025095211404383,0.0004975751780789693,286,7.909163398088384e-05,0.003184199863105988,0.0027423699581475363,0.8452977367280803,0.0037285151590161335,0.02061111982672666,0.03827677275841056,0.0327794317724059,-0.7553643587299841,0.0026249112715619255,-469.3303799233899,False,0.0005274559615364145,-94.30837129722853,False,-6.171341346509335e-05,11.034270034852188,True,False
highdim_poly4,softplus,64,1,3,0,2,True,10000,10,1,0.0008005435040452959,0.032267711034587386,0.032267711034587386,0.00010778194756868133,0.0008553092434347897,8.094930775310704e-05,0.0007458224301689706,286,7.434993687343883e-05,0.003184199863105988,0.0024993263913092104,0.8452977367280803,0.003424658710953561,0.00020687403849523032,0.03646977934695955,0.02813483737979988,-0.5996153815208584,0.0023836563590606923,-297.7547562394338,False,5.476573938949388e-05,-6.84106973734124,False,-5.4721073876325284e-05,6.835490338727312,True,False
highdim_poly4,softplus,64,1,3,0,3,True,10000,10,1,0.0005725567169251992,0.03660083406066757,0.03660083406066757,0.000375700946090835,0.0010146225815181207,7.619512455374977e-05,0.0005332055312414944,286,5.871743395578929e-05,0.003184199863105988,0.0027418639113541096,0.8452977367280803,0.0037264520389163015,0.009644015897239773,0.03847041957834896,0.032500557473216896,-0.7451818053997602,0.002611643146180789,-456.1370199630342,False,0.0004420658645929215,-77.20909588956486,False,-3.935118568370482e-05,6.872888662459932,True,False
highdim_poly4,softplus,64,1,3,0,4,True,10000,10,1,0.0006088001137288464,0.03602175121523613,0.03602175121523613,0.00016974390878161092,0.0007656195345375477,5.6636835715121635e-05,0.0005630449880851801,286,5.1967208875707494e-05,0.003184199863105988,0.002730147632107084,0.8452977367280803,0.0036952490129744755,0.031253083144585,0.038247670964090597,0.03175483975495841,-0.718525594449703,0.002575399749377142,-423.0287891378745,False,0.00015681942080870135,-25.75876995951863,False,-4.575512564366623e-05,7.515623701746731,True,False
highdim_poly4,softplus,64,1,3,0,5,True,10000,10,1,0.0006967349204094758,0.03066669806584387,0.03066669806584387,5.34115723907603e-05,0.0007159211280830855,3.275908603277215e-05,0.000650947408848448,286,3.305000919233338e-05,0.003184199863105988,0.002573579770647672,0.8452977367280803,0.0035184165422109046,0.014744414409017347,0.039098508355917515,0.030032978096121515,-0.659932741388045,0.0024874649426965124,-357.01740645274566,False,1.9186207673609675e-05,-2.7537313132423176,False,-4.5787511561027846e-05,6.57172623615854,True,False
highdim_poly4,softplus,64,1,3,0,6,True,10000,10,1,0.0005972094445814478,0.03527151523367733,0.03527151523367733,0.0003032067337498052,0.0008862430772861377,9.768764186846985e-05,0.000532533652505557,286,7.10251295357442e-05,0.003184199863105988,0.0026947748042205374,0.8452977367280803,0.0036718909598702863,0.014797399697663825,0.038317969351151934,0.03199084581293206,-0.7268736520753859,0.0025869904185245405,-433.179756615809,False,0.0002890336327046898,-48.39736466446173,False,-6.467579207589081e-05,10.829666654253703,True,False
highdim_poly4,softplus,64,1,3,0,7,True,10000,10,1,0.0006527761440167922,0.02439735244829325,0.02439735244829325,3.186099937984249e-05,0.0006719710426143738,2.070079282275242e-05,0.0006340009133456938,286,2.1302787529847413e-05,0.003184199863105988,0.0026719796847127727,0.8452977367280803,0.0036429638551598404,0.0028603257511231493,0.04118093775274078,0.030879230658736816,-0.6882360447836572,0.002531423719089196,-387.7935402958103,False,1.919489859758159e-05,-2.940502463749321,False,-1.8775230671098388e-05,2.8762127481508286,True,False
highdim_poly4,softplus,64,1,3,0,8,True,10000,10,1,0.0005930890849389014,0.04431598707571668,0.04431598707571668,0.0003015818013802304,0.0008900638205909705,0.00011103847072570252,0.000561413098344705,286,9.226213456043034e-05,0.003184199863105988,0.002738382665526741,0.8452977367280803,0.0037246270326024827,0.014629860373746986,0.03748346350053022,0.03207529448579756,-0.7298803878806095,0.002591110778167087,-436.8839090056795,False,0.0002969747356520691,-50.07253432807024,False,-3.167598659419642e-05,5.34084801062552,True,False
highdim_poly4,softplus,64,1,3,0,9,True,10000,10,1,0.0005721078207108843,0.040802881694287606,0.040802881694287606,0.0005814191208537907,0.0011844618308680809,0.00011008038844874633,0.0005253170618943944,286,8.884225243834955e-05,0.003184199863105988,0.0027122785289809114,0.8452977367280803,0.003696947186032194,0.00203962862862931,0.038015252484520916,0.032509939395676174,-0.7455224347324745,0.002612092042395104,-456.573384917094,False,0.0006123540101571965,-107.03472107692978,False,-4.67907588164899e-05,8.178660931142154,True,False
