case,activation,hidden,n_hidden,q,data_seed,init_seed,special,n,p,max_order,NN_mse_vs_y,act_io_mean,TPR_mse_vs_NN,TPR_mse_vs_y,FPR_mse_vs_y,FPR_mse_vs_NN,FPR_r2_vs_y,shape_NN_FPR_in,mahal_NN_FPR,shape_NN_FPR_ext,abs_rmse_gap,NN_FPR_log10,well_specified
highdim_poly4,softplus,64,1,3,0,0,True,10000,20,1,0.000984232471657594,0.04171715740566385,0.0007834211637874435,0.0019058201788260116,0.0045876464544307265,0.004039508702313343,0.8425791732517511,0.0028757094492770636,0.01625445980740995,0.0412964543047635,0.03635968753165761,-0.6684922526313806,False
highdim_poly4,softplus,64,1,3,0,1,True,10000,20,1,0.001047987214466302,0.03891411861387913,0.0005928785070761663,0.0018512594842383088,0.0045876464544307265,0.0040608126362507435,0.8425791732517511,0.00284162563226947,0.05244984123753846,0.04084337384198487,0.035359536419779916,-0.641233957497343,False
highdim_poly4,softplus,64,1,3,0,2,True,10000,20,1,0.0009970233711032864,0.04638695356084577,0.0005552738945376275,0.001521215897378845,0.0045876464544307265,0.00411863061596884,0.8425791732517511,0.0028937501445029747,0.04732613827937782,0.040981864846275244,0.03615649016776863,-0.6628846030725509,False
highdim_poly4,softplus,64,1,3,0,3,True,10000,20,1,0.0009472274447484551,0.04115523657986358,0.0006523590075402448,0.0017084293450965358,0.0045876464544307265,0.003936312498036286,0.8425791732517511,0.0028019317349239044,0.003640172486588901,0.041353683291597554,0.036955106692816604,-0.6851356690387218,False
highdim_poly4,softplus,64,1,3,0,4,True,10000,20,1,0.0009751737668587563,0.040898903657862355,0.00032316778284026355,0.0014188593038889756,0.0045876464544307265,0.003982285334569043,0.8425791732517511,0.002837837355968518,0.014125520889249196,0.03979942778869258,0.03650439469377173,-0.6725079319322427,False
highdim_poly4,softplus,64,1,3,0,5,True,10000,20,1,0.0009773006118704499,0.036841083642532496,0.0003930119800609257,0.0015607761356882096,0.0045876464544307265,0.003914981513157023,0.8425791732517511,0.002766891351219633,0.021483135272768013,0.0415208635193476,0.03647035949919555,-0.6715617710731325,False
highdim_poly4,softplus,64,1,3,0,6,True,10000,20,1,0.0009649706036151994,0.04283678080477413,0.0006522774865898555,0.001604820231610681,0.0045876464544307265,0.0040915149477065565,0.8425791732517511,0.0029014464139355952,0.03256148358278413,0.04098704860836482,0.036668191079567335,-0.6770758583334381,False
highdim_poly4,softplus,64,1,3,0,7,True,10000,20,1,0.0009913432812630304,0.04633223964082686,0.001031862976160612,0.002322448549509489,0.0045876464544307265,0.004023350009947315,0.8425791732517511,0.002809766527264196,0.044696824613231476,0.04030698227650333,0.036246562708772204,-0.6653658742019366,False
highdim_poly4,softplus,64,1,3,0,8,True,10000,20,1,0.0010482742099435687,0.029916865193449577,0.00013913839566843163,0.0012938462793249173,0.0045876464544307265,0.0038812854215349176,0.8425791732517511,0.0027594739848331626,0.031926867333843145,0.041723606385435985,0.03535510403622657,-0.6411150405040371,False
highdim_poly4,softplus,64,1,3,0,9,True,10000,20,1,0.0009853208299714456,0.03313658372560052,0.0002940791251671721,0.0013781918660006518,0.0045876464544307265,0.003950145882332417,0.8425791732517511,0.002823458417042268,0.0017281651421307445,0.0416330893606246,0.036342346575164976,-0.6680122777479802,False
highdim_poly4,softplus,64,1,3,0,10,True,10000,20,1,0.0009330657719693924,0.0450022875746323,0.0008005229681715839,0.0018176071382615816,0.0045876464544307265,0.003947060518180828,0.8425791732517511,0.0028154330041020707,0.0005015048270436464,0.03967705154555499,0.03718604173999481,-0.6916776834280449,False
highdim_poly4,softplus,64,1,3,0,11,True,10000,20,1,0.0010437476909247554,0.04641436019883341,0.0011927125816164456,0.002475788015535758,0.0045876464544307265,0.004174939731286611,0.8425791732517511,0.0029522744169249624,0.03694194638649316,0.04051038158073205,0.03542508283646842,-0.6429944140412543,False
highdim_poly4,softplus,64,1,3,0,12,True,10000,20,1,0.0008857199151837984,0.04699495971911731,0.0014032945521343535,0.002364640692294526,0.0045876464544307265,0.003931724894903196,0.8425791732517511,0.0027853843658397345,0.006537902406574314,0.0395793146697746,0.03797112011474959,-0.7142935319605573,False
