case,activation,hidden,n_hidden,q,seed,special,NN_mse_vs_y,FPR_mse_vs_y,FPR_mse_vs_NN,TPR_mse_vs_NN,TPR_mse_vs_y,LTPR_mse_vs_NN,LTPR_mse_vs_y,LTPR_n_terms,shape_NN_LTPR,shape_LTPR_FPR,u_coverage,act_pair_mean,act_io_scaled_mean,act_io_unscaled_mean,act_io_scaled_sum,act_io_unscaled_sum,io_shape,shape_NN_FPR_in,shape_NN_FPR_ext,mahal_NN_FPR,distill_resid,abs_rmse_gap,NN_FPR_log10,well_specified
paper_poly4,softplus,4,1,3,0,True,0.00015096737479325384,0.0015298232667193276,0.0011818743614347034,0.0004029768634558823,0.0006963011739736832,0.00021980193390791044,0.00043428272521344965,20,0.00023147778255797405,0.001905070782037522,0.99,0.08853193563231132,0.09046599128041094,0.16052235766407685,0.09046599128041094,0.16052235766407685,0.021415114081535895,0.0017327233582458896,0.019588929867627232,0.0025075057503205172,0.0012283472122786969,0.026826077073766393,-1.0057581586513547,False
paper_poly4,softplus,4,1,3,0,True,0.0051038991659879684,0.0015298232667193276,0.006170620731761671,7.177986412620461,7.240175403370588,7.446399232191121e-08,0.005097980124445055,20,9.797845541149198e-08,0.007733800680519248,0.75,0.0014318444514853147,0.0015924855660409127,0.015151630363378746,0.0015924855660409127,0.015151630363378746,0.017952104472959432,0.0077291261768969765,0.04122657120866643,0.02476614005776597,6.839928737508582e-06,0.03232862346321708,0.5232608240403391,False
paper_poly4,softplus,4,1,3,0,True,0.00023713489645160735,0.0015298232667193276,0.0009970706064037565,0.0004642726293926142,0.0009074483032846406,0.00032905341455701696,0.0006364884293126806,20,0.0003408919572075112,0.0018313756234776234,0.97,0.11114145846935092,0.10672563644806275,0.06389739356832241,0.10672563644806275,0.06389739356832241,0.021406020864210104,0.001491164560134657,0.018226508678358018,0.0005228113503989516,0.0011381804652414462,0.02371377030050416,-0.8096457928468324,False
paper_poly4,softplus,4,1,3,0,True,0.0004472079745028168,0.0015298232667193276,0.002661608953128094,0.001727391211561585,0.0022678655845953786,0.0003135393449192017,0.0007099500132392933,20,0.00032816974447318374,0.004148039508346941,0.97,0.09573426033471111,0.10123382201894635,0.0035613636088850636,0.10123382201894635,0.0035613636088850636,0.021018834185811706,0.003758499506552483,0.028981874733393503,0.00315806152320607,0.0020161555254978713,0.01796566286054046,-0.5341317225383004,False
paper_poly4,softplus,4,1,3,0,True,0.00014242634642869234,0.0015298232667193276,0.0009277737004317917,0.019694941948699952,0.020226857330159338,0.00011270204813311221,0.00028820735040223816,20,0.0001057047787010451,0.001338276302559038,0.755,0.1495128910557857,0.13107949580713169,0.0002968704204333053,0.13107949580713169,0.0002968704204333053,0.02142379384658336,0.0013789180758775519,0.02204554732858278,0.0014535590223734834,0.0009984602103268348,0.027178704249706954,-1.0310509279635534,False
paper_poly4,softplus,4,1,3,0,True,0.00044185362639836967,0.0015298232667193276,0.002774765986734791,0.000515090064121641,0.0010404356482893468,0.00021842695708120753,0.0005607921932685837,20,0.00024447829470317003,0.004212705378287096,0.995,0.0712354919003457,0.08010059116366072,0.03662303812840209,0.08010059116366072,0.03662303812840209,0.021003031370901967,0.003882605027935575,0.028088231596858908,0.003810646714894863,0.0020232420994420065,0.018092640616402637,-0.5393628380155178,False
paper_poly4,softplus,4,1,3,0,True,9.366680023958907e-05,0.0015298232667193276,0.0015033803358712324,0.007291357748270575,0.007173458547451196,0.011688832990052958,0.011857960638375829,20,0.00985318417812297,0.013910104616955816,0.78,0.15234439089097307,0.16400115562791992,0.08125589821043061,0.16400115562791992,0.08125589821043061,0.02135606310782303,0.0021420668888855253,0.028178108661927957,0.005325006275370514,0.0011415444177498046,0.029434794233948867,-1.2130555772096625,False
paper_poly4,softplus,4,1,3,0,True,0.00013886606029700488,0.0015298232667193276,0.0011679835437103494,0.00017915091577183875,0.00045015783107678933,8.140452689076958e-05,0.00023395554731714746,20,8.564869454722921e-05,0.001874380077107606,1.0,0.06757570299689102,0.06424046380528511,0.053601087693302074,0.06424046380528511,0.053601087693302074,0.021427868345809363,0.0017206086434372225,0.020001162321109465,0.002280073994037922,0.0011263449257005787,0.027328810783815695,-1.0420451472033834,False
paper_poly4,softplus,4,1,3,0,True,0.0005467755254358053,0.0015298232667193276,0.002884997158708449,0.0038003464769299257,0.004339211937565921,0.0011847325154555422,0.00172077694119265,20,0.0011647202091020301,0.00537219865661402,0.865,0.1609032998800107,0.1570333331936358,0.12736867123774817,0.1570333331936358,0.12736867123774817,0.021027191075287978,0.004083156620449583,0.03008958218883219,0.00438198258129673,0.0019047282906981804,0.015729723513695833,-0.4468321951167061,False
paper_poly4,softplus,4,1,3,0,True,0.00018989475211128592,0.0015298232667193276,0.0010460343193673515,0.002432073671884219,0.002787933177752567,0.0013959475610510186,0.0017717160022532792,20,0.0012619994268136298,0.002612234256481487,0.885,0.1535503876076209,0.146187332508141,0.07538688141489702,0.146187332508141,0.07538688141489702,0.021433325076752767,0.0015537164581054426,0.020220969279184813,0.000795906697585949,0.0012399160175157779,0.025332724747596652,-0.906128298880192,False
