case,case_label,p,n_total,train_n,test_n,data_seed,init_seed,initial_n,initial_fit_n,initial_valid_n,fpr_distance,tpr_distance,combined_distance,initial_nn_valid_mse,initial_fpr_valid_mse,initial_tpr_valid_mse,initial_fpr_mimic_mse,initial_tpr_mimic_mse,distance_norm,raw_dopt_weight,dopt_weight,normalization_low,normalization_high,p_dim,source_prefix
highdim_poly2,Quadratic,20,10000,7500,2500,0,0,375,281,94,0.0405347668884215,0.938664420656605,0.4895995937725133,0.0455633664644754,0.0368289685320588,302.8374612507655,0.0728621960278531,299.77861860928937,0.5858397720661018,0.4141602279338982,0.5692041481570338,0.3542608231506064,0.5852775227246262,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,0,1,375,281,94,0.086816001303272,0.9689857951131234,0.5279008982081977,0.0385776723355384,0.1383765165240969,23651867.61185709,0.1694786462901206,23651535.96494156,0.7516342990691698,0.2483657009308302,0.4614377056050396,0.3542608231506064,0.5852775227246262,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,1,0,375,281,94,0.0553960469317339,0.951995881596246,0.5036959642639899,0.0333054402005258,0.0796502059099183,1183.817079092923,0.1033675871804248,1182.4122490353752,0.6468586097409081,0.3531413902590918,0.5295419036684097,0.3542608231506064,0.5852775227246262,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,1,1,375,281,94,0.0514682408731741,0.8880911473001376,0.4697796940866559,0.0395302220077841,0.0796521430596489,66.84478536554269,0.0995224060863497,66.1294149414169,0.5000455428073337,0.4999544571926663,0.6249703971752331,0.3542608231506064,0.5852775227246262,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,2,0,375,281,94,0.0419422210531005,0.9338016346303266,0.4878719278417136,0.0401871940416552,0.0519562851086162,503.4426843186373,0.0738974388299333,500.44866255269926,0.5783612394146296,0.4216387605853704,0.5740651943804908,0.3542608231506064,0.5852775227246262,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,2,1,375,281,94,0.0503242937130985,0.9023924044919036,0.4763583491025011,0.0364833039626087,0.0733310212835718,61.27342893137007,0.1099394514970122,60.60301344799056,0.5285225101779862,0.4714774898220137,0.6064603683843088,0.3542608231506064,0.5852775227246262,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,3,0,375,281,94,0.0473738279330014,0.942883283949866,0.4951285559414337,0.0500084163660255,0.071822636586514,1236.8991857311066,0.090194131292187,1236.088297489851,0.6097729430408212,0.3902270569591788,0.5536475870234662,0.3542608231506064,0.5852775227246262,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,3,1,375,281,94,0.0534720422172428,0.8989219506707468,0.4761969964439947,0.0338082662199338,0.0745398078163797,94.28193600663587,0.1065750309095981,94.37120089831194,0.5278240643132335,0.4721759356867665,0.6069143581963982,0.3542608231506064,0.5852775227246262,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,4,0,375,281,94,0.0315041461061296,0.8681978106323349,0.4498509783692322,0.0233781447665395,0.0340316349990186,33.977130639196226,0.0548501433194015,33.92349604892839,0.4137802825288738,0.5862197174711262,0.681042816356232,0.3542608231506064,0.5852775227246262,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,4,1,375,281,94,0.0300048004350211,0.9374254510212192,0.4837151257281202,0.0268419364235127,0.0560713406454973,518.6063404721588,0.0611548492663241,518.3780671757888,0.5603677258666553,0.4396322741333447,0.5857609781866739,0.3542608231506064,0.5852775227246262,20,measure_weighted_sampling_grand_mean_p20
