case,case_label,p,device,cuda_name,data_seed,init_seed,n_original,n_train_pool,n_eval,hidden,activation,epochs,degree,include_special,n_fullpr_features,n_design_params,initial_fraction,initial_n,batch_size,iteration,selected_n,oracle_mse_vs_y,surrogate_mse_vs_y,dopt_mse_vs_nn,dopt_shape_vs_nn,pilot_mse_fullpr_vs_nn,pilot_shape_fullpr_vs_nn,random_mse_median,random_mse_q25,random_mse_q75,random_shape_median,random_shape_q25,random_shape_q75,mse_gain_vs_random_median_pct,shape_gain_vs_random_median_pct,elapsed_sec_path
highdim_poly2,Quadratic,10,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,0,0,10000,7500,2500,"128,64,32",tanh,1000,2,True,85,86,0.1,750,500,4,2750,0.00374050310380198,0.002645181649654348,0.0011066573423496354,0.0015042175725789473,0.0007087368929997472,0.0009079452769296575,0.0011422869713490207,0.001135684378805097,0.001148683534198264,0.0014879010407067431,0.0014204990576162822,0.0015429783324763789,3.1191486809402456,-1.0966140506531243,0.8904736999975285
highdim_poly2,Quadratic,10,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,0,0,10000,7500,2500,"128,64,32",tanh,1000,2,True,85,86,0.1,750,500,5,3250,0.00374050310380198,0.002640486812776448,0.001104257692488194,0.0016327288115518816,0.0007087368929997472,0.0009079452769296575,0.00113098386963249,0.0011249868252628632,0.0011366966715557953,0.0015084436828180243,0.0014544205599413343,0.0015812885240758796,2.363090921268462,-8.23929525175723,1.1303672999965784
highdim_poly2,Quadratic,10,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,0,1,10000,7500,2500,"128,64,32",tanh,1000,2,True,85,86,0.05,375,500,0,375,0.0032451574138624762,0.002722723363899599,0.0007592559165756481,0.0009635843351498096,0.0005894188837140543,0.000717813608624831,0.000800811950257576,0.0007572929327828147,0.0008379566749356806,0.0011108312660567043,0.0010437014753099283,0.0011846159919968958,5.189237456878817,13.25556233482703,0.1487331999996968
highdim_poly2,Quadratic,10,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,0,1,10000,7500,2500,"128,64,32",tanh,1000,2,True,85,86,0.05,375,500,1,875,0.0032451574138624762,0.0026668203872241146,0.0006220354850283223,0.0007964047338779256,0.0005894188837140543,0.000717813608624831,0.000663698854283656,0.0006587176951928657,0.0006774636663867833,0.0008800328028994507,0.0008444356717052387,0.0008851359222788774,6.277450832772924,9.50283543363328,0.3263671999993676
highdim_poly2,Quadratic,10,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,0,1,10000,7500,2500,"128,64,32",tanh,1000,2,True,85,86,0.05,375,500,2,1375,0.0032451574138624762,0.0026500490607917495,0.0006068564605687432,0.000782085197445882,0.0005894188837140543,0.000717813608624831,0.0006456109461369913,0.0006356041982405165,0.0006517501274012536,0.0008326161256234786,0.0007780823098079188,0.0008548948226554745,6.002761539304011,6.068934605339062,0.4950003999983892
highdim_poly2,Quadratic,10,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,0,1,10000,7500,2500,"128,64,32",tanh,1000,2,True,85,86,0.05,375,500,3,1875,0.0032451574138624762,0.002637495256538222,0.0005986221586381902,0.0008929269194310672,0.0005894188837140543,0.000717813608624831,0.000625735415685539,0.0006212479315894483,0.0006315551903483096,0.0008463490752117995,0.0008370012403532622,0.0008710172367161983,4.333022611105411,-5.503384547045391,0.6927290999992692
highdim_poly2,Quadratic,10,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,0,1,10000,7500,2500,"128,64,32",tanh,1000,2,True,85,86,0.05,375,500,4,2375,0.0032451574138624762,0.002636535362672391,0.0005937242080596922,0.0008269590167829412,0.0005894188837140543,0.000717813608624831,0.0006150768315136157,0.0006089825938836221,0.0006241937010623008,0.0008311828915922078,0.0007995582902522893,0.0008769852119772285,3.471537596592236,0.5081763414518063,0.911789999998291
highdim_poly2,Quadratic,10,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,0,1,10000,7500,2500,"128,64,32",tanh,1000,2,True,85,86,0.05,375,500,5,2875,0.0032451574138624762,0.002633124216184948,0.0005927529540226554,0.0007553109684009194,0.0005894188837140543,0.000717813608624831,0.0006058483610440785,0.0006012241951807958,0.000611356244596342,0.0008217516919284233,0.0007795864747585915,0.0008557588291956485,2.1614991247736324,8.085255458566321,1.1254267000003892
highdim_poly2,Quadratic,10,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,0,1,10000,7500,2500,"128,64,32",tanh,1000,2,True,85,86,0.1,750,500,0,750,0.0032451574138624762,0.0027349767474740987,0.000704757371170164,0.0009512108069429198,0.0005864151220464854,0.0007876951205681242,0.0006743062695410858,0.0006685388244333781,0.0006859311559380268,0.000885357155289752,0.0008385268459361794,0.0009264981771995175,-4.515915542325063,-7.438088827735941,0.13917799999762792
highdim_poly2,Quadratic,10,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,0,1,10000,7500,2500,"128,64,32",tanh,1000,2,True,85,86,0.1,750,500,1,1250,0.0032451574138624762,0.002656502528644625,0.0006113240917517897,0.0007878766927582591,0.0005864151220464854,0.0007876951205681242,0.0006551206324119138,0.0006481656183703579,0.0006654189200527865,0.0009098696002072795,0.0008350231046224585,0.0009670125739058896,6.68526352144968,13.407735286598088,0.3019684999999299
highdim_poly2,Quadratic,10,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,0,1,10000,7500,2500,"128,64,32",tanh,1000,2,True,85,86,0.1,750,500,2,1750,0.0032451574138624762,0.0026488241644294424,0.0006037297692243858,0.0008278934727670309,0.0005864151220464854,0.0007876951205681242,0.0006262343515658331,0.0006185054888286747,0.0006328877939875164,0.0008405162645333611,0.0007919704922533277,0.000890301443746541,3.5936358785136875,1.5017903042409377,0.46927149999828544
