case,activation,hidden,n_hidden,q,data_seed,init_seed,special,n,p,max_order,NN_mse_vs_y,act_io_mean,act_io_sum,TPR_mse_vs_NN,TPR_mse_vs_y,LTPR_mse_vs_NN,LTPR_mse_vs_y,LTPR_n_terms,shape_NN_LTPR,FPR_mse_vs_y,FPR_mse_vs_NN,FPR_r2_vs_y,shape_NN_FPR_in,mahal_NN_FPR,shape_NN_FPR_ext,abs_rmse_gap,NN_FPR_log10,FPR_mse_delta_vs_NN,FPR_improve_vs_NN_pct,FPR_better_than_NN,TPR_mse_delta_vs_NN,TPR_improve_vs_NN_pct,TPR_better_than_NN,LTPR_mse_delta_vs_NN,LTPR_improve_vs_NN_pct,LTPR_better_than_NN,well_specified
highdim_poly4,softplus,64,1,3,0,0,True,10000,20,1,0.000984232471657594,0.04171715740566385,0.04171715740566385,0.0007834211637874435,0.0019058201788260116,,,,,0.0045876464544307265,0.004039508702313343,0.8425791732517511,0.0028757094492770636,0.01625445980740995,0.0412964543047635,0.03635968753165761,-0.6684922526313806,0.0036034139827731326,-366.11411292948367,False,0.0009215877071684175,-93.63516584819911,False,,,,False
highdim_poly4,softplus,64,1,3,0,1,True,10000,20,1,0.001047987214466302,0.03891411861387913,0.03891411861387913,0.0005928785070761663,0.0018512594842383088,,,,,0.0045876464544307265,0.0040608126362507435,0.8425791732517511,0.00284162563226947,0.05244984123753846,0.04084337384198487,0.035359536419779916,-0.641233957497343,0.0035396592399644248,-337.757864895998,False,0.0008032722697720069,-76.64905245824791,False,,,,False
highdim_poly4,softplus,64,1,3,0,2,True,10000,20,1,0.0009970233711032864,0.04638695356084577,0.04638695356084577,0.0005552738945376275,0.001521215897378845,,,,,0.0045876464544307265,0.00411863061596884,0.8425791732517511,0.0028937501445029747,0.04732613827937782,0.040981864846275244,0.03615649016776863,-0.6628846030725509,0.00359062308332744,-360.1342944803919,False,0.0005241925262755587,-52.57575112762879,False,,,,False
highdim_poly4,softplus,64,1,3,0,3,True,10000,20,1,0.0009472274447484551,0.04115523657986358,0.04115523657986358,0.0006523590075402448,0.0017084293450965358,,,,,0.0045876464544307265,0.003936312498036286,0.8425791732517511,0.0028019317349239044,0.003640172486588901,0.041353683291597554,0.036955106692816604,-0.6851356690387218,0.0036404190096822713,-384.3236415778702,False,0.0007612019003480807,-80.36104787380023,False,,,,False
highdim_poly4,softplus,64,1,3,0,4,True,10000,20,1,0.0009751737668587563,0.040898903657862355,0.040898903657862355,0.00032316778284026355,0.0014188593038889756,,,,,0.0045876464544307265,0.003982285334569043,0.8425791732517511,0.002837837355968518,0.014125520889249196,0.03979942778869258,0.03650439469377173,-0.6725079319322427,0.00361247268757197,-370.4439978126687,False,0.0004436855370302193,-45.49810014469786,False,,,,False
highdim_poly4,softplus,64,1,3,0,5,True,10000,20,1,0.0009773006118704499,0.036841083642532496,0.036841083642532496,0.0003930119800609257,0.0015607761356882096,,,,,0.0045876464544307265,0.003914981513157023,0.8425791732517511,0.002766891351219633,0.021483135272768013,0.0415208635193476,0.03647035949919555,-0.6715617710731325,0.003610345842560277,-369.4201966834398,False,0.0005834755238177597,-59.702768700927074,False,,,,False
highdim_poly4,softplus,64,1,3,0,6,True,10000,20,1,0.0009649706036151994,0.04283678080477413,0.04283678080477413,0.0006522774865898555,0.001604820231610681,,,,,0.0045876464544307265,0.0040915149477065565,0.8425791732517511,0.0029014464139355952,0.03256148358278413,0.04098704860836482,0.036668191079567335,-0.6770758583334381,0.003622675850815527,-375.41826012558397,False,0.0006398496279954816,-66.30768083486966,False,,,,False
highdim_poly4,softplus,64,1,3,0,7,True,10000,20,1,0.0009913432812630304,0.04633223964082686,0.04633223964082686,0.001031862976160612,0.002322448549509489,,,,,0.0045876464544307265,0.004023350009947315,0.8425791732517511,0.002809766527264196,0.044696824613231476,0.04030698227650333,0.036246562708772204,-0.6653658742019366,0.003596303173167696,-362.77072141809356,False,0.0013311052682464586,-134.27288946272486,False,,,,False
highdim_poly4,softplus,64,1,3,0,8,True,10000,20,1,0.0010482742099435687,0.029916865193449577,0.029916865193449577,0.00013913839566843163,0.0012938462793249173,,,,,0.0045876464544307265,0.0038812854215349176,0.8425791732517511,0.0027594739848331626,0.031926867333843145,0.041723606385435985,0.03535510403622657,-0.6411150405040371,0.0035393722444871578,-337.63801598035036,False,0.00024557206938134865,-23.42631985523792,False,,,,False
highdim_poly4,softplus,64,1,3,0,9,True,10000,20,1,0.0009853208299714456,0.03313658372560052,0.03313658372560052,0.0002940791251671721,0.0013781918660006518,,,,,0.0045876464544307265,0.003950145882332417,0.8425791732517511,0.002823458417042268,0.0017281651421307445,0.0416330893606246,0.036342346575164976,-0.6680122777479802,0.003602325624459281,-365.5992560883622,False,0.00039287103602920624,-39.872397302368164,False,,,,False
