budget,order,x1,x2,x3,nn_output
52,0,0.9102810235837231,-0.9723453699199651,-0.5501319571117774,-1.0146906
52,1,0.7083189044678724,-0.9134974430457156,0.8603507994744102,0.41170228
52,2,-0.6265553135341799,-0.9836610845557417,-0.7087653680202545,-0.11025339
52,3,0.7338804401161889,0.8611070418383111,-0.5824360341022381,-0.4600883
52,4,-0.6885890231002216,-0.6263985177886614,0.8812453332322374,1.0132104
52,5,-0.1688622296451957,0.8460535066872963,0.9814228278776762,1.0614276
52,6,0.7216601670251732,0.5836524035844906,0.7581269167764768,0.64801055
52,7,0.06086373600598205,-0.8803806613066417,0.9873533330684434,0.768746
52,8,0.9408138409300315,-0.08654805078505956,-0.14150074598640439,-0.3267973
52,9,0.5581164005692434,-0.5029135890711318,-0.9276606636997078,-1.0565149
52,10,-0.43103907468414215,0.7189333463525325,-0.5050710720853979,0.22659321
52,11,-0.6221636754140476,0.6110265843647806,0.8571347441083463,1.1059247
52,12,-0.4718218362354645,-0.988302119989649,0.29360803453524054,0.5660688
52,13,0.8305038158704192,-0.2636243883510321,0.9491286914759605,0.5738276
52,14,-0.7288133746755141,-0.2922092003891774,-0.2715554801853931,0.41687512
52,15,-0.1966769580723371,0.9618795901951152,0.20531606001008873,0.67585397
52,16,-0.07699325112548183,-0.7652299106883178,-0.9414086778213964,-0.68366706
52,17,0.3997608069000189,-0.9197957582410605,-0.35700031185383485,-0.4330901
52,18,0.06360554187036938,0.4003997933462955,-0.3239372005522967,0.09807439
52,19,0.18851448543504468,-0.2023272925786117,0.6245812286245116,0.6503484
52,20,-0.8786103143518593,-0.5078901927032914,0.43590571515878396,0.88714874
52,21,-0.05412283999168177,0.36363296940693424,-0.8582371770442755,-0.34387416
52,22,0.604521644976284,0.9713067849573918,0.3251840523000675,0.44472885
52,23,0.9131627700373426,-0.7964944698340453,0.18155261705392545,-0.18985629
52,24,-0.20616486085268904,-0.5040927021659607,-0.5155706322122562,-0.093411654
52,25,-0.46667290342695045,0.10985727369576548,0.3778238749111331,0.791124
52,26,0.026534896120670837,0.07065430637004866,0.9894325815794109,0.94532645
52,27,0.4766448295421333,0.6166131178660523,-0.8766639436154708,-0.66070247
52,28,0.4096906639666904,0.5591863093280405,0.03594339725589668,0.2584569
52,29,0.8560875723564336,-0.0867217942646501,-0.6445528358484722,-0.846313
52,30,-0.7387864500272476,0.4735491139778092,0.46989131144735063,0.9504993
52,31,-0.6078830915618034,-0.5564036066458653,0.9827672750762397,1.0396928
52,32,0.5871469811151235,-0.5538047042891165,0.21760311700276813,0.09351166
52,33,-0.6109065521260921,0.260680650149685,-0.549398044986362,0.2165013
52,34,0.9509635967379104,0.21170649444842216,0.3925665278271462,0.22707845
52,35,0.15395045819096875,-0.996716332385839,-0.043358000318117984,-0.0031333566
52,36,0.22131618610717485,-0.14276607318631673,-0.9782845894774472,-0.8021144
52,37,-0.17968901723475073,-0.6738915714050477,0.6319262748549321,0.71531457
52,38,-0.33974400137277094,0.9326902828771011,0.05848935044818249,0.62719154
52,39,0.5491613687079924,0.8465998534931078,0.7437451231265992,0.7254665
52,40,0.04356705612635703,-0.9625494456537588,-0.7427081852949322,-0.6004263
52,41,0.5813448573679572,-0.142359969769152,0.9836791592486445,0.71908194
52,42,-0.4495204555123663,-0.684547893918453,-0.057394299860325404,0.37877095
52,43,0.11908275445936578,-0.9635651339504225,0.74943624675464,0.5955294
52,44,-0.441357543084807,-0.799231096608047,-0.8487382556172425,-0.3201691
52,45,-0.6889868722990942,-0.8872559929376658,0.5005584645245393,0.7948339
52,46,0.09805399305724194,0.9990324177767462,0.25588087146769367,0.6050767
52,47,0.5611158540364283,-0.11203777178897234,-0.5577436400371754,-0.5445884
52,48,0.795650956593164,0.7030487590804468,-0.3118488902919475,-0.24064249
52,49,0.9422493647446688,-0.8802894289957958,-0.2998339533321346,-0.75321984
52,50,-0.6393934009841139,0.04136185349193,0.7897004497842814,1.0364991
52,51,-0.11454528194961577,0.6435609608785349,-0.7542263011089971,-0.15162289
