case,activation,hidden,include_special,nn_mse_vs_y,fpr_mse_vs_y,fpr_mse_vs_nn,shape_nn_fpr,candidate_domain,budget,n_parameters,method,mse_vs_nn,shape_vs_nn,random_mse_median,random_mse_q25,random_mse_q75,random_shape_median,random_shape_q25,random_shape_q75,mse_gain_vs_random_median_pct,shape_gain_vs_random_median_pct
paper_poly3,tanh,"16,8,4",True,3.538707096595317e-05,6.005314561861182e-09,3.462771180704322e-05,4.570227917235653e-05,uniform,26,26,D-optimal,0.0797859760495476,0.0474916822993248,0.004794142650622928,0.00112186214914455,0.02913737158135534,0.0029485557930630096,0.0007286272145433704,0.019574585067949506,-1564.2386733982682,-1510.676060838233
paper_poly3,tanh,"16,8,4",True,3.538707096595317e-05,6.005314561861182e-09,3.462771180704322e-05,4.570227917235653e-05,uniform,52,26,D-optimal,0.000878672865323912,0.0006239369207955894,0.00034265314202690104,0.0002808408794690304,0.00045300449836353334,0.00024458253532385135,0.0002095294595267933,0.000313302936107192,-156.43216347770394,-155.10281016975944
paper_poly3,tanh,"16,8,4",True,3.538707096595317e-05,6.005314561861182e-09,3.462771180704322e-05,4.570227917235653e-05,uniform,78,26,D-optimal,0.0006207944605892583,0.00046843520674991624,0.00024765809778181356,0.0002163395502795549,0.00029755449450402513,0.00018460770747590259,0.00016175611313134906,0.00020991105680734454,-150.66592457484566,-153.74628890349152
paper_poly3,tanh,"16,8,4",True,3.538707096595317e-05,6.005314561861182e-09,3.462771180704322e-05,4.570227917235653e-05,uniform,104,26,D-optimal,0.0004680449847977893,0.0003367741703776304,0.00024090706092241328,0.00020278683500396077,0.0002921728414679453,0.00017932684816392036,0.00015321018251934364,0.00021927487624785532,-94.2844609890983,-87.79907962793695
