p,case,case_label,budget,budget_multiplier,n_design_params,n_fullpr_features,shape_nn_fpr_mean,shape_nn_fpr_std,shape_nn_fpr_count,abs_rmse_gap_mean,abs_rmse_gap_std,abs_rmse_gap_count,full_fpr_mse_vs_nn_mean,full_fpr_mse_vs_nn_std,full_fpr_mse_vs_nn_count,dopt_mse_vs_nn_mean,dopt_mse_vs_nn_std,dopt_mse_vs_nn_count,latin_mse_vs_nn_mean,latin_mse_vs_nn_std,latin_mse_vs_nn_count,random_mse_median_mean,random_mse_median_std,random_mse_median_count,dopt_gain_vs_random_median_pct_mean,dopt_gain_vs_random_median_pct_std,dopt_gain_vs_random_median_pct_count,latin_gain_vs_random_median_pct_mean,latin_gain_vs_random_median_pct_std,latin_gain_vs_random_median_pct_count,dopt_shape_gain_vs_random_median_pct_mean,dopt_shape_gain_vs_random_median_pct_std,dopt_shape_gain_vs_random_median_pct_count,latin_shape_gain_vs_random_median_pct_mean,latin_shape_gain_vs_random_median_pct_std,latin_shape_gain_vs_random_median_pct_count,shape_nn_fpr_se,shape_nn_fpr_ci95,abs_rmse_gap_se,abs_rmse_gap_ci95,full_fpr_mse_vs_nn_se,full_fpr_mse_vs_nn_ci95,dopt_mse_vs_nn_se,dopt_mse_vs_nn_ci95,latin_mse_vs_nn_se,latin_mse_vs_nn_ci95,random_mse_median_se,random_mse_median_ci95,dopt_gain_vs_random_median_pct_se,dopt_gain_vs_random_median_pct_ci95,latin_gain_vs_random_median_pct_se,latin_gain_vs_random_median_pct_ci95,dopt_shape_gain_vs_random_median_pct_se,dopt_shape_gain_vs_random_median_pct_ci95,latin_shape_gain_vs_random_median_pct_se,latin_shape_gain_vs_random_median_pct_ci95
5,highdim_poly2,Quadratic,62.0,2.0,31,30,0.0011451513883938933,0.0005773426347929184,6,0.0036815226120607233,0.0016983758717284262,6,0.0004395433311756274,0.00020556827885358873,6,0.0012337634380193252,0.0005970435228895302,6,0.0014306318426256569,0.0009766391176517816,6,0.0011012574230431125,0.0005288731537705876,6,-13.2339542948818,28.735204863825142,6,-20.462403043691058,25.271125651990406,6,28.498162784730212,7.119915165993935,6,10.096779784991051,27.445951493212664,6,0.00023569914366611136,0.0004619703215855783,0.0006933590461982032,0.0013589837305484783,8.39228984155763e-05,0.00016448888089452954,0.00024374199755217298,0.00047773431520225905,0.00039871125018147547,0.0007814740503556919,0.00021591156089907418,0.0004231866593621854,11.731098261785498,22.992952593099574,10.31689384552256,20.22111193722422,2.9066931947647556,5.697118661738921,11.20476277725818,21.961335043426033
5,highdim_poly2,Quadratic,93.0,3.0,31,30,0.0011451513883938933,0.0005773426347929184,6,0.0036815226120607233,0.0016983758717284262,6,0.0004395433311756274,0.00020556827885358873,6,0.0011173564335801474,0.0005602638134845005,6,0.0007683615471559585,0.00043592828308855545,6,0.0008549195859072978,0.000415143408158672,6,-28.83360965204965,14.789942913277574,6,9.101952449762571,17.60997067223572,6,15.636985927656047,5.909887684922597,6,21.23094766999532,7.624535480341924,6,0.00023569914366611136,0.0004619703215855783,0.0006933590461982032,0.0013589837305484783,8.39228984155763e-05,0.00016448888089452954,0.00022872674406381198,0.0004483044183650715,0.0001779669763357497,0.00034881527361806943,0.00016948158667811958,0.00033218390988911436,6.037968910403696,11.834419064391243,7.189240422058997,14.090911227235635,2.4127015442030877,4.728895026638051,3.1127035754306593,6.100899007844093
5,highdim_poly2,Quadratic,124.0,4.0,31,30,0.0011451513883938933,0.0005773426347929184,6,0.0036815226120607233,0.0016983758717284262,6,0.0004395433311756274,0.00020556827885358873,6,0.0009799816679683636,0.0004885044957845889,6,0.0007828429540760683,0.0002885904562430439,6,0.0007226551822738124,0.0003496674365083131,6,-34.95615729267113,31.814295672178556,6,-16.759264583416716,36.30925834349297,6,8.435604069556263,10.254032185682648,6,1.7286524513141213,27.53515172673358,6,0.00023569914366611136,0.0004619703215855783,0.0006933590461982032,0.0013589837305484783,8.39228984155763e-05,0.00016448888089452954,0.00019943112528796983,0.00039088500556442083,0.00011781656040540895,0.00023092045839460154,0.0001427511331854002,0.0002797922210433844,12.988131820478772,25.456738368138392,14.823192646741761,29.053457587613853,4.18619111016637,8.204934575926085,11.24117862010207,22.03271009540006
5,highdim_smooth,Smooth,62.0,2.0,31,30,0.00035747378647227947,0.00016669634716343605,6,0.0014426545403615904,0.0007838215892550878,6,0.00016221275212188483,6.575876982138656e-05,6,0.0006170193150207443,0.00027612609160159894,6,0.000529153891367717,0.0001916821096576994,6,0.00041611963738406475,0.00014071196625089547,6,-46.982189681087725,33.16641151127567,6,-28.387833257360167,38.311284546992916,6,3.517056066483373,23.026762192345526,6,-8.063184745039317,48.79197944195338,6,6.805349875604339e-05,0.00013338485756184503,0.00031999382384205786,0.0006271878947304334,2.684590536258773e-05,5.261797451067195e-05,0.00011272800484882082,0.0002209468895036888,7.825389358026252e-05,0.00015337763141731452,5.744541966973687e-05,0.00011259302255268427,13.54013080029928,26.53865636858659,15.640516421784472,30.655412186697564,9.400636299942976,18.425247147888232,19.919242195525417,39.041714703229815
5,highdim_smooth,Smooth,93.0,3.0,31,30,0.00035747378647227947,0.00016669634716343605,6,0.0014426545403615904,0.0007838215892550878,6,0.00016221275212188483,6.575876982138656e-05,6,0.0006546015933834628,0.0003771470803188092,6,0.0002889905922073426,0.00010111272843629694,6,0.0003312674249436776,0.00012730543787594728,6,-87.26915321959792,41.88674176126591,6,10.463646014653454,17.4987491716277,6,-15.35490320863749,8.912119603844324,6,11.173025955705286,13.716867251980053,6,6.805349875604339e-05,0.00013338485756184503,0.00031999382384205786,0.0006271878947304334,2.684590536258773e-05,5.261797451067195e-05,0.0001539696507935911,0.0003017805155554386,4.1279098528255056e-05,8.090703311537991e-05,5.1972227379609e-05,0.00010186556566403364,17.10019071713811,33.51637380559069,7.143834434572948,14.00191549176298,3.638357592678926,7.131180881650695,5.599887606140604,10.975779708035583
5,highdim_smooth,Smooth,124.0,4.0,31,30,0.00035747378647227947,0.00016669634716343605,6,0.0014426545403615904,0.0007838215892550878,6,0.00016221275212188483,6.575876982138656e-05,6,0.00047078741133716194,0.0001610422806674617,6,0.0002653536682827154,9.289410669872625e-05,6,0.0002709443666541665,0.00010333341470793357,6,-77.63627677096316,40.16246824569042,6,-1.8507897260530584,32.13809010103648,6,-20.016669999995425,16.794484413434834,6,16.209416685770854,22.669942770724145,6,6.805349875604339e-05,0.00013338485756184503,0.00031999382384205786,0.0006271878947304334,2.684590536258773e-05,5.261797451067195e-05,6.574523577489287e-05,0.00012886066211879004,3.792386025392268e-05,7.433076609768845e-05,4.218568990230728e-05,8.268395220852227e-05,16.3962590021123,32.136667644140104,13.120320342521744,25.71582787134262,6.856319551006765,13.438386319973258,9.254965381061742,18.139732146881016
5,highdim_strong,Strong nonlinear,62.0,2.0,31,30,0.0013881897549163566,0.0006291582116268058,6,0.010117531878828698,0.0026891190691921453,6,0.0008615826853134769,0.0004086718850165545,6,0.008050798109582933,0.006650843298110918,6,0.0029142510627985538,0.001242230657935908,6,0.003185237938296925,0.0007130723754324326,6,-130.676231731181,152.2968012587649,6,4.369249000714344,46.65659043277863,6,-4.5709527465278565,20.83948994355381,6,20.17224056549487,33.26833853673908,6,0.00025685276432794486,0.0005034314180827719,0.001097828262851468,0.002151743395188877,0.00016683959841865277,0.0003270056129005594,0.002715195406596823,0.005321782996929774,0.0005071385424641342,0.000993991543229703,0.00029111057824729653,0.0005705767333647012,62.174908757005475,121.86282116373073,19.047473283054504,37.33304763478683,8.507686143594709,16.67506484144563,13.581742334196784,26.620214975025696
5,highdim_strong,Strong nonlinear,93.0,3.0,31,30,0.0013881897549163566,0.0006291582116268058,6,0.010117531878828698,0.0026891190691921453,6,0.0008615826853134769,0.0004086718850165545,6,0.006250383595653399,0.005588586365659267,6,0.0016911784129072975,0.00037888208406462775,6,0.0019045905506256972,0.0006565263195632763,6,-195.18165073004127,191.19259414174945,6,-1.9688119945190425,52.65406275888112,6,-53.04253329545969,29.379601439295804,6,-3.2425887296093827,49.26153200125002,6,0.00025685276432794486,0.0005034314180827719,0.001097828262851468,0.002151743395188877,0.00016683959841865277,0.0003270056129005594,0.0022815308298900494,0.004471800426584497,0.00015467796310676994,0.00030316880768926907,0.0002680257476062394,0.0005253304653082293,78.05404970772041,152.985937427132,21.495931107290172,42.13202497028874,11.994172062102162,23.50857724172024,20.110936225141202,39.41743500127676
5,highdim_strong,Strong nonlinear,124.0,4.0,31,30,0.0013881897549163566,0.0006291582116268058,6,0.010117531878828698,0.0026891190691921453,6,0.0008615826853134769,0.0004086718850165545,6,0.0056184077656178865,0.005425773686551508,6,0.0016941301152338297,0.0006600823521989069,6,0.0015589947957955746,0.0006584332852153857,6,-199.2107118633612,175.6563674697699,6,-21.314519144717725,71.45289406739012,6,-71.7372951312024,21.96641809499149,6,-9.96399027127591,86.66792348544898,6,0.00025685276432794486,0.0005034314180827719,0.001097828262851468,0.002151743395188877,0.00016683959841865277,0.0003270056129005594,0.002215062831978465,0.004341523150677791,0.0002694774918505693,0.0005281758840271158,0.0002688042630736864,0.0005268563556244253,71.71141172862568,140.55436698810632,29.17052185170752,57.17422282934674,8.967752634894742,17.576795164393694,35.38203160098743,69.34878193793537
10,highdim_poly2,Quadratic,172.0,2.0,86,85,0.0017963948190346175,0.0007099624909125174,6,0.009522645688543377,0.003080510997403358,6,0.0013120634821533787,0.0005235643248392743,6,0.0022446467282588385,0.0007731138810897573,6,0.0023142163721748053,0.0008946750992705283,6,0.0029362839031195774,0.0012235759269326489,6,19.678560661730344,21.792370456617494,6,20.41760667000757,6.591913825266382,6,31.773910696575218,7.552411034218759,6,18.802924528120375,8.006849647526646,6,0.0002898409732085011,0.0005680883074886621,0.0012576133484450507,0.0024649221629522993,0.0002137442405635004,0.0004189387115044608,0.00031562242028877573,0.0006186199437660004,0.00036524957979778015,0.0007158891764036491,0.0004995227804229905,0.0009790646496290615,8.896697984069286,17.4375280487758,2.6911375500501045,5.274629598098205,3.0832588936002243,6.043187431456439,3.268782680603938,6.406814053983719
