case,case_label,p,n_total,train_n,test_n,data_seed,init_seed,strategy,strategy_label,round,selected_n,test_mse,fpr_distance,tpr_distance,combined_distance,distance_norm,dopt_weight,batch_dopt_added,batch_random_added,batch_latin_added,random_final_mse,gain_vs_random_pct,p_dim,source_prefix
highdim_poly2,Quadratic,20,10000,7500,2500,2,1,latin,Latin hypercube,6,3375,0.00645805638835,0.0503242937130985,0.9023924044919036,0.4763583491025011,0.5285225101779862,0.6064603683843088,0,0,500,0.0072136768937747,10.474831581059943,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,3,0,measure_weighted,Measure-weighted,6,3375,0.0076089334920473,0.0473738279330014,0.942883283949866,0.4951285559414337,0.6097729430408212,0.5536475870234662,277,223,0,0.0081910401054419,7.106626336842354,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,3,0,random,Random,6,3375,0.0081910401054419,0.0473738279330014,0.942883283949866,0.4951285559414337,0.6097729430408212,0.5536475870234662,0,500,0,0.0081910401054419,0.0,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,3,0,dopt,D-optimal,6,3375,0.0074684333081707,0.0473738279330014,0.942883283949866,0.4951285559414337,0.6097729430408212,0.5536475870234662,500,0,0,0.0081910401054419,8.821917460654879,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,3,0,latin,Latin hypercube,6,3375,0.007433488325607,0.0473738279330014,0.942883283949866,0.4951285559414337,0.6097729430408212,0.5536475870234662,0,0,500,0.0081910401054419,9.24854194440555,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,3,1,measure_weighted,Measure-weighted,6,3375,0.0074949512861105,0.0534720422172428,0.8989219506707468,0.4761969964439947,0.5278240643132335,0.6069143581963982,303,197,0,0.008352349759823,10.26535643702081,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,3,1,random,Random,6,3375,0.008352349759823,0.0534720422172428,0.8989219506707468,0.4761969964439947,0.5278240643132335,0.6069143581963982,0,500,0,0.008352349759823,0.0,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,3,1,dopt,D-optimal,6,3375,0.0077405479156485,0.0534720422172428,0.8989219506707468,0.4761969964439947,0.5278240643132335,0.6069143581963982,500,0,0,0.008352349759823,7.324906903652895,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,3,1,latin,Latin hypercube,6,3375,0.0079899661205482,0.0534720422172428,0.8989219506707468,0.4761969964439947,0.5278240643132335,0.6069143581963982,0,0,500,0.008352349759823,4.338702876380425,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,4,0,measure_weighted,Measure-weighted,6,3375,0.0047279368407694,0.0315041461061296,0.8681978106323349,0.4498509783692322,0.4137802825288738,0.681042816356232,341,159,0,0.0051274434124614,7.791535460362963,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,4,0,random,Random,6,3375,0.0051274434124614,0.0315041461061296,0.8681978106323349,0.4498509783692322,0.4137802825288738,0.681042816356232,0,500,0,0.0051274434124614,0.0,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,4,0,dopt,D-optimal,6,3375,0.0049076905048031,0.0315041461061296,0.8681978106323349,0.4498509783692322,0.4137802825288738,0.681042816356232,500,0,0,0.0051274434124614,4.285818291513376,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,4,0,latin,Latin hypercube,6,3375,0.004870871642909,0.0315041461061296,0.8681978106323349,0.4498509783692322,0.4137802825288738,0.681042816356232,0,0,500,0.0051274434124614,5.003892757329968,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,4,1,measure_weighted,Measure-weighted,6,3375,0.0050240129549426,0.0300048004350211,0.9374254510212192,0.4837151257281202,0.5603677258666553,0.5857609781866739,293,207,0,0.0049971746655717,-0.5370692674765779,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,4,1,random,Random,6,3375,0.0049971746655717,0.0300048004350211,0.9374254510212192,0.4837151257281202,0.5603677258666553,0.5857609781866739,0,500,0,0.0049971746655717,0.0,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,4,1,dopt,D-optimal,6,3375,0.0048033634645065,0.0300048004350211,0.9374254510212192,0.4837151257281202,0.5603677258666553,0.5857609781866739,500,0,0,0.0049971746655717,3.87841558551997,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,4,1,latin,Latin hypercube,6,3375,0.0048833828440565,0.0300048004350211,0.9374254510212192,0.4837151257281202,0.5603677258666553,0.5857609781866739,0,0,500,0.0049971746655717,2.2771231571953194,20,measure_weighted_sampling_grand_mean_p20
highdim_smooth,Smooth,20,10000,7500,2500,0,0,measure_weighted,Measure-weighted,6,3375,0.0020929211308581,0.0063071777001112,0.6283998392391876,0.3173535084696494,0.0,0.95,475,25,0,0.0023182848898453,9.721141692911486,20,measure_weighted_sampling_grand_mean_p20
highdim_smooth,Smooth,20,10000,7500,2500,0,0,random,Random,6,3375,0.0023182848898453,0.0063071777001112,0.6283998392391876,0.3173535084696494,0.0,0.95,0,500,0,0.0023182848898453,0.0,20,measure_weighted_sampling_grand_mean_p20
highdim_smooth,Smooth,20,10000,7500,2500,0,0,dopt,D-optimal,6,3375,0.0019773505241141,0.0063071777001112,0.6283998392391876,0.3173535084696494,0.0,0.95,500,0,0,0.0023182848898453,14.70631876283138,20,measure_weighted_sampling_grand_mean_p20
highdim_smooth,Smooth,20,10000,7500,2500,0,0,latin,Latin hypercube,6,3375,0.0021661047579422,0.0063071777001112,0.6283998392391876,0.3173535084696494,0.0,0.95,0,0,500,0.0023182848898453,6.564341275298463,20,measure_weighted_sampling_grand_mean_p20
