p_dim,comparison,mean_mse_diff,median_mse_diff,win_rate,mean_pct_gain,pct_gain_se,runs
20,measure_weighted_vs_random,0.00012010833444102604,0.00023903413911780002,0.72,4.397407332445507,1.7189250747825773,50
50,measure_weighted_vs_random,-0.00033492738747558195,8.614309340634983e-05,0.54,0.5008618413980802,2.1870194570979984,50
all,measure_weighted_vs_random,-0.00010740952651727802,0.0001981500218931001,0.63,2.449134586921793,1.3975838671019036,100
20,measure_weighted_vs_dopt,-6.388046088311961e-06,4.462621561789981e-05,0.56,-0.24257630646717268,1.4640334590781465,50
50,measure_weighted_vs_dopt,0.0004509093734456839,4.11904744361505e-05,0.52,0.4128803504348412,2.30218944541496,50
all,measure_weighted_vs_dopt,0.00022226066367868596,4.462621561789981e-05,0.54,0.08515202198383424,1.3576287484692133,100
20,measure_weighted_vs_latin,-0.00018187864700903195,-2.2168308726000095e-05,0.46,-1.7542571029019565,1.5498387180651958,50
50,measure_weighted_vs_latin,-0.0005686781108668299,-0.00017858466870614934,0.4,-1.3844081643195418,2.4057331974235407,50
all,measure_weighted_vs_latin,-0.0003752783789379309,-6.294358452169947e-05,0.43,-1.5693326336107487,1.4237460463837208,100
