p_dim,strategy,strategy_label,final_mse_mean,final_mse_std,final_mse_se,gain_vs_random_mean,gain_vs_random_std,gain_vs_random_se,positive_gain_rate,runs
20,latin,Latin hypercube,0.004810979412562508,0.0030243966547396357,0.00042771427671286117,5.791233678800613,8.81994416068265,1.247328465141079,0.76,50
20,dopt,D-optimal,0.004986470013483228,0.003348641903436586,0.0004735694795370876,4.110245982011729,11.963125106478227,1.6918413773947585,0.76,50
20,measure_weighted,Measure-weighted,0.00499285805957154,0.0033547425673574587,0.0004744322437027255,4.397407332445405,12.154635767303215,1.7189250747825318,0.72,50
20,random,Random,0.005112966394012566,0.0032088445245704706,0.0004537991446194206,0.0,0.0,0.0,0.0,50
50,latin,Latin hypercube,0.018574394630444736,0.015386220405424238,0.002175940157101262,0.16844288960549636,17.711428106755704,2.504774183756995,0.46,50
50,random,Random,0.018808145353835983,0.015403862260678478,0.0021784350921978586,0.0,0.0,0.0,0.0,50
50,measure_weighted,Measure-weighted,0.019143072741311565,0.01661592843880679,0.002349847134958137,0.5008618413979835,15.464562887009118,2.187019457097992,0.54,50
50,dopt,D-optimal,0.019593982114757248,0.01649742382309021,0.0023330880514831173,-1.8463550446208346,19.242967376165836,2.721366544367674,0.48,50
