case,case_label,p,n_total,train_n,test_n,data_seed,init_seed,strategy,strategy_label,round,selected_n,test_mse,fpr_distance,tpr_distance,combined_distance,distance_norm,dopt_weight,batch_dopt_added,batch_random_added,batch_latin_added,p_dim,source_prefix
highdim_poly2,Quadratic,20,10000,7500,2500,0,0,latin,Latin hypercube,0,375,0.0360067547356831,0.0405347668884215,0.938664420656605,0.4895995937725133,0.5858397720661018,0.5692041481570338,0,0,0,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,0,0,latin,Latin hypercube,1,875,0.0205045134771443,0.0405347668884215,0.938664420656605,0.4895995937725133,0.5858397720661018,0.5692041481570338,0,0,500,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,0,0,latin,Latin hypercube,2,1375,0.0129900476752139,0.0405347668884215,0.938664420656605,0.4895995937725133,0.5858397720661018,0.5692041481570338,0,0,500,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,0,0,latin,Latin hypercube,3,1875,0.0100139872079554,0.0405347668884215,0.938664420656605,0.4895995937725133,0.5858397720661018,0.5692041481570338,0,0,500,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,0,0,latin,Latin hypercube,4,2375,0.0081314080065091,0.0405347668884215,0.938664420656605,0.4895995937725133,0.5858397720661018,0.5692041481570338,0,0,500,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,0,0,latin,Latin hypercube,5,2875,0.0081601057722747,0.0405347668884215,0.938664420656605,0.4895995937725133,0.5858397720661018,0.5692041481570338,0,0,500,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,0,0,latin,Latin hypercube,6,3375,0.0081814714161525,0.0405347668884215,0.938664420656605,0.4895995937725133,0.5858397720661018,0.5692041481570338,0,0,500,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,0,1,measure_weighted,Measure-weighted,0,375,0.0361148533057213,0.086816001303272,0.9689857951131234,0.5279008982081977,0.7516342990691698,0.4614377056050396,0,0,0,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,0,1,measure_weighted,Measure-weighted,1,875,0.0206549604129678,0.086816001303272,0.9689857951131234,0.5279008982081977,0.7516342990691698,0.4614377056050396,231,269,0,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,0,1,measure_weighted,Measure-weighted,2,1375,0.0143584331412106,0.086816001303272,0.9689857951131234,0.5279008982081977,0.7516342990691698,0.4614377056050396,231,269,0,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,0,1,measure_weighted,Measure-weighted,3,1875,0.0101572090616618,0.086816001303272,0.9689857951131234,0.5279008982081977,0.7516342990691698,0.4614377056050396,231,269,0,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,0,1,measure_weighted,Measure-weighted,4,2375,0.0097752622935694,0.086816001303272,0.9689857951131234,0.5279008982081977,0.7516342990691698,0.4614377056050396,231,269,0,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,0,1,measure_weighted,Measure-weighted,5,2875,0.0082105666549409,0.086816001303272,0.9689857951131234,0.5279008982081977,0.7516342990691698,0.4614377056050396,231,269,0,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,0,1,measure_weighted,Measure-weighted,6,3375,0.008211379329696,0.086816001303272,0.9689857951131234,0.5279008982081977,0.7516342990691698,0.4614377056050396,231,269,0,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,0,1,random,Random,0,375,0.0347785034072215,0.086816001303272,0.9689857951131234,0.5279008982081977,0.7516342990691698,0.4614377056050396,0,0,0,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,0,1,random,Random,1,875,0.0221026566979198,0.086816001303272,0.9689857951131234,0.5279008982081977,0.7516342990691698,0.4614377056050396,0,500,0,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,0,1,random,Random,2,1375,0.014534151849214,0.086816001303272,0.9689857951131234,0.5279008982081977,0.7516342990691698,0.4614377056050396,0,500,0,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,0,1,random,Random,3,1875,0.0121146318815568,0.086816001303272,0.9689857951131234,0.5279008982081977,0.7516342990691698,0.4614377056050396,0,500,0,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,0,1,random,Random,4,2375,0.0106269846848393,0.086816001303272,0.9689857951131234,0.5279008982081977,0.7516342990691698,0.4614377056050396,0,500,0,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,0,1,random,Random,5,2875,0.0084268904311246,0.086816001303272,0.9689857951131234,0.5279008982081977,0.7516342990691698,0.4614377056050396,0,500,0,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,0,1,random,Random,6,3375,0.0088731734844738,0.086816001303272,0.9689857951131234,0.5279008982081977,0.7516342990691698,0.4614377056050396,0,500,0,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,0,1,dopt,D-optimal,0,375,0.036248749004497,0.086816001303272,0.9689857951131234,0.5279008982081977,0.7516342990691698,0.4614377056050396,0,0,0,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,0,1,dopt,D-optimal,1,875,0.0191142693455991,0.086816001303272,0.9689857951131234,0.5279008982081977,0.7516342990691698,0.4614377056050396,500,0,0,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,0,1,dopt,D-optimal,2,1375,0.0122694385064593,0.086816001303272,0.9689857951131234,0.5279008982081977,0.7516342990691698,0.4614377056050396,500,0,0,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,0,1,dopt,D-optimal,3,1875,0.0094289474689888,0.086816001303272,0.9689857951131234,0.5279008982081977,0.7516342990691698,0.4614377056050396,500,0,0,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,0,1,dopt,D-optimal,4,2375,0.0089001711924577,0.086816001303272,0.9689857951131234,0.5279008982081977,0.7516342990691698,0.4614377056050396,500,0,0,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,0,1,dopt,D-optimal,5,2875,0.0078347299992025,0.086816001303272,0.9689857951131234,0.5279008982081977,0.7516342990691698,0.4614377056050396,500,0,0,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,0,1,dopt,D-optimal,6,3375,0.0073054507749,0.086816001303272,0.9689857951131234,0.5279008982081977,0.7516342990691698,0.4614377056050396,500,0,0,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,0,1,latin,Latin hypercube,0,375,0.0330394748101029,0.086816001303272,0.9689857951131234,0.5279008982081977,0.7516342990691698,0.4614377056050396,0,0,0,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,0,1,latin,Latin hypercube,1,875,0.01880895701855,0.086816001303272,0.9689857951131234,0.5279008982081977,0.7516342990691698,0.4614377056050396,0,0,500,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,0,1,latin,Latin hypercube,2,1375,0.012200353177552,0.086816001303272,0.9689857951131234,0.5279008982081977,0.7516342990691698,0.4614377056050396,0,0,500,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,0,1,latin,Latin hypercube,3,1875,0.0102664315358288,0.086816001303272,0.9689857951131234,0.5279008982081977,0.7516342990691698,0.4614377056050396,0,0,500,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,0,1,latin,Latin hypercube,4,2375,0.0092420279089447,0.086816001303272,0.9689857951131234,0.5279008982081977,0.7516342990691698,0.4614377056050396,0,0,500,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,0,1,latin,Latin hypercube,5,2875,0.0079040668760185,0.086816001303272,0.9689857951131234,0.5279008982081977,0.7516342990691698,0.4614377056050396,0,0,500,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,0,1,latin,Latin hypercube,6,3375,0.007536171970236,0.086816001303272,0.9689857951131234,0.5279008982081977,0.7516342990691698,0.4614377056050396,0,0,500,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,1,0,measure_weighted,Measure-weighted,0,375,0.0382680245305561,0.0553960469317339,0.951995881596246,0.5036959642639899,0.6468586097409081,0.5295419036684097,0,0,0,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,1,0,measure_weighted,Measure-weighted,1,875,0.0223372667489578,0.0553960469317339,0.951995881596246,0.5036959642639899,0.6468586097409081,0.5295419036684097,265,235,0,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,1,0,measure_weighted,Measure-weighted,2,1375,0.0139833139424013,0.0553960469317339,0.951995881596246,0.5036959642639899,0.6468586097409081,0.5295419036684097,265,235,0,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,1,0,measure_weighted,Measure-weighted,3,1875,0.0111002298720294,0.0553960469317339,0.951995881596246,0.5036959642639899,0.6468586097409081,0.5295419036684097,265,235,0,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,1,0,measure_weighted,Measure-weighted,4,2375,0.0087031853730835,0.0553960469317339,0.951995881596246,0.5036959642639899,0.6468586097409081,0.5295419036684097,265,235,0,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,1,0,measure_weighted,Measure-weighted,5,2875,0.0079511891144814,0.0553960469317339,0.951995881596246,0.5036959642639899,0.6468586097409081,0.5295419036684097,265,235,0,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,1,0,measure_weighted,Measure-weighted,6,3375,0.0081880106826667,0.0553960469317339,0.951995881596246,0.5036959642639899,0.6468586097409081,0.5295419036684097,265,235,0,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,1,0,random,Random,0,375,0.0384208935239639,0.0553960469317339,0.951995881596246,0.5036959642639899,0.6468586097409081,0.5295419036684097,0,0,0,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,1,0,random,Random,1,875,0.0254205414397337,0.0553960469317339,0.951995881596246,0.5036959642639899,0.6468586097409081,0.5295419036684097,0,500,0,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,1,0,random,Random,2,1375,0.0144629713376083,0.0553960469317339,0.951995881596246,0.5036959642639899,0.6468586097409081,0.5295419036684097,0,500,0,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,1,0,random,Random,3,1875,0.0134901717838916,0.0553960469317339,0.951995881596246,0.5036959642639899,0.6468586097409081,0.5295419036684097,0,500,0,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,1,0,random,Random,4,2375,0.0109452383129505,0.0553960469317339,0.951995881596246,0.5036959642639899,0.6468586097409081,0.5295419036684097,0,500,0,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,1,0,random,Random,5,2875,0.0089332363282684,0.0553960469317339,0.951995881596246,0.5036959642639899,0.6468586097409081,0.5295419036684097,0,500,0,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,1,0,random,Random,6,3375,0.0089846941495922,0.0553960469317339,0.951995881596246,0.5036959642639899,0.6468586097409081,0.5295419036684097,0,500,0,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,1,0,dopt,D-optimal,0,375,0.0376326837547743,0.0553960469317339,0.951995881596246,0.5036959642639899,0.6468586097409081,0.5295419036684097,0,0,0,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,1,0,dopt,D-optimal,1,875,0.0261001622368414,0.0553960469317339,0.951995881596246,0.5036959642639899,0.6468586097409081,0.5295419036684097,500,0,0,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,1,0,dopt,D-optimal,2,1375,0.0145818511071195,0.0553960469317339,0.951995881596246,0.5036959642639899,0.6468586097409081,0.5295419036684097,500,0,0,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,1,0,dopt,D-optimal,3,1875,0.010074951105054,0.0553960469317339,0.951995881596246,0.5036959642639899,0.6468586097409081,0.5295419036684097,500,0,0,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,1,0,dopt,D-optimal,4,2375,0.0089946998466254,0.0553960469317339,0.951995881596246,0.5036959642639899,0.6468586097409081,0.5295419036684097,500,0,0,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,1,0,dopt,D-optimal,5,2875,0.0083908056446351,0.0553960469317339,0.951995881596246,0.5036959642639899,0.6468586097409081,0.5295419036684097,500,0,0,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,1,0,dopt,D-optimal,6,3375,0.0080188031145557,0.0553960469317339,0.951995881596246,0.5036959642639899,0.6468586097409081,0.5295419036684097,500,0,0,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,1,0,latin,Latin hypercube,0,375,0.0391656586000488,0.0553960469317339,0.951995881596246,0.5036959642639899,0.6468586097409081,0.5295419036684097,0,0,0,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,1,0,latin,Latin hypercube,1,875,0.0255644501535021,0.0553960469317339,0.951995881596246,0.5036959642639899,0.6468586097409081,0.5295419036684097,0,0,500,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,1,0,latin,Latin hypercube,2,1375,0.0134925859965391,0.0553960469317339,0.951995881596246,0.5036959642639899,0.6468586097409081,0.5295419036684097,0,0,500,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,1,0,latin,Latin hypercube,3,1875,0.0100236825667605,0.0553960469317339,0.951995881596246,0.5036959642639899,0.6468586097409081,0.5295419036684097,0,0,500,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,1,0,latin,Latin hypercube,4,2375,0.0101989508990396,0.0553960469317339,0.951995881596246,0.5036959642639899,0.6468586097409081,0.5295419036684097,0,0,500,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,1,0,latin,Latin hypercube,5,2875,0.0089785601235716,0.0553960469317339,0.951995881596246,0.5036959642639899,0.6468586097409081,0.5295419036684097,0,0,500,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,1,0,latin,Latin hypercube,6,3375,0.0082532320697959,0.0553960469317339,0.951995881596246,0.5036959642639899,0.6468586097409081,0.5295419036684097,0,0,500,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,1,1,measure_weighted,Measure-weighted,0,375,0.0407331616343636,0.0514682408731741,0.8880911473001376,0.4697796940866559,0.5000455428073337,0.6249703971752331,0,0,0,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,1,1,measure_weighted,Measure-weighted,1,875,0.0232646335267178,0.0514682408731741,0.8880911473001376,0.4697796940866559,0.5000455428073337,0.6249703971752331,312,188,0,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,1,1,measure_weighted,Measure-weighted,2,1375,0.0162023754962624,0.0514682408731741,0.8880911473001376,0.4697796940866559,0.5000455428073337,0.6249703971752331,312,188,0,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,1,1,measure_weighted,Measure-weighted,3,1875,0.0107712599510866,0.0514682408731741,0.8880911473001376,0.4697796940866559,0.5000455428073337,0.6249703971752331,312,188,0,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,1,1,measure_weighted,Measure-weighted,4,2375,0.0097841970854995,0.0514682408731741,0.8880911473001376,0.4697796940866559,0.5000455428073337,0.6249703971752331,312,188,0,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,1,1,measure_weighted,Measure-weighted,5,2875,0.0082187814194062,0.0514682408731741,0.8880911473001376,0.4697796940866559,0.5000455428073337,0.6249703971752331,312,188,0,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,1,1,measure_weighted,Measure-weighted,6,3375,0.0088462064745633,0.0514682408731741,0.8880911473001376,0.4697796940866559,0.5000455428073337,0.6249703971752331,312,188,0,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,1,1,random,Random,0,375,0.037350209001016,0.0514682408731741,0.8880911473001376,0.4697796940866559,0.5000455428073337,0.6249703971752331,0,0,0,20,measure_weighted_sampling_grand_mean_p20
