case,activation,device,cuda_name,hidden,pilot_fraction,pilot_n,pilot_train_n,pilot_val_n,n_parameters,pilot_nn_mse_vs_y,pilot_fpr_mse_vs_y,pilot_fpr_mse_vs_nn,pilot_shape_nn_fpr,budget,dopt_mse_vs_nn,dopt_shape_vs_nn,random_mse_median,random_mse_q25,random_mse_q75,random_shape_median,random_shape_q25,random_shape_q75,mse_gain_vs_random_median_pct,shape_gain_vs_random_median_pct
paper_poly3,tanh,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,"16,8,4",0.1,1000,750,250,26,5.242349743639352e-06,3.878700528678463e-10,5.246999938981231e-06,1.6032233505246936e-05,52,1.7477244225426343e-05,4.51270429380256e-05,2.6050450221294937e-05,1.615045783142552e-05,5.124192937987592e-05,8.321150746371813e-05,5.397912705075505e-05,0.0001678798281612,32.91001085601364,45.76826653729126
paper_poly3,tanh,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,"16,8,4",0.01,100,75,25,26,5.853256880072877e-06,8.891628042987642e-10,5.874340183414119e-06,1.543750612604869e-05,52,0.0001879237720954,0.0006078818568812,0.0001114795224162,5.871385424771953e-05,0.0002349679456141,0.0003620771886527,0.0001953315075349,0.0007943011623263,-68.57245888957571,-67.88736654278307
paper_poly3,tanh,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,"16,8,4",0.005,50,37,13,26,0.0002371087612118,5.734467585973482e-07,0.0002211400413978,0.0004202910314632,52,0.0001577043138153,0.0003917122095398,0.0001128306484897,7.296496104484978e-05,0.0002951093252992,0.000391244395899,0.0002484416033655,0.0009748901290409,-39.77081220957756,-0.119570694354545
paper_poly4,tanh,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,"16,8,4",0.1,1000,750,250,26,2.642202707647812e-05,7.782507540380882e-07,2.88540689934167e-05,8.71009982278509e-05,52,4.787428721097134e-05,0.0001418110049099,8.257757252144379e-05,5.569096761134711e-05,0.0001725004355551,0.0002904262442255,0.0002004478983271,0.0006061256021402,42.02507321399002,51.17142209785341
paper_poly4,tanh,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,"16,8,4",0.01,100,75,25,26,4.9000045692082494e-05,9.528305896776464e-07,5.510196549404544e-05,0.000160455595158,52,0.000239831384069,0.0005208635018927,0.0004617028592522,0.0001954219618182,0.000824814267495,0.0016324835931247,0.0007126571279018,0.0028447003090193,48.05503599058788,68.09379867054024
paper_poly4,tanh,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,"16,8,4",0.005,50,37,13,26,3.551678673829883e-05,1.7281630756843664e-07,3.568130365640881e-05,0.0001234475284676,52,0.0007697317602747,0.0018837712503477,0.0019743847531898,0.0009748373569846,0.0043361972001116,0.0066269212980806,0.0032745544530085,0.0133638836891596,61.014095199470674,71.57396073357049
smooth_nonlinear,softplus,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,"16,8,4",0.1,1000,750,250,26,7.871626439737156e-05,4.853022822527697e-05,3.282906062891939e-05,0.0001423789966837,52,0.0008215046959497,0.0024711283986543,0.0004704002972534,0.0003526090725438,0.0008227533403458,0.0019134409585182,0.0015136256463488,0.0034005021603257,-74.63949337327526,-29.14578773143899
smooth_nonlinear,softplus,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,"16,8,4",0.01,100,75,25,26,0.004945492837578,0.0215492725030704,0.0261966823936817,0.0487424792710734,52,0.0058127261454614,0.0132229532182981,0.0200287003144059,0.0072247636001098,0.0442281656163821,0.0740929306294964,0.0277259642493203,0.1458339063303187,70.9780162755717,82.15355620845953
smooth_nonlinear,softplus,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,"16,8,4",0.005,50,37,13,26,0.0023802111390978,0.0024352977601417,0.0062382661877657,0.0149757049473193,52,0.0135445970485979,0.0228423265131357,0.0180277545182659,0.0091052590775428,0.0430496095939812,0.0664127817186395,0.0351211646630244,0.143044690920169,24.868085845775205,65.60552664409067
smooth_nonlinear_rand,tanh,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,"16,8,4",0.1,1000,750,250,26,0.0001777723082341,0.0020424779441773,0.002022304771511,0.0089195850534472,52,0.0062392125766817,0.0241217190576665,0.1234163342276737,0.0608325271141589,0.253370635720725,0.3190178911575283,0.2070624292115434,0.4782191957321482,94.94458118876554,92.43875665714452
smooth_nonlinear_rand,tanh,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,"16,8,4",0.01,100,75,25,26,0.0010355507256463,0.0036763703849542,0.0028368230579854,0.0197732065692993,52,0.0100346793137431,0.0309224695056127,0.1671837799219013,0.0554600594878702,0.3193933284048885,0.3678669916460938,0.1855472394727744,0.5445924245532433,93.9978152674675,91.59411683901185
smooth_nonlinear_rand,tanh,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,"16,8,4",0.005,50,37,13,26,0.0475711487233638,0.3953615594563243,0.649293766973329,0.3884271072741296,52,0.0107111110464456,0.0412082180336218,0.2403450468950285,0.1117791220841952,0.7823421048008146,0.4810239955964823,0.3071444762821544,0.7193667521605136,95.543444233688,91.43323027315456
