case,activation,device,cuda_name,hidden,pilot_fraction,pilot_n,pilot_train_n,pilot_val_n,n_parameters,pilot_nn_mse_vs_y,pilot_fpr_mse_vs_y,pilot_fpr_mse_vs_nn,pilot_shape_nn_fpr,budget,dopt_mse_vs_nn,dopt_shape_vs_nn,random_mse_median,random_mse_q25,random_mse_q75,random_shape_median,random_shape_q25,random_shape_q75,mse_gain_vs_random_median_pct,shape_gain_vs_random_median_pct
paper_poly3,tanh,cpu,,"16,8,4",0.1,1000,750,250,26,4.9289305934507865e-06,3.878700528678463e-10,4.933699681766006e-06,1.5142685279106786e-05,52,1.738926728817681e-05,4.455423578943998e-05,2.601162268829831e-05,1.6204034243600247e-05,5.128435477757794e-05,8.530304771971385e-05,5.300300241868732e-05,0.0001634724893127285,33.14808731252428,47.76946782038207
paper_poly3,tanh,cpu,,"16,8,4",0.01,100,75,25,26,6.2879435063223355e-06,8.891628042987643e-10,6.313060924031928e-06,1.7040984137959507e-05,52,0.00017244666710853655,0.0005541391821076435,0.00010195120402458346,5.7167969386799365e-05,0.00019782710427413824,0.0003356158916256915,0.00018795318697654284,0.0006750969787382239,-69.14627812237956,-65.11112731386046
paper_poly3,tanh,cpu,,"16,8,4",0.005,50,37,13,26,0.00023687507200520486,5.734467585973482e-07,0.00022081665345809938,0.00042023535083222165,52,0.00015836642128667268,0.0003915533900300726,0.00011646955482550875,7.41144883816447e-05,0.0003020758143001143,0.00040911663029021445,0.0002498572100375196,0.0009843307302414832,-35.97237623508786,4.292966591869672
paper_poly4,tanh,cpu,,"16,8,4",0.1,1000,750,250,26,2.6945157515001483e-05,7.782507540380882e-07,2.9134189198891064e-05,8.807596779324898e-05,52,4.697372592160037e-05,0.0001403026469781788,8.674470015106506e-05,4.9426327572570764e-05,0.00016825453104121692,0.0003082229092482631,0.00017032522370089408,0.0005632693638190505,45.84830446148747,54.48013669056319
paper_poly4,tanh,cpu,,"16,8,4",0.01,100,75,25,26,4.7210942284436896e-05,9.528305896776464e-07,5.013324110411427e-05,0.0001432824333733496,52,0.00024371058999394688,0.0005539142282051856,0.0005202818953116504,0.00020921185959177913,0.0008883225579712036,0.0018674418539681471,0.0007355757999412597,0.0030731609291474145,53.15797220889965,70.33834135032546
paper_poly4,tanh,cpu,,"16,8,4",0.005,50,37,13,26,2.4001832571229897e-05,1.7281630756843662e-07,2.2751990388233788e-05,8.213426117808741e-05,52,0.0007984594519250316,0.001961969816495226,0.0019201112125802134,0.0009381036724744332,0.005519296696216621,0.006510193324668095,0.0031250284817519874,0.01851287941830101,58.415978892593664,69.863109762639
smooth_nonlinear,softplus,cpu,,"16,8,4",0.1,1000,750,250,26,7.741028821328655e-05,4.853022822527697e-05,3.380828039760095e-05,0.0001476675330673187,52,0.0005599686485718404,0.0019073241833758988,0.0003738986655827881,0.0002554237532360896,0.0008271247093155844,0.0015653690530495197,0.001074598223352545,0.0034041924504179984,-49.76481600944708,-21.845016653434605
smooth_nonlinear,softplus,cpu,,"16,8,4",0.01,100,75,25,26,0.004919104278087616,0.02154927250307046,0.026224487363183394,0.04868633678177516,52,0.005818536906642096,0.013162960323173722,0.02027096753290766,0.006166440365963895,0.042160610662426795,0.0732726598647124,0.024365483709494682,0.13880517115932467,71.2962052886901,82.03564556346493
smooth_nonlinear,softplus,cpu,,"16,8,4",0.005,50,37,13,26,0.0022548018023371696,0.0024352977601417927,0.006263162627175743,0.015193825982063123,52,0.013378677928137354,0.022587090422768734,0.01947511580811203,0.009092383722322841,0.044373394646279006,0.07278863389875241,0.03531583680510908,0.14591413146805582,31.303731079408056,68.96893208054028
smooth_nonlinear_rand,tanh,cpu,,"16,8,4",0.1,1000,750,250,26,0.00018257449846714735,0.0020424779441773765,0.002020265337094896,0.008917060648590654,52,0.0061977257056200965,0.02406882751387971,0.1232753251017831,0.060611934995810385,0.2524702332468384,0.3193019843673749,0.2066714816081578,0.4767431576373451,94.97245235370265,92.46204887778362
smooth_nonlinear_rand,tanh,cpu,,"16,8,4",0.01,100,75,25,26,0.001033411594107747,0.0036763703849542247,0.0028811534546746152,0.02007921221334147,52,0.010009993459565514,0.030762757576436664,0.16597835375033532,0.06015115810325425,0.31509804280908654,0.3737885112086687,0.1959412745506012,0.5324852340294193,93.96909703380807,91.77000987083223
smooth_nonlinear_rand,tanh,cpu,,"16,8,4",0.005,50,37,13,26,0.048998359590768814,0.3953615594563243,0.6532473262260484,0.3902084947103117,52,0.010457316665637272,0.04075846146955163,0.2340562447658041,0.10807311082120082,0.772470811708014,0.4776510390713292,0.30522306295486423,0.7182734519317924,95.53213516003352,91.46689567580633
