case,activation,device,cuda_name,hidden,pilot_fraction,pilot_n,pilot_train_n,pilot_val_n,n_parameters,pilot_nn_mse_vs_y,pilot_fpr_mse_vs_y,pilot_fpr_mse_vs_nn,pilot_shape_nn_fpr,budget,dopt_mse_vs_nn,dopt_shape_vs_nn,random_mse_median,random_mse_q25,random_mse_q75,random_shape_median,random_shape_q25,random_shape_q75,mse_gain_vs_random_median_pct,shape_gain_vs_random_median_pct
paper_poly4,tanh,cpu,,"16,8,4",0.005,50,37,13,26,2.4001832571229897e-05,1.7281630756843662e-07,2.2751990388233788e-05,8.213426117808741e-05,26,0.05138761450986264,0.07761317236849682,0.13302465899259963,0.025064859548943566,0.666869923590819,0.29915576174133085,0.08312226240986467,0.6554293999504743,61.36985811576377,74.05593262963589
paper_poly4,tanh,cpu,,"16,8,4",0.005,50,37,13,26,2.4001832571229897e-05,1.7281630756843662e-07,2.2751990388233788e-05,8.213426117808741e-05,52,0.0007984594519250316,0.001961969816495226,0.0019201112125802134,0.0009381036724744332,0.005519296696216621,0.006510193324668095,0.0031250284817519874,0.01851287941830101,58.415978892593664,69.863109762639
smooth_nonlinear,softplus,cpu,,"16,8,4",0.1,1000,750,250,26,7.741028821328655e-05,4.853022822527697e-05,3.380828039760095e-05,0.0001476675330673187,26,0.5184609950219802,0.41081384502197926,0.05410157222496653,0.014372474049393966,0.3850918425794974,0.1701021869077366,0.055736787749891534,0.5502438593672594,-858.3104033762688,-141.51003140530148
smooth_nonlinear,softplus,cpu,,"16,8,4",0.1,1000,750,250,26,7.741028821328655e-05,4.853022822527697e-05,3.380828039760095e-05,0.0001476675330673187,52,0.0005599686485718404,0.0019073241833758988,0.0003738986655827881,0.0002554237532360896,0.0008271247093155844,0.0015653690530495197,0.001074598223352545,0.0034041924504179984,-49.76481600944708,-21.845016653434605
smooth_nonlinear,softplus,cpu,,"16,8,4",0.01,100,75,25,26,0.004919104278087616,0.02154927250307046,0.026224487363183394,0.04868633678177516,26,0.7414511034870841,0.4781692512653673,1.0311771003591705,0.17161362096297006,5.090471560985417,0.7512944917711699,0.39316957659877944,0.8755283640481766,28.096628287339936,36.35395221145737
smooth_nonlinear,softplus,cpu,,"16,8,4",0.01,100,75,25,26,0.004919104278087616,0.02154927250307046,0.026224487363183394,0.04868633678177516,52,0.005818536906642096,0.013162960323173722,0.02027096753290766,0.006166440365963895,0.042160610662426795,0.0732726598647124,0.024365483709494682,0.13880517115932467,71.2962052886901,82.03564556346493
smooth_nonlinear,softplus,cpu,,"16,8,4",0.005,50,37,13,26,0.0022548018023371696,0.0024352977601417927,0.006263162627175743,0.015193825982063123,26,0.17068249725523107,0.2746298035102042,3.741116070523608,0.7096118674837606,24.581248012568572,0.845303256819349,0.677223584191859,0.911666998710148,95.43765833409863,67.51109128059402
smooth_nonlinear,softplus,cpu,,"16,8,4",0.005,50,37,13,26,0.0022548018023371696,0.0024352977601417927,0.006263162627175743,0.015193825982063123,52,0.013378677928137354,0.022587090422768734,0.01947511580811203,0.009092383722322841,0.044373394646279006,0.07278863389875241,0.03531583680510908,0.14591413146805582,31.303731079408056,68.96893208054028
smooth_nonlinear_rand,tanh,cpu,,"16,8,4",0.1,1000,750,250,26,0.00018257449846714735,0.0020424779441773765,0.002020265337094896,0.008917060648590654,26,0.020670410777251534,0.04762356415381047,2.1065086627348695,0.9171714607375798,12.713224977452594,0.8192610647197497,0.7179220159438905,0.9132575715614644,99.01873601837386,94.18700995266981
smooth_nonlinear_rand,tanh,cpu,,"16,8,4",0.1,1000,750,250,26,0.00018257449846714735,0.0020424779441773765,0.002020265337094896,0.008917060648590654,52,0.0061977257056200965,0.02406882751387971,0.1232753251017831,0.060611934995810385,0.2524702332468384,0.3193019843673749,0.2066714816081578,0.4767431576373451,94.97245235370265,92.46204887778362
smooth_nonlinear_rand,tanh,cpu,,"16,8,4",0.01,100,75,25,26,0.001033411594107747,0.0036763703849542247,0.0028811534546746152,0.02007921221334147,26,0.18465769344297953,0.3149790057635208,10.022590716720083,2.1931752958326536,41.83438349458765,0.9081020320990505,0.8194332028946907,0.9495065657643705,98.15758521262445,65.31457979061491
smooth_nonlinear_rand,tanh,cpu,,"16,8,4",0.01,100,75,25,26,0.001033411594107747,0.0036763703849542247,0.0028811534546746152,0.02007921221334147,52,0.010009993459565514,0.030762757576436664,0.16597835375033532,0.06015115810325425,0.31509804280908654,0.3737885112086687,0.1959412745506012,0.5324852340294193,93.96909703380807,91.77000987083223
smooth_nonlinear_rand,tanh,cpu,,"16,8,4",0.005,50,37,13,26,0.048998359590768814,0.3953615594563243,0.6532473262260484,0.3902084947103117,26,0.2247105794346423,0.3411393175705461,95.03415846188275,12.880379064880728,1027.266594855784,0.9374412183810819,0.9096634780411873,0.9650210893620474,99.763547567452,63.60952442866997
smooth_nonlinear_rand,tanh,cpu,,"16,8,4",0.005,50,37,13,26,0.048998359590768814,0.3953615594563243,0.6532473262260484,0.3902084947103117,52,0.010457316665637272,0.04075846146955163,0.2340562447658041,0.10807311082120082,0.772470811708014,0.4776510390713292,0.30522306295486423,0.7182734519317924,95.53213516003352,91.46689567580633
