case,activation,hidden,pilot_fraction,budget,pilot_shape_nn_fpr_cpu,pilot_nn_mse_vs_y_cpu,dopt_mse_vs_nn_cpu,random_mse_median_cpu,mse_gain_vs_random_median_pct_cpu,dopt_shape_vs_nn_cpu,random_shape_median_cpu,shape_gain_vs_random_median_pct_cpu,pilot_shape_nn_fpr_gpu,pilot_nn_mse_vs_y_gpu,dopt_mse_vs_nn_gpu,random_mse_median_gpu,mse_gain_vs_random_median_pct_gpu,dopt_shape_vs_nn_gpu,random_shape_median_gpu,shape_gain_vs_random_median_pct_gpu,pilot_shape_nn_fpr_gpu_minus_cpu,pilot_nn_mse_vs_y_gpu_minus_cpu,dopt_mse_vs_nn_gpu_minus_cpu,random_mse_median_gpu_minus_cpu,mse_gain_vs_random_median_pct_gpu_minus_cpu,dopt_shape_vs_nn_gpu_minus_cpu,random_shape_median_gpu_minus_cpu,shape_gain_vs_random_median_pct_gpu_minus_cpu
paper_poly3,tanh,"16,8,4",0.1,52,1.5142685279106786e-05,4.9289305934507865e-06,1.738926728817681e-05,2.601162268829831e-05,33.14808731252428,4.455423578943998e-05,8.530304771971385e-05,47.76946782038207,1.6032233505246936e-05,5.242349743639352e-06,1.7477244225426343e-05,2.6050450221294937e-05,32.91001085601364,4.51270429380256e-05,8.321150746371813e-05,45.76826653729126,8.8954822614015e-07,3.1341915018856525e-07,8.797693724953287e-08,3.8827532996628156e-08,-0.23807645651064036,5.728071485856199e-07,-2.0915402559957197e-06,-2.0012012830908077
paper_poly3,tanh,"16,8,4",0.01,52,1.7040984137959507e-05,6.287943506322336e-06,0.0001724466671085,0.0001019512040245,-69.14627812237956,0.0005541391821076,0.0003356158916256,-65.11112731386046,1.543750612604869e-05,5.853256880072877e-06,0.0001879237720954,0.0001114795224162,-68.57245888957571,0.0006078818568812,0.0003620771886527,-67.88736654278307,-1.603478011910817e-06,-4.346866262494595e-07,1.547710498690002e-05,9.528318391700003e-06,0.5738192328038423,5.374267477360002e-05,2.6461297027099995e-05,-2.7762392289226057
paper_poly3,tanh,"16,8,4",0.005,52,0.0004202353508322,0.0002368750720052,0.0001583664212866,0.0001164695548255,-35.97237623508786,0.00039155339003,0.0004091166302902,4.292966591869672,0.0004202910314632,0.0002371087612118,0.0001577043138153,0.0001128306484897,-39.77081220957756,0.0003917122095398,0.000391244395899,-0.119570694354545,5.568063099996431e-08,2.3368920660000341e-07,-6.62107471299995e-07,-3.638906335799998e-06,-3.798435974489699,1.5881950980002136e-07,-1.7872234391199966e-05,-4.412537286224217
paper_poly4,tanh,"16,8,4",0.1,52,8.807596779324898e-05,2.6945157515001483e-05,4.697372592160037e-05,8.674470015106506e-05,45.84830446148747,0.0001403026469781,0.0003082229092482,54.48013669056319,8.71009982278509e-05,2.642202707647812e-05,4.787428721097134e-05,8.257757252144379e-05,42.02507321399002,0.0001418110049099,0.0002904262442255,51.17142209785341,-9.749695653980822e-07,-5.231304385233637e-07,9.005612893709674e-07,-4.16712762962127e-06,-3.8232312474974535,1.508357931800003e-06,-1.7796665022699984e-05,-3.3087145927097836
paper_poly4,tanh,"16,8,4",0.01,52,0.0001432824333733,4.7210942284436896e-05,0.0002437105899939,0.0005202818953116,53.15797220889965,0.0005539142282051,0.0018674418539681,70.33834135032546,0.000160455595158,4.9000045692082494e-05,0.000239831384069,0.0004617028592522,48.05503599058788,0.0005208635018927,0.0016324835931247,68.09379867054024,1.7173161784699996e-05,1.789103407645598e-06,-3.879205924899997e-06,-5.857903605939994e-05,-5.102936218311768,-3.3050726312399943e-05,-0.0002349582608434,-2.2445426797852264
paper_poly4,tanh,"16,8,4",0.005,52,8.213426117808741e-05,2.4001832571229897e-05,0.000798459451925,0.0019201112125802,58.415978892593664,0.0019619698164952,0.006510193324668,69.863109762639,0.0001234475284676,3.551678673829883e-05,0.0007697317602747,0.0019743847531898,61.014095199470674,0.0018837712503477,0.0066269212980806,71.57396073357049,4.131326728951259e-05,1.1514954167068936e-05,-2.872769165029995e-05,5.4273540609600136e-05,2.59811630687701,-7.81985661475e-05,0.00011672797341260015,1.7108509709314887
smooth_nonlinear,softplus,"16,8,4",0.1,52,0.0001476675330673,7.741028821328655e-05,0.0005599686485718,0.0003738986655827,-49.76481600944708,0.0019073241833758,0.0015653690530495,-21.845016653434605,0.0001423789966837,7.871626439737156e-05,0.0008215046959497,0.0004704002972534,-74.63949337327526,0.0024711283986543,0.0019134409585182,-29.14578773143899,-5.288536383599992e-06,1.3059761840850115e-06,0.00026153604737790004,9.650163167069999e-05,-24.874677363828177,0.0005638042152785001,0.00034807190546869995,-7.300771078004384
smooth_nonlinear,softplus,"16,8,4",0.01,52,0.0486863367817751,0.0049191042780876,0.005818536906642,0.0202709675329076,71.2962052886901,0.0131629603231737,0.0732726598647124,82.03564556346493,0.0487424792710734,0.004945492837578,0.0058127261454614,0.0200287003144059,70.9780162755717,0.0132229532182981,0.0740929306294964,82.15355620845953,5.6142489298298404e-05,2.6388559490399775e-05,-5.810761180600511e-06,-0.00024226721850170024,-0.3181890131183991,5.999289512439998e-05,0.000820270764783998,0.11791064499460902
smooth_nonlinear,softplus,"16,8,4",0.005,52,0.0151938259820631,0.0022548018023371,0.0133786779281373,0.019475115808112,31.303731079408056,0.0225870904227687,0.0727886338987524,68.96893208054028,0.0149757049473193,0.0023802111390978,0.0135445970485979,0.0180277545182659,24.868085845775205,0.0228423265131357,0.0664127817186395,65.60552664409067,-0.0002181210347437998,0.0001254093367607,0.0001659191204606003,-0.0014473612898460997,-6.435645233632851,0.00025523609036700104,-0.006375852180112898,-3.363405436449611
smooth_nonlinear_rand,tanh,"16,8,4",0.1,52,0.0089170606485906,0.0001825744984671,0.00619772570562,0.1232753251017831,94.97245235370264,0.0240688275138797,0.3193019843673749,92.46204887778362,0.0089195850534472,0.0001777723082341,0.0062392125766817,0.1234163342276737,94.94458118876554,0.0241217190576665,0.3190178911575283,92.43875665714452,2.52440485659991e-06,-4.802190232999992e-06,4.148687106169963e-05,0.000141009125890601,-0.027871164937096182,5.2891543786799666e-05,-0.00028409320984656983,-0.02329222063909242
